"Index","ECH.Open","ECH.High","ECH.Low","ECH.Close","ECH.Volume","ECH.Adjusted"
2007-11-20,47.69,48.33,47.39,47.39,400,43.06
2007-11-21,46.26,46.26,45.38,46,37600,41.8
2007-11-23,46.63,46.85,46.52,46.69,15800,42.43
2007-11-26,46.75,46.93,45.68,45.78,36700,41.6
2007-11-27,45.48,46,45.34,45.96,19500,41.76
2007-11-28,47.07,47.92,46.92,47.85,12900,43.48
2007-11-29,48.47,48.91,48.33,48.5,87900,44.07
2007-11-30,49.66,50.63,49.31,49.41,32600,44.9
2007-12-03,49.56,49.56,49.12,49.28,81700,44.78
2007-12-04,48.64,48.8,48.31,48.31,14900,43.9
2007-12-05,49.18,50.03,49.17,50.03,20200,45.46
2007-12-06,50.4,51.52,50.35,51.4,137900,46.71
2007-12-07,51.82,51.82,51.34,51.4,76000,46.71
2007-12-10,51.35,51.54,51.04,51.08,15100,46.42
2007-12-11,50.68,51.48,49.51,49.53,32300,45.01
2007-12-12,50.08,50.43,48.26,48.51,47800,44.08
2007-12-13,47.47,47.48,46.8,47.35,43700,43.03
2007-12-14,46.66,47.57,46.37,47.37,28000,43.05
2007-12-17,46.73,47,45.75,45.88,8900,41.69
2007-12-18,46.91,46.91,45.7,46.21,34600,41.99
2007-12-19,46.5,46.54,46.22,46.36,7300,42.13
2007-12-20,47.5,48.32,46.87,47.82,21500,43.45
2007-12-21,49.46,49.46,48.6,48.98,33200,44.51
2007-12-24,49.2,49.22,48.71,48.9,25600,44.48
2007-12-26,48.61,48.9,48.53,48.9,8000,44.48
2007-12-27,48.87,49.09,48.44,48.44,36400,44.06
2007-12-28,48.5,48.79,48.43,48.68,8000,44.28
2007-12-31,48.4,48.58,48.37,48.57,76300,44.18
2008-01-02,48.55,48.55,47.48,47.61,29800,43.31
2008-01-03,47.43,47.86,47.35,47.72,43900,43.41
2008-01-04,46.96,46.96,46.08,46.39,15800,42.2
2008-01-07,46.15,46.29,45.37,45.59,28100,41.47
2008-01-08,45.87,46.02,45.36,45.46,13200,41.35
2008-01-09,44.45,45.2,44.33,45.15,105700,41.07
2008-01-10,45.46,46.49,45.35,46.4,89400,42.21
2008-01-11,47.31,47.31,46.67,47.08,26700,42.83
2008-01-14,49.58,49.58,47.06,47.34,34300,43.06
2008-01-15,47.35,47.35,44.99,44.99,38200,40.92
2008-01-16,44.1,44.56,43.4,44.14,42700,40.15
2008-01-17,44.85,44.85,42.34,42.34,52800,38.51
2008-01-18,43.09,43.26,42.11,42.38,58200,38.55
2008-01-22,39.95,43.91,39.9,42.89,29700,39.01
2008-01-23,40.31,43.69,40,41.1,8700,37.39
2008-01-24,43.79,45.17,43.79,45.08,30200,41.01
2008-01-25,48.41,48.41,44.44,44.44,14400,40.42
2008-01-28,44.22,45.41,44.22,45.41,49600,41.31
2008-01-29,47.36,47.36,46.27,46.63,37500,42.42
2008-01-30,47.36,48,46.61,46.78,23900,42.55
2008-01-31,46.33,47.71,45.79,47.71,142900,43.4
2008-02-01,47.55,47.88,47.21,47.76,21700,43.44
2008-02-04,48.09,48.22,47.35,47.77,45400,43.45
2008-02-05,46.72,46.72,45,45.02,14700,40.95
2008-02-06,45.2,45.75,45,45.41,58100,41.31
2008-02-07,44.75,45.18,44.49,44.77,24700,40.72
2008-02-08,45.92,45.92,45.19,45.77,35900,41.63
2008-02-11,45.89,46.45,45.77,46.45,15300,42.25
2008-02-12,47.42,47.93,47.2,47.87,60100,43.54
2008-02-13,48.22,48.82,47.88,48.75,44400,44.34
2008-02-14,48.53,48.8,47.99,47.99,30700,43.65
2008-02-15,47.46,47.62,47.2,47.42,45400,43.13
2008-02-19,48.98,49,47.75,47.75,27900,43.43
2008-02-20,47.72,48.75,47.69,48.75,7400,44.34
2008-02-21,48.69,49.12,48.54,48.77,10300,44.36
2008-02-22,49.26,49.26,48.52,49.16,36400,44.72
2008-02-25,49.06,49.43,48.48,49.34,40000,44.88
2008-02-26,49.38,49.67,48.99,49.27,45400,44.82
2008-02-27,49.37,49.9,49.13,49.74,26600,45.24
2008-02-28,50.12,50.61,50.05,50.27,21100,45.73
2008-02-29,49.98,49.98,48.9,48.98,57800,44.55
2008-03-03,48.73,48.73,48.1,48.18,40600,43.83
2008-03-04,48.1,48.1,46.24,47.5,19700,43.21
2008-03-05,48.02,49.31,47.9,49.2,79200,44.75
2008-03-06,49.23,49.23,48.26,48.26,46300,43.9
2008-03-07,48.47,49,48.46,48.58,29600,44.19
2008-03-10,49.18,49.18,48.2,48.2,18000,43.84
2008-03-11,50.09,50.75,49.61,50.55,108600,45.98
2008-03-12,50.95,52.73,50.5,52.06,74600,47.36
2008-03-13,50.98,52.15,50.86,51.79,32900,47.11
2008-03-14,52.87,52.87,51.03,51.34,45000,46.7
2008-03-17,50.4,51.16,48.01,50.9,45400,46.3
2008-03-18,52.38,52.85,51.43,52.23,43500,47.51
2008-03-19,52.05,52.84,50.59,51.2,68000,46.57
2008-03-20,50.89,50.89,49.58,49.98,28600,45.46
2008-03-24,49.66,50.55,49.45,50.43,25700,45.87
2008-03-25,50.62,51.18,50.3,50.96,37500,46.35
2008-03-26,50.95,51.09,50.55,50.99,43800,46.38
2008-03-27,51.43,52.27,51.32,51.82,49500,47.14
2008-03-28,53,53,51.8,52.09,18000,47.38
2008-03-31,52.17,52.98,51.9,52.74,24100,47.97
2008-04-01,53.6,53.7,52.8,53,30000,48.21
2008-04-02,53.3,53.37,52.87,53.14,70100,48.34
2008-04-03,52.68,53.18,52.51,52.99,22100,48.2
2008-04-04,52.88,54.05,52.88,53.95,128600,49.07
2008-04-07,54.9,54.9,53.79,54.22,49900,49.32
2008-04-08,53.98,54.07,53.55,53.86,26600,48.99
2008-04-09,53.95,54.05,53.55,53.55,28200,48.71
2008-04-10,54.03,54.33,53.9,54.08,31900,49.19
2008-04-11,53.5,53.54,51.31,52.12,111700,47.41
2008-04-14,51.89,52.64,51.85,52.5,25600,47.76
2008-04-15,52.46,53.11,52.26,52.5,57200,47.76
2008-04-16,52.6,53.39,52.6,53.22,63000,48.41
2008-04-17,53.12,53.64,52.66,53.64,37700,48.79
2008-04-18,53.39,53.92,53.05,53.72,66500,48.87
2008-04-21,53.83,54.17,53.34,54.17,27400,49.27
2008-04-22,54.99,54.99,53.73,54.12,58200,49.23
2008-04-23,54.39,54.72,53.53,54.2,31000,49.3
2008-04-24,54.31,54.53,53,53.16,47600,48.36
2008-04-25,53.17,53.45,52.92,53.19,44000,48.38
2008-04-28,53.53,53.53,52.62,53.08,48400,48.28
2008-04-29,52.55,52.55,51.26,51.26,46000,46.63
2008-04-30,51.13,52.79,51.13,51.67,32000,47
2008-05-01,51.72,51.95,51.31,51.86,33200,47.17
2008-05-02,51.65,51.8,51.23,51.55,55100,46.89
2008-05-05,52.06,52.06,50.8,51.32,55300,46.68
