"Index","EGPT.Open","EGPT.High","EGPT.Low","EGPT.Close","EGPT.Volume","EGPT.Adjusted"
2010-02-18,20.54,20.54,20.51,20.51,1600,68.87
2010-02-19,20.49,20.49,20.01,20.46,23700,68.7
2010-02-22,20.3,20.3,20.01,20.08,1600,67.42
2010-02-23,19.95,20,19.56,19.66,2000,66.01
2010-02-24,19.84,19.88,19.71,19.75,1200,66.32
2010-02-25,20.02,20.14,19.88,20.12,500,67.56
2010-02-26,20.08,20.32,20.08,20.32,300,68.23
2010-03-01,20.06,20.16,20.04,20.16,1100,67.69
2010-03-02,20.17,20.17,19.99,20.01,1100,67.19
2010-03-03,20.26,20.56,20.26,20.44,2400,68.63
2010-03-04,20.41,20.41,20.41,20.41,100,68.53
2010-03-05,20.44,20.74,19.99,20.74,1800,69.64
2010-03-08,20.44,20.44,20.3,20.3,900,68.16
2010-03-09,20.08,20.2,20,20.16,2300,67.69
2010-03-10,20.26,20.42,20.23,20.42,800,68.57
2010-03-11,20.1,20.35,20.1,20.28,500,68.1
2010-03-12,20.55,20.55,20.22,20.37,1200,68.4
2010-03-15,19.26,19.34,18.73,19.04,6800,63.93
2010-03-16,19.38,19.4,19.2,19.39,1000,65.11
2010-03-17,19.36,19.6,19.36,19.56,1400,65.68
2010-03-18,19.58,19.59,19.47,19.53,300,65.58
2010-03-19,19.47,19.56,19.4,19.47,600,65.38
2010-03-22,19.24,19.48,19.24,19.48,800,65.41
2010-03-23,19.81,19.96,19.77,19.96,600,67.02
2010-03-24,19.91,19.91,19.91,19.91,0,66.85
2010-03-25,19.99,20.06,19.98,19.98,800,67.09
2010-03-26,20.02,20.02,19.88,19.92,300,66.89
2010-03-29,20.15,20.29,20.15,20.29,200,68.13
2010-03-30,20.1,20.3,20.1,20.3,1200,68.16
2010-03-31,20.16,20.41,20.16,20.19,500,67.79
2010-04-01,20.59,20.62,20.47,20.62,1000,69.24
2010-04-05,20.75,20.75,20.61,20.73,2000,69.61
2010-04-06,21.08,21.21,21.01,21.01,1000,70.55
2010-04-07,21.43,21.43,21.11,21.15,600,71.02
2010-04-08,21.35,21.69,21.29,21.5,5000,72.19
2010-04-09,21.59,21.7,21.55,21.67,6500,72.76
