"Index","ENZL.Open","ENZL.High","ENZL.Low","ENZL.Close","ENZL.Volume","ENZL.Adjusted"
2010-09-02,26,26.14,25.93,26.11,108600,20.79
2010-09-03,26.6,26.71,26.36,26.43,157600,21.05
2010-09-07,27.22,27.22,26.9,26.92,135800,21.44
2010-09-08,26.99,27.2,26.98,27.09,223700,21.57
2010-09-09,27.37,27.37,27.02,27.13,123000,21.6
2010-09-10,27.24,27.24,27.1,27.2,119900,21.66
2010-09-13,27.61,27.64,27.4,27.62,129400,21.99
2010-09-14,27.5,27.98,27.45,27.84,73300,22.17
2010-09-15,27.56,27.57,27.38,27.52,118600,21.91
2010-09-16,27.28,27.28,27.08,27.19,124000,21.65
2010-09-17,27.29,27.36,27.25,27.32,110100,21.75
2010-09-20,27.67,27.83,27.52,27.77,118600,22.11
2010-09-21,27.77,28.09,27.66,27.89,156800,22.21
2010-09-22,27.87,28.23,27.84,28,62500,22.3
2010-09-23,27.52,27.78,27.5,27.53,67600,21.92
2010-09-24,27.8,27.87,27.77,27.85,113100,22.18
2010-09-27,28.18,28.18,27.8,27.9,8800,22.22
2010-09-28,27.8,28.11,27.7,28.1,9500,22.38
2010-09-29,27.8,27.88,27.75,27.81,7800,22.14
2010-09-30,27.7,27.7,27.15,27.28,26000,21.72
2010-10-01,27.96,30.74,27.93,28.22,33900,22.47
2010-10-04,28.17,28.21,27.84,27.93,20200,22.24
2010-10-05,28.54,28.6,28.23,28.55,20600,22.73
2010-10-06,28.79,28.79,27.56,28.54,29900,22.73
2010-10-07,28.73,28.73,28.17,28.32,20200,22.55
2010-10-08,28.38,28.63,28.35,28.61,23400,22.78
2010-10-11,28.7,28.7,28.43,28.44,16800,22.65
2010-10-12,28.43,28.7,28.42,28.7,15700,22.85
2010-10-13,28.85,29.12,28.8,28.98,13200,23.08
2010-10-14,29.05,29.06,28.83,28.93,69300,23.04
2010-10-15,28.95,28.95,28.68,28.82,19500,22.95
