"Index","EPHE.Open","EPHE.High","EPHE.Low","EPHE.Close","EPHE.Volume","EPHE.Adjusted"
2010-09-29,24.75,24.96,24.75,24.94,25700,23.96
2010-09-30,25.59,25.59,24.91,24.97,9100,23.99
2010-10-01,25.21,25.21,25.05,25.17,40000,24.19
2010-10-04,25.63,25.63,25.35,25.47,121800,24.47
2010-10-05,26.14,26.14,25.54,25.9,54400,24.89
2010-10-06,25.77,25.88,25.65,25.88,41500,24.87
2010-10-07,26.21,26.25,25.78,25.91,67400,24.9
2010-10-08,25.9,25.94,25.7,25.91,17600,24.9
2010-10-11,25.81,25.81,25.5,25.55,29100,24.55
2010-10-12,25.16,25.25,24.99,25.23,67600,24.24
2010-10-13,25.25,25.55,25.25,25.53,66800,24.53
2010-10-14,25.77,25.77,25.52,25.65,36400,24.65
2010-10-15,25.83,25.83,25.37,25.55,76600,24.55
2010-10-18,25.41,25.7,25.41,25.69,51800,24.68
2010-10-19,25.12,25.21,24.95,25.03,37100,24.05
2010-10-20,25.02,25.45,25.02,25.33,61300,24.34
2010-10-21,25.74,25.8,25.45,25.61,26300,24.61
2010-10-22,25.94,25.94,25.75,25.81,20500,24.8
2010-10-25,26.16,26.16,26,26.07,52300,25.05
2010-10-26,25.85,25.93,25.7,25.87,35900,24.86
2010-10-27,25.61,25.85,25.61,25.85,26000,24.84
2010-10-28,26.08,26.08,25.76,25.83,15500,24.82
2010-10-29,25.95,26.1,25.95,26.09,10400,25.07
2010-11-01,26.28,26.34,25.9,26,60700,24.98
2010-11-02,26.81,26.81,26.64,26.73,30300,25.68
2010-11-03,27.06,27.1,26.86,27.04,36700,25.98
2010-11-04,27.47,27.52,27.35,27.5,32000,26.42
2010-11-05,26.73,26.83,26.65,26.81,42700,25.76
2010-11-08,26.07,26.07,25.9,26,58500,24.98
2010-11-09,26,26,25.55,25.65,58000,24.65
2010-11-10,25.46,25.46,25.01,25.37,24700,24.38
2010-11-11,24.52,24.53,24.35,24.51,46500,23.55
2010-11-12,24.24,24.24,23.82,23.9,61100,22.96
2010-11-15,24.26,24.59,24.26,24.39,24700,23.44
2010-11-16,24.36,24.36,23.88,23.93,31400,22.99
2010-11-17,23.91,24,23.89,23.93,7200,22.99
2010-11-18,24.35,24.46,24.32,24.41,123300,23.46
2010-11-19,24.59,24.59,24.38,24.59,18400,23.63
2010-11-22,24.19,24.27,24.09,24.21,21200,23.26
2010-11-23,23.99,23.99,23.74,23.81,26300,22.88
2010-11-24,23.78,24.14,23.78,24.12,27000,23.18
2010-11-26,23.38,23.38,22.99,23.3,15400,22.39
2010-11-29,23.29,23.4,23.14,23.39,40100,22.47
2010-11-30,22.91,23.03,22.7,22.92,44800,22.02
2010-12-01,23.46,23.75,23.46,23.67,37300,22.74
2010-12-02,24.19,24.44,24.08,24.44,80200,23.48
2010-12-03,24.28,24.45,24.27,24.45,62100,23.49
2010-12-06,24.71,24.77,24.64,24.74,71800,23.77
2010-12-07,24.89,24.89,24.71,24.72,91800,23.75
2010-12-08,24.78,24.88,24.74,24.85,25800,23.88
2010-12-09,24.87,24.93,24.69,24.88,25500,23.91
2010-12-10,24.42,24.52,24.31,24.5,20900,23.54
2010-12-13,24.12,24.37,24.12,24.3,49900,23.35
2010-12-14,24.51,24.56,24.38,24.49,21200,23.53
2010-12-15,24.1,24.1,23.88,23.9,61300,22.96
2010-12-16,23.54,23.59,23.4,23.59,58100,22.67
2010-12-17,23.57,23.57,23.45,23.57,66700,22.65
2010-12-20,23.65,23.65,23.51,23.61,10600,22.69
2010-12-21,23.68,23.76,23.64,23.75,11900,22.84
2010-12-22,23.9,23.99,23.89,23.94,19000,23.02
2010-12-23,24.29,24.29,24.19,24.23,8700,23.3
2010-12-27,24.39,24.39,24.22,24.34,8200,23.4
2010-12-28,24.4,24.4,24.32,24.35,20300,23.41
2010-12-29,24.76,24.76,24.6,24.63,11600,23.68
2010-12-30,24.87,24.87,24.7,24.8,43200,23.84
2010-12-31,24.79,24.95,24.77,24.93,18800,23.97
2011-01-03,25.05,25.19,25.04,25.13,38700,24.16
2011-01-04,25.18,25.18,24.95,25.09,29400,24.12
2011-01-05,24.92,25.1,24.89,25.1,43100,24.13
2011-01-06,24.96,24.97,24.82,24.96,32800,24
2011-01-07,24.74,24.8,24.58,24.66,27000,23.71
2011-01-10,23.9,23.95,23.8,23.94,35700,23.02
2011-01-11,23.71,23.72,23.58,23.62,40900,22.71
2011-01-12,23.93,24.02,23.9,24.02,20300,23.09
2011-01-13,23.94,23.94,23.8,23.82,33000,22.9
2011-01-14,23.94,24.26,23.88,24.18,43600,23.25
2011-01-18,23.58,23.65,23.54,23.58,35800,22.67
2011-01-19,23.51,23.52,23.27,23.28,7700,22.38
2011-01-20,23.02,23.11,22.96,23.11,21300,22.22
2011-01-21,22.95,22.95,22.7,22.72,36100,21.85
2011-01-24,22.52,22.52,22.29,22.45,49800,21.59
2011-01-25,22.63,22.71,22.55,22.67,11400,21.8
2011-01-26,22.81,22.86,22.69,22.83,34400,21.95
2011-01-27,23.1,23.18,23.08,23.1,29700,22.21
2011-01-28,23.03,23.03,22.54,22.59,64700,21.72
2011-01-31,22.43,22.5,22.2,22.33,46300,21.47
2011-02-01,22.11,22.33,22.07,22.32,26600,21.46
2011-02-02,22.5,22.63,22.5,22.58,49200,21.71
2011-02-03,22.57,22.71,22.57,22.7,43300,21.83
2011-02-04,22.67,22.72,22.57,22.7,20000,21.83
2011-02-07,22.83,22.97,22.83,22.93,42800,22.05
2011-02-08,22.87,23.01,22.83,23.01,9500,22.12
2011-02-09,22.62,22.64,22.5,22.63,94500,21.76
2011-02-10,21.8,21.8,21.59,21.8,109400,20.96
2011-02-11,21.79,21.87,21.63,21.86,29800,21.02
2011-02-14,22.07,22.09,21.93,22,31000,21.15
2011-02-15,22,22,21.9,21.95,10300,21.1
2011-02-16,22.08,22.33,22.08,22.21,12500,21.35
2011-02-17,22.58,22.73,22.57,22.73,9200,21.85
2011-02-18,22.65,22.74,22.57,22.71,39900,21.84
2011-02-22,22.08,22.22,21.83,21.86,31600,21.02
2011-02-23,21.86,21.91,21.68,21.77,58700,20.93
2011-02-24,21.52,21.56,21.36,21.52,29300,20.69
2011-02-25,21.65,21.82,21.62,21.75,19700,20.91
2011-02-28,22.1,22.16,22.01,22.13,20600,21.28
2011-03-01,22.03,22.03,21.63,21.67,69900,20.84
2011-03-02,21.75,21.9,21.75,21.85,17300,21.01
2011-03-03,22.16,22.45,22.14,22.45,33400,21.59
2011-03-04,22.5,22.54,22.31,22.44,19700,21.58
2011-03-07,22.56,22.84,22.34,22.44,28000,21.58
2011-03-08,22.43,22.66,22.4,22.59,15800,21.72
2011-03-09,22.69,22.78,22.66,22.78,17400,21.9
2011-03-10,22.82,22.82,22.64,22.64,21600,21.77
2011-03-11,22.66,22.87,22.64,22.86,29800,21.98
2011-03-14,22.8,22.96,22.76,22.92,125600,22.04
2011-03-15,22.4,22.85,22.4,22.78,80400,21.9
2011-03-16,22.49,22.6,22.11,22.24,64700,21.38
2011-03-17,22.24,22.25,22.1,22.25,70100,21.39
2011-03-18,22.28,22.31,22.09,22.15,21800,21.3
2011-03-21,22.37,22.51,22.31,22.33,122200,21.47
2011-03-22,22.59,22.59,22.43,22.43,14300,21.57
2011-03-23,22.44,22.55,22.37,22.55,23000,21.68
2011-03-24,22.52,22.73,22.49,22.72,100400,21.85
2011-03-25,22.77,22.86,22.75,22.77,7200,21.89
2011-03-28,22.95,22.98,22.84,22.84,3500,21.96
2011-03-29,22.88,22.99,22.82,22.98,15800,22.1
2011-03-30,23.56,23.67,23.45,23.56,273700,22.65
2011-03-31,23.78,23.87,23.74,23.74,37000,22.83
2011-04-01,24.36,24.55,24.34,24.51,71100,23.57
2011-04-04,24.67,24.94,24.67,24.89,30400,23.93
2011-04-05,24.5,24.64,24.44,24.51,44900,23.57
2011-04-06,24.8,24.99,24.79,24.86,134700,23.9
2011-04-07,24.9,25.04,24.87,24.94,30600,23.98
2011-04-08,24.97,25.15,24.89,24.98,53500,24.02
2011-04-11,24.77,24.88,24.69,24.81,41600,23.85
2011-04-12,24.6,24.72,24.52,24.55,41100,23.6
2011-04-13,24.66,24.74,24.48,24.58,65300,23.63
2011-04-14,24.73,24.93,24.62,24.86,37400,23.9
2011-04-15,24.78,25.05,24.75,24.94,66500,23.98
2011-04-18,24.65,24.65,24.34,24.47,69300,23.53
2011-04-19,24.5,24.7,24.49,24.7,35200,23.75
2011-04-20,24.85,24.99,24.81,24.91,66900,23.95
2011-04-21,24.92,25.1,24.92,25.03,27500,24.07
2011-04-25,25.04,25.15,25,25.14,156300,24.17
2011-04-26,25.15,25.28,25.13,25.27,313600,24.3
2011-04-27,25.22,25.32,25.07,25.28,101100,24.31
2011-04-28,25.02,25.04,24.9,24.93,12700,23.97
2011-04-29,25.3,25.49,25.3,25.35,52000,24.37
2011-05-02,25.46,25.46,25.2,25.22,79000,24.25
2011-05-03,25.19,25.28,24.98,25.09,34000,24.12
2011-05-04,25.03,25.03,24.79,24.83,95000,23.87
2011-05-05,24.56,24.68,24.28,24.44,127100,23.5
2011-05-06,24.3,24.52,24.23,24.32,83000,23.38
2011-05-09,24.43,24.69,24.42,24.67,78000,23.72
2011-05-10,24.74,25.05,24.74,25.01,51700,24.05
2011-05-11,25.02,25.04,24.65,24.8,53400,23.84
2011-05-12,24.64,24.89,24.5,24.88,102000,23.92
2011-05-13,24.7,24.7,24.37,24.54,30100,23.59
2011-05-16,24.56,24.64,24.37,24.41,30400,23.47
2011-05-17,24.47,24.53,24.32,24.53,80900,23.59
2011-05-18,24.73,24.92,24.64,24.91,23200,23.95
2011-05-19,24.85,24.85,24.63,24.73,20400,23.78
2011-05-20,24.68,24.68,24.43,24.52,13400,23.58
2011-05-23,24.29,24.29,24.08,24.15,88000,23.22
2011-05-24,24.27,24.32,24.06,24.15,12400,23.22
2011-05-25,23.88,24.24,23.84,24.2,57100,23.27
2011-05-26,24.3,24.5,24.28,24.47,511000,23.53
2011-05-27,24.5,24.64,24.5,24.61,104400,23.66
2011-05-31,24.65,24.65,24.39,24.48,149600,23.54
2011-06-01,24.5,24.58,24.05,24.09,59400,23.16
2011-06-02,24.67,24.78,24.57,24.72,149500,23.77
2011-06-03,24.45,24.51,24.38,24.41,37300,23.47
2011-06-06,24.27,24.42,24.22,24.31,111900,23.37
2011-06-07,24.35,24.38,24.18,24.18,40100,23.25
2011-06-08,24.33,24.33,24.14,24.14,40200,23.21
2011-06-09,24.21,24.27,24.01,24.26,26200,23.33
2011-06-10,24.05,24.05,23.85,23.9,29500,22.98
2011-06-13,23.87,23.88,23.67,23.83,49600,22.91
2011-06-14,23.61,23.79,23.56,23.7,99200,22.79
2011-06-15,23.78,23.81,23.55,23.62,21200,22.71
2011-06-16,23.53,23.72,23.5,23.64,23200,22.73
2011-06-17,23.71,23.78,23.58,23.65,170300,22.74
2011-06-20,23.5,23.76,23.5,23.62,29500,22.71
2011-06-21,24.18,24.22,24.04,24.12,56500,23.19
2011-06-22,24.08,24.17,23.8,23.8,42500,23.03
2011-06-23,23.56,23.9,23.53,23.84,47400,23.07
2011-06-24,23.96,24.05,23.78,23.82,41500,23.05
2011-06-27,23.75,24.18,23.71,24.1,29000,23.32
2011-06-28,23.93,24.45,23.93,24.45,536500,23.66
2011-06-29,24.1,24.31,24.01,24.29,280900,23.5
2011-06-30,24.41,24.56,24.35,24.55,79100,23.75
2011-07-01,24.91,24.93,24.7,24.91,46000,24.1
2011-07-05,25.38,25.38,25.2,25.31,56600,24.49
2011-07-06,25.11,25.11,24.99,25.1,39500,24.29
2011-07-07,25.14,25.26,25.11,25.24,21400,24.42
2011-07-08,25.04,25.13,24.9,25.13,16900,24.32
2011-07-11,24.59,24.95,24.59,24.77,83600,23.97
2011-07-12,24.61,24.98,24.6,24.86,632700,24.05
2011-07-13,25.1,25.2,24.94,24.96,83700,24.15
2011-07-14,25.35,25.39,24.96,25.01,140400,24.2
2011-07-15,25.27,25.33,25.13,25.13,46500,24.32
2011-07-18,25.4,25.4,25.08,25.16,23000,24.34
2011-07-19,25.46,25.59,25.41,25.52,88300,24.69
2011-07-20,25.52,25.63,25.5,25.52,55300,24.69
2011-07-21,25.58,25.8,25.58,25.7,63500,24.87
2011-07-22,25.75,25.75,25.66,25.67,28800,24.84
2011-07-25,25.69,25.88,25.69,25.86,24600,25.02
2011-07-26,25.78,25.81,25.63,25.68,15100,24.85
2011-07-27,25.87,25.87,25.62,25.74,65900,24.91
2011-07-28,25.91,26.07,25.83,25.93,40800,25.09
2011-07-29,25.87,26.25,25.87,26.1,87900,25.25
2011-08-01,26.5,26.5,26.02,26.34,79700,25.49
2011-08-02,26.22,26.35,25.93,25.93,105200,25.09
2011-08-03,25.99,25.99,25.57,25.95,88800,25.11
2011-08-04,25.58,25.75,24.97,25.03,391300,24.22
2011-08-05,25.53,25.53,24.59,25.03,111100,24.22
2011-08-08,24.49,24.65,23.67,23.67,92500,22.9
2011-08-09,24.12,24.55,23.5,24.5,120500,23.71
