"Index","EUSA.Open","EUSA.High","EUSA.Low","EUSA.Close","EUSA.Volume","EUSA.Adjusted"
2010-05-07,24,24.39,23.65,23.65,5600,21.63
2010-05-10,24.72,24.72,24.63,24.63,3000,22.52
2010-05-11,24.18,24.5,24.16,24.5,5600,22.4
2010-05-12,24.85,24.88,24.85,24.88,700,22.75
2010-05-13,24.93,24.93,24.93,24.93,1000,22.8
2010-05-14,24.93,24.93,24.93,24.93,0,22.8
2010-05-17,24.25,24.25,24.25,24.25,4100,22.18
2010-05-18,24.25,24.25,24.25,24.25,0,22.18
2010-05-19,23.86,23.86,23.86,23.86,700,21.82
2010-05-20,23.86,23.86,23.86,23.86,0,21.82
2010-05-21,23.86,23.86,23.86,23.86,0,21.82
2010-05-24,23.86,23.86,23.86,23.86,0,21.82
2010-05-25,22.56,22.56,22.48,22.48,1300,20.56
2010-05-26,22.48,22.48,22.48,22.48,0,20.56
2010-05-27,22.48,22.48,22.48,22.48,0,20.56
2010-05-28,22.48,22.48,22.48,22.48,0,20.56
2010-06-01,22.48,22.48,22.48,22.48,0,20.56
2010-06-02,22.48,22.48,22.48,22.48,0,20.56
2010-06-03,22.48,22.48,22.48,22.48,0,20.56
2010-06-04,22.48,22.48,22.48,22.48,0,20.56
2010-06-07,22.53,22.53,22.53,22.53,500,20.6
2010-06-08,22.37,22.37,22.37,22.37,1000,20.46
2010-06-09,22.75,22.96,22.75,22.91,2400,20.95
2010-06-10,22.91,22.91,22.91,22.91,0,20.95
2010-06-11,22.91,22.91,22.91,22.91,0,20.95
2010-06-14,22.91,22.91,22.91,22.91,0,20.95
2010-06-15,22.91,22.91,22.91,22.91,0,20.95
2010-06-16,22.91,22.91,22.91,22.91,0,20.95
2010-06-17,22.91,22.91,22.91,22.91,0,20.95
2010-06-18,22.91,22.91,22.91,22.91,0,20.95
2010-06-21,22.91,22.91,22.91,22.91,0,20.95
2010-06-22,22.91,22.91,22.91,22.91,0,20.95
2010-06-23,22.91,22.91,22.91,22.91,0,21.01
2010-06-24,22.91,22.91,22.91,22.91,0,21.01
2010-06-25,22.91,22.91,22.91,22.91,0,21.01
2010-06-28,22.91,22.91,22.91,22.91,0,21.01
2010-06-29,22.4,22.4,22.4,22.4,2200,20.54
2010-06-30,22.4,22.4,22.4,22.4,0,20.54
2010-07-01,22.4,22.4,22.4,22.4,0,20.54
2010-07-02,22.4,22.4,22.4,22.4,0,20.54
2010-07-06,22.4,22.4,22.4,22.4,0,20.54
2010-07-07,22.4,22.4,22.4,22.4,0,20.54
2010-07-08,22.4,22.4,22.4,22.4,0,20.54
2010-07-09,22.4,22.4,22.4,22.4,0,20.54
2010-07-12,22.4,22.4,22.4,22.4,0,20.54
2010-07-13,22.4,22.4,22.4,22.4,0,20.54
2010-07-14,22.4,22.4,22.4,22.4,0,20.54
2010-07-15,22.4,22.4,22.4,22.4,0,20.54
2010-07-16,22.4,22.4,22.4,22.4,0,20.54
2010-07-19,22.4,22.4,22.4,22.4,0,20.54
2010-07-20,22.93,22.93,22.93,22.93,1000,21.03
2010-07-21,22.93,22.93,22.93,22.93,0,21.03
2010-07-22,22.93,22.93,22.93,22.93,0,21.03
2010-07-23,22.93,22.93,22.93,22.93,0,21.03
2010-07-26,22.93,22.93,22.93,22.93,0,21.03
2010-07-27,23.83,23.83,23.79,23.79,900,21.82
2010-07-28,23.79,23.79,23.79,23.79,0,21.82
2010-07-29,23.79,23.79,23.79,23.79,0,21.82
2010-07-30,23.79,23.79,23.79,23.79,0,21.82
2010-08-02,23.78,23.88,23.78,23.88,1100,21.9
2010-08-03,23.88,23.88,23.88,23.88,0,21.9
2010-08-04,23.88,23.88,23.88,23.88,0,21.9
2010-08-05,23.88,23.88,23.88,23.88,0,21.9
2010-08-06,23.94,23.94,23.94,23.94,200,21.96
2010-08-09,23.94,23.94,23.94,23.94,0,21.96
2010-08-10,23.94,23.94,23.94,23.94,0,21.96
2010-08-11,23.94,23.94,23.94,23.94,0,21.96
2010-08-12,23.94,23.94,23.94,23.94,0,21.96
2010-08-13,23.94,23.94,23.94,23.94,0,21.96
2010-08-16,23.94,23.94,23.94,23.94,0,21.96
2010-08-17,23.94,23.94,23.94,23.94,0,21.96
2010-08-18,23.37,23.37,23.35,23.35,200,21.41
2010-08-19,23.35,23.35,23.35,23.35,0,21.41
2010-08-20,23.35,23.35,23.35,23.35,0,21.41
2010-08-23,22.84,22.84,22.84,22.84,100,20.95
2010-08-24,22.6,22.6,22.6,22.6,300,20.73
2010-08-25,22.6,22.6,22.6,22.6,0,20.73
2010-08-26,22.6,22.6,22.6,22.6,0,20.73
2010-08-27,22.71,22.71,22.71,22.71,700,20.83
2010-08-30,22.71,22.71,22.71,22.71,0,20.83
2010-08-31,22.47,22.49,22.47,22.49,200,20.63
2010-09-01,22.49,22.49,22.49,22.49,0,20.63
2010-09-02,22.49,22.49,22.49,22.49,0,20.63
2010-09-03,22.49,22.49,22.49,22.49,0,20.63
2010-09-07,22.49,22.49,22.49,22.49,0,20.63
2010-09-08,22.49,22.49,22.49,22.49,0,20.63
2010-09-09,22.49,22.49,22.49,22.49,0,20.63
2010-09-10,22.49,22.49,22.49,22.49,0,20.63
2010-09-13,23.99,23.99,23.99,23.99,100,22
2010-09-14,23.99,23.99,23.99,23.99,0,22
2010-09-15,23.99,23.99,23.99,23.99,0,22
2010-09-16,23.99,23.99,23.99,23.99,0,22
2010-09-17,23.99,23.99,23.99,23.99,0,22
2010-09-20,23.99,23.99,23.99,23.99,0,22
2010-09-21,23.99,23.99,23.99,23.99,0,22
2010-09-22,23.99,23.99,23.99,23.99,0,22
2010-09-23,23.99,23.99,23.99,23.99,0,22
2010-09-24,23.99,23.99,23.99,23.99,0,22.12
2010-09-27,23.99,23.99,23.99,23.99,0,22.12
2010-09-28,23.99,23.99,23.99,23.99,0,22.12
2010-09-29,24.44,24.44,24.44,24.44,100,22.54
2010-09-30,24.44,24.44,24.44,24.44,0,22.54
2010-10-01,24.44,24.44,24.44,24.44,0,22.54
2010-10-04,24.2,24.2,24.2,24.2,100,22.31
2010-10-05,24.2,24.2,24.2,24.2,0,22.31
2010-10-06,24.2,24.2,24.2,24.2,0,22.31
2010-10-07,24.2,24.2,24.2,24.2,0,22.31
2010-10-08,24.2,24.2,24.2,24.2,0,22.31
2010-10-11,24.2,24.2,24.2,24.2,0,22.31
2010-10-12,24.2,24.2,24.2,24.2,0,22.31
2010-10-13,24.2,24.2,24.2,24.2,0,22.31
2010-10-14,24.2,24.2,24.2,24.2,0,22.31
2010-10-15,25.06,25.06,25.06,25.06,100,23.11
2010-10-18,25.06,25.06,25.06,25.06,0,23.11
