"Index","EWC.Open","EWC.High","EWC.Low","EWC.Close","EWC.Volume","EWC.Adjusted"
1996-04-01,10.44,10.44,10.44,10.44,300,5.57
1996-04-02,10.5,10.5,10.5,10.5,1000,5.61
1996-04-03,10.5,10.5,10.5,10.5,100300,5.61
1996-04-04,10.5,10.5,10.5,10.5,0,5.61
1996-04-08,10.5,10.5,10.5,10.5,0,5.61
1996-04-09,10.5,10.5,10.5,10.5,0,5.61
1996-04-10,10.62,10.62,10.62,10.62,900,5.67
1996-04-11,10.5,10.5,10.5,10.5,1000,5.61
1996-04-12,10.5,10.5,10.5,10.5,100,5.61
1996-04-15,10.5,10.5,10.5,10.5,400,5.61
1996-04-16,10.62,10.62,10.62,10.62,1500,5.67
1996-04-17,10.62,10.75,10.62,10.75,18700,5.74
1996-04-18,10.88,10.88,10.62,10.62,2600,5.67
1996-04-19,10.75,10.75,10.75,10.75,400,5.74
1996-04-22,10.88,10.88,10.75,10.75,3300,5.74
1996-04-23,10.75,10.75,10.75,10.75,10000,5.74
1996-04-24,10.81,10.81,10.75,10.75,23000,5.74
1996-04-25,10.75,10.75,10.75,10.75,3000,5.74
1996-04-26,10.75,10.81,10.75,10.81,12500,5.77
1996-04-29,10.88,10.88,10.81,10.88,2900,5.81
1996-04-30,10.81,10.81,10.81,10.81,4800,5.77
1996-05-01,10.75,10.75,10.75,10.75,1200,5.74
1996-05-02,10.75,10.75,10.62,10.62,6200,5.67
1996-05-03,10.69,10.69,10.69,10.69,500,5.71
1996-05-06,10.69,10.75,10.69,10.69,2400,5.71
1996-05-07,10.69,10.69,10.69,10.69,0,5.71
1996-05-08,10.69,10.69,10.69,10.69,6600,5.71
1996-05-09,10.69,10.69,10.69,10.69,0,5.71
1996-05-10,10.69,10.69,10.69,10.69,100,5.71
1996-05-13,10.69,10.69,10.69,10.69,0,5.71
1996-05-14,10.69,10.69,10.69,10.69,0,5.71
1996-05-15,10.75,10.75,10.75,10.75,500,5.74
1996-05-16,10.88,10.88,10.88,10.88,1000,5.81
1996-05-17,11.12,11.25,10.94,10.94,3600,5.84
1996-05-20,10.88,10.88,10.88,10.88,900,5.81
1996-05-21,10.94,10.94,10.94,10.94,100,5.84
1996-05-22,10.88,10.88,10.88,10.88,400,5.81
1996-05-23,10.88,10.88,10.88,10.88,0,5.81
1996-05-24,10.88,10.88,10.88,10.88,100,5.81
1996-05-28,10.94,10.94,10.94,10.94,100,5.84
1996-05-29,10.88,10.88,10.88,10.88,100,5.81
1996-05-30,10.75,10.75,10.75,10.75,1000,5.74
1996-05-31,10.75,10.75,10.75,10.75,0,5.74
