"Index","EWG.Open","EWG.High","EWG.Low","EWG.Close","EWG.Volume","EWG.Adjusted"
1996-04-01,13.56,13.56,13.56,13.56,60900,8.77
1996-04-02,13.62,13.62,13.5,13.62,22000,8.81
1996-04-03,13.5,13.5,13.44,13.5,2800,8.73
1996-04-04,13.44,13.44,13.44,13.44,100,8.69
1996-04-08,13.31,13.38,13.31,13.38,33000,8.65
1996-04-09,13.5,13.5,13.44,13.44,134000,8.69
1996-04-10,13.5,13.5,13.44,13.44,26600,8.69
1996-04-11,13.44,13.44,13.44,13.44,300,8.69
1996-04-12,13.44,13.44,13.44,13.44,100,8.69
1996-04-15,13.38,13.44,13.38,13.44,2600,8.69
1996-04-16,13.44,13.44,13.44,13.44,5200,8.69
1996-04-17,13.38,13.38,13.38,13.38,400,8.65
1996-04-18,13.38,13.38,13.25,13.38,700,8.65
1996-04-19,13.38,13.44,13.38,13.44,500,8.69
1996-04-22,13.44,13.44,13.38,13.38,1300,8.65
1996-04-23,13.38,13.38,13.38,13.38,400,8.65
1996-04-24,13.25,13.25,13.25,13.25,1200,8.57
1996-04-25,13.19,13.19,13.19,13.19,1900,8.53
1996-04-26,13.12,13.25,13.12,13.25,1000,8.57
1996-04-29,13.12,13.12,13.06,13.12,13000,8.49
1996-04-30,12.88,12.88,12.88,12.88,1000,8.33
1996-05-01,12.94,12.94,12.94,12.94,800,8.37
1996-05-02,12.81,12.94,12.81,12.94,14300,8.37
1996-05-03,12.94,13,12.94,13,21200,8.41
1996-05-06,13,13,13,13,14900,8.41
1996-05-07,13,13,13,13,17800,8.41
1996-05-08,13,13.06,12.94,13.06,3200,8.45
1996-05-09,13.06,13.06,13.06,13.06,3900,8.45
1996-05-10,13.06,13.06,13.06,13.06,1500,8.45
1996-05-13,13,13,12.81,12.88,23300,8.33
1996-05-14,13.06,13.06,13.06,13.06,8500,8.45
1996-05-15,13.12,13.12,13.12,13.12,1300,8.49
1996-05-16,13.25,13.25,13.12,13.12,3100,8.49
1996-05-17,13.25,13.25,13.25,13.25,2000,8.57
1996-05-20,13.25,13.25,13.25,13.25,2400,8.57
1996-05-21,13.38,13.38,13,13.12,45300,8.49
1996-05-22,13.19,13.19,13.12,13.12,400,8.49
1996-05-23,13.19,13.25,13.19,13.25,5500,8.57
1996-05-24,13.25,13.25,13.19,13.25,7700,8.57
1996-05-28,13.25,13.25,13.19,13.19,5400,8.53
1996-05-29,13.12,13.12,13.12,13.12,3000,8.49
1996-05-30,13.19,13.19,13.06,13.12,37900,8.49
1996-05-31,13.25,13.25,13.19,13.19,400,8.53
1996-06-03,13.31,13.31,13.19,13.19,500,8.53
1996-06-04,13.25,13.25,13.25,13.25,1700,8.57
1996-06-05,13.38,13.38,13.38,13.38,900,8.65
1996-06-06,13.38,13.38,13.38,13.38,300,8.65
1996-06-07,13.25,13.38,13.25,13.38,17000,8.65
1996-06-10,13.38,13.38,13.25,13.25,1200,8.57
1996-06-11,13.25,13.25,13.25,13.25,0,8.57
1996-06-12,13.12,13.25,13.12,13.25,4100,8.57
1996-06-13,13.25,13.25,13.25,13.25,0,8.57
1996-06-14,13.25,13.25,13.25,13.25,0,8.57
1996-06-17,13.06,13.19,13,13.19,15100,8.53
1996-06-18,13.19,13.5,13.19,13.5,63200,8.73
1996-06-19,13.62,13.62,13.38,13.38,5300,8.65
1996-06-20,13.44,13.44,13.25,13.25,25600,8.57
1996-06-21,13.25,13.44,13.19,13.19,9900,8.53
1996-06-24,13.25,13.38,13.25,13.31,5900,8.61
1996-06-25,13.44,13.5,13.44,13.5,13400,8.73
1996-06-26,13.5,13.5,13.44,13.44,1800,8.69
1996-06-27,13.5,13.5,13.38,13.5,8400,8.73
1996-06-28,13.62,13.62,13.62,13.62,400,8.81
1996-07-01,13.56,13.56,13.56,13.56,1800,8.77
1996-07-02,13.56,13.56,13.56,13.56,1800,8.77
1996-07-03,13.62,13.62,13.5,13.62,5000,8.81
1996-07-05,13.5,13.5,13.5,13.5,200,8.73
1996-07-08,13.5,13.5,13.5,13.5,1300,8.73
1996-07-09,13.38,13.38,13.25,13.31,85100,8.61
1996-07-10,13.31,13.31,13.31,13.31,0,8.61
1996-07-11,13.44,13.44,13.25,13.25,4200,8.57
1996-07-12,13.25,13.38,13.25,13.38,1200,8.65
1996-07-15,13.44,13.44,13.38,13.38,2000,8.65
1996-07-16,13.31,13.38,13.25,13.38,6700,8.65
1996-07-17,13.5,13.5,13.5,13.5,1800,8.73
1996-07-18,13.62,13.62,13.62,13.62,8300,8.81
1996-07-19,13.5,13.56,13.5,13.56,6500,8.77
1996-07-22,13.44,13.44,13.25,13.25,51000,8.57
1996-07-23,13.38,13.38,13.38,13.38,1000,8.65
1996-07-24,13.25,13.38,13.12,13.19,79700,8.53
1996-07-25,13.31,13.5,13.31,13.5,3700,8.73
1996-07-26,13.5,13.5,13.5,13.5,400,8.73
1996-07-29,13.38,13.38,13.38,13.38,1500,8.65
1996-07-30,13.44,13.44,13.38,13.38,5300,8.65
1996-07-31,13.44,13.75,13.44,13.75,12000,8.89
1996-08-01,13.75,13.75,13.62,13.75,6200,8.89
1996-08-02,13.75,13.75,13.75,13.75,5700,8.89
1996-08-05,13.88,13.88,13.75,13.81,1500,8.93
1996-08-06,13.69,13.75,13.69,13.75,300,8.89
1996-08-07,13.81,13.81,13.81,13.81,2500,8.93
1996-08-08,13.81,13.81,13.81,13.81,0,8.93
1996-08-09,13.81,13.81,13.81,13.81,300,8.93
1996-08-12,13.75,13.75,13.75,13.75,2700,8.89
1996-08-13,13.81,13.94,13.81,13.94,1500,9.01
1996-08-14,13.88,13.88,13.75,13.88,4500,8.97
1996-08-15,13.88,13.88,13.75,13.75,73000,8.89
1996-08-16,13.88,13.88,13.81,13.81,700,8.93
1996-08-19,13.81,13.88,13.81,13.88,1000,8.97
1996-08-20,13.88,13.88,13.75,13.88,2800,8.97
1996-08-21,13.75,13.81,13.75,13.75,7800,8.89
1996-08-22,13.81,13.81,13.75,13.81,1900,8.93
1996-08-23,13.81,13.94,13.81,13.94,1600,9.01
1996-08-26,13.94,13.94,13.88,13.88,2900,9.05
1996-08-27,13.88,13.88,13.88,13.88,5900,9.05
1996-08-28,13.88,13.88,13.69,13.69,11800,8.93
1996-08-29,13.75,13.81,13.62,13.62,17500,8.89
1996-08-30,13.56,13.56,13.56,13.56,10200,8.85
1996-09-03,13.5,13.5,13.44,13.5,134700,8.81
1996-09-04,13.56,13.56,13.56,13.56,6400,8.85
1996-09-05,13.56,13.56,13.44,13.56,2300,8.85
1996-09-06,13.56,13.62,13.56,13.62,1400,8.89
1996-09-09,13.69,13.69,13.69,13.69,1500,8.93
1996-09-10,13.62,13.62,13.5,13.56,6100,8.85
1996-09-11,13.5,13.56,13.5,13.56,600,8.85
1996-09-12,13.62,13.62,13.62,13.62,7800,8.89
1996-09-13,13.75,13.81,13.69,13.81,3400,9.01
1996-09-16,13.88,13.88,13.81,13.88,1900,9.05
1996-09-17,13.88,13.88,13.75,13.88,7900,9.05
1996-09-18,13.88,13.88,13.69,13.69,74000,8.93
1996-09-19,13.75,13.75,13.75,13.75,300,8.97
1996-09-20,13.88,13.88,13.88,13.88,100,9.05
1996-09-23,13.62,13.62,13.62,13.62,3600,8.89
1996-09-24,13.75,13.88,13.75,13.88,10800,9.05
1996-09-25,14,14,13.94,13.94,2200,9.09
1996-09-26,13.94,14,13.94,13.94,2200,9.09
1996-09-27,14,14,13.81,13.88,20300,9.05
1996-09-30,13.81,13.81,13.69,13.81,14900,9.01
1996-10-01,13.81,13.88,13.69,13.88,11500,9.05
1996-10-02,13.94,14,13.94,14,40300,9.13
1996-10-03,13.94,13.94,13.88,13.94,8100,9.09
1996-10-04,13.94,14.06,13.94,14.06,37500,9.17
1996-10-07,14,14.06,14,14.06,1100,9.17
1996-10-08,13.94,14.06,13.94,14.06,19900,9.17
1996-10-09,14,14.06,14,14.06,1300,9.17
1996-10-10,13.88,13.88,13.88,13.88,17200,9.05
1996-10-11,14,14,13.94,14,1100,9.13
1996-10-14,13.88,13.88,13.88,13.88,2500,9.05
1996-10-15,14,14,13.88,14,1800,9.13
1996-10-16,14,14,13.88,13.94,3100,9.09
1996-10-17,13.94,14,13.94,14,24200,9.13
1996-10-18,14.06,14.12,14.06,14.12,2300,9.21
1996-10-21,14.06,14.12,14.06,14.12,6000,9.21
1996-10-22,14.06,14.12,14,14.12,17400,9.21
1996-10-23,14,14.06,13.88,14,18600,9.13
1996-10-24,14,14,13.88,13.88,13600,9.05
1996-10-25,14,14.06,13.88,14.06,16900,9.17
1996-10-28,13.94,14.12,13.94,14.12,22900,9.21
1996-10-29,14.06,14.06,14.06,14.06,10000,9.17
1996-10-30,14.06,14.06,14.06,14.06,300,9.17
1996-10-31,13.88,14,13.88,13.88,6000,9.05
1996-11-01,14,14,14,14,4600,9.13
1996-11-04,14,14.06,14,14.06,1700,9.17
1996-11-05,14,14,13.94,13.94,27800,9.09
1996-11-06,14.12,14.25,14.12,14.25,4600,9.3
1996-11-07,14.25,14.25,14.12,14.12,900,9.21
1996-11-08,14.25,14.25,14.25,14.25,2700,9.3
1996-11-11,14.25,14.38,14.19,14.38,22000,9.38
1996-11-12,14.38,14.44,14.31,14.31,14200,9.34
1996-11-13,14.31,14.5,14.31,14.44,42500,9.42
1996-11-14,14.5,14.5,14.38,14.44,12700,9.42
1996-11-15,14.5,14.56,14.5,14.56,16100,9.5
1996-11-18,14.5,14.56,14.5,14.56,23300,9.5
1996-11-19,14.5,14.56,14.5,14.56,4400,9.5
1996-11-20,14.56,14.62,14.56,14.62,4900,9.54
1996-11-21,14.56,14.56,14.44,14.56,7700,9.5
1996-11-22,14.44,14.44,14.31,14.44,13100,9.42
1996-11-25,14.5,14.5,14.38,14.44,10400,9.42
1996-11-26,14.44,14.44,14.31,14.38,13400,9.38
1996-11-27,14.38,14.38,14.25,14.25,600,9.3
1996-11-29,14.38,14.38,14.38,14.38,700,9.38
1996-12-02,14.38,14.44,14.38,14.44,12000,9.42
1996-12-03,14.38,14.44,14.38,14.44,800,9.42
1996-12-04,14.31,14.31,14.25,14.31,5100,9.34
1996-12-05,14.44,14.5,14.44,14.5,2100,9.46
1996-12-06,14.25,14.25,14.25,14.25,20300,9.3
1996-12-09,14.38,14.38,14.31,14.31,9000,9.34
1996-12-10,14.25,14.25,14.25,14.25,6000,9.3
1996-12-11,14.19,14.31,14.12,14.12,1300,9.21
1996-12-12,14.12,14.25,14.06,14.06,11000,9.17
1996-12-13,14.06,14.06,14,14,4000,9.13
1996-12-16,14.12,14.12,14,14.06,2600,9.17
1996-12-17,14.06,14.06,14.06,14.06,1100,9.17
1996-12-18,14,14,13.94,13.94,2200,9.09
1996-12-19,14,14,13.88,14,5700,9.13
1996-12-20,14.06,14.19,14.06,14.19,16800,9.26
1996-12-23,14.19,14.19,14.12,14.12,5500,9.21
1996-12-24,14.19,14.19,14.19,14.19,1000,9.26
1996-12-26,14.06,14.19,14.06,14.19,1100,9.26
1996-12-27,14.06,14.19,14.06,14.19,2000,9.26
1996-12-30,14.19,14.25,14.19,14.25,115700,9.3
1996-12-31,14.38,14.38,14.25,14.38,7500,9.38
1997-01-02,14.12,14.25,14.12,14.25,18700,9.3
1997-01-03,14.25,14.25,14.12,14.19,2800,9.26
1997-01-06,14.19,14.25,14.19,14.25,10700,9.3
1997-01-07,14.06,14.25,14.06,14.25,16600,9.3
1997-01-08,14.25,14.25,14.12,14.12,9900,9.21
1997-01-09,14.19,14.19,14.12,14.19,6200,9.26
1997-01-10,14.19,14.25,14.19,14.25,3100,9.3
1997-01-13,14.38,14.38,14.25,14.25,3200,9.3
1997-01-14,14.38,14.38,14.31,14.38,14600,9.38
1997-01-15,14.38,14.38,14.38,14.38,28600,9.38
1997-01-16,14.44,14.44,14.31,14.44,15300,9.42
1997-01-17,14.44,14.44,14.38,14.38,7000,9.38
1997-01-20,14.25,14.38,14.25,14.38,82900,9.38
1997-01-21,14.19,14.19,14.19,14.19,4400,9.26
1997-01-22,14.25,14.25,14.06,14.06,38600,9.17
1997-01-23,14.25,14.31,14.19,14.19,12000,9.26
1997-01-24,14.25,14.25,14.12,14.25,16600,9.3
1997-01-27,14.12,14.25,14.12,14.12,2500,9.21
1997-01-28,14.19,14.19,14.19,14.19,4200,9.26
1997-01-29,14.12,14.12,14.12,14.12,2100,9.21
1997-01-30,14.25,14.25,14.19,14.19,1800,9.26
1997-01-31,14.31,14.38,14.25,14.38,36900,9.38
1997-02-03,14.44,14.44,14.31,14.44,5000,9.42
1997-02-04,14.44,14.44,14.44,14.44,1800,9.42
1997-02-05,14.56,14.62,14.56,14.62,4300,9.54
1997-02-06,14.44,14.56,14.44,14.56,6100,9.5
1997-02-07,14.62,14.69,14.62,14.69,25000,9.58
1997-02-10,14.94,14.94,14.75,14.75,11200,9.62
1997-02-11,14.81,14.81,14.75,14.81,1900,9.66
1997-02-12,14.69,14.75,14.62,14.75,10900,9.62
1997-02-13,14.75,14.75,14.75,14.75,18700,9.62
1997-02-14,14.75,14.75,14.75,14.75,300,9.62
1997-02-18,14.69,14.81,14.69,14.81,4400,9.66
1997-02-19,14.75,14.75,14.75,14.75,18200,9.62
1997-02-20,14.5,14.62,14.44,14.44,25900,9.42
1997-02-21,14.44,14.62,14.44,14.62,26300,9.54
1997-02-24,14.69,14.69,14.69,14.69,400,9.58
1997-02-25,14.88,14.88,14.88,14.88,14300,9.7
1997-02-26,14.88,14.88,14.88,14.88,800,9.7
1997-02-27,14.94,14.94,14.81,14.88,3500,9.7
1997-02-28,14.88,14.88,14.75,14.88,11700,9.7
1997-03-03,14.75,14.75,14.75,14.75,1300,9.62
1997-03-04,15,15.06,15,15.06,12100,9.83
1997-03-05,15.12,15.19,15.12,15.12,7100,9.87
1997-03-06,15.25,15.25,15.12,15.12,8300,9.87
1997-03-07,15.19,15.19,15.12,15.12,2500,9.87
1997-03-10,15.31,15.38,15.31,15.38,600,10.03
1997-03-11,15.44,15.56,15.38,15.5,40100,10.11
1997-03-12,15.44,15.5,15.31,15.5,55700,10.11
1997-03-13,15.25,15.25,15.12,15.12,8600,9.87
1997-03-14,15.25,15.56,15.25,15.56,25400,10.15
1997-03-17,15.38,15.38,15.19,15.31,35200,9.99
1997-03-18,15.12,15.25,15.12,15.19,14000,9.91
1997-03-19,15.19,15.19,15.19,15.19,0,9.91
1997-03-20,15.25,15.25,14.88,14.88,19200,9.7
1997-03-21,15.12,15.31,15.12,15.12,6600,9.87
1997-03-24,15.12,15.25,15.12,15.25,47500,9.95
1997-03-25,15.38,15.5,15.38,15.5,37000,10.11
1997-03-26,15.62,15.75,15.56,15.75,12000,10.27
1997-03-27,15.75,15.81,15.75,15.81,25600,10.32
1997-03-31,15.62,15.62,15.44,15.44,91600,10.07
1997-04-01,15.25,15.25,15.19,15.19,102500,9.91
1997-04-02,15,15.06,14.94,14.94,7300,9.74
1997-04-03,14.81,14.81,14.75,14.75,15600,9.62
1997-04-04,14.88,15,14.88,15,23700,9.79
1997-04-07,15,15,15,15,18800,9.79
1997-04-08,15,15,14.94,15,2600,9.79
1997-04-09,15,15.06,15,15,4800,9.79
1997-04-10,15,15,15,15,5400,9.79
1997-04-11,14.88,14.94,14.88,14.94,10300,9.74
1997-04-14,14.81,14.88,14.81,14.88,1400,9.7
1997-04-15,14.88,14.94,14.88,14.94,23200,9.74
1997-04-16,14.94,14.94,14.94,14.94,300,9.74
1997-04-17,15.12,15.19,15.06,15.12,3700,9.87
1997-04-18,15.12,15.19,15.06,15.12,2800,9.87
1997-04-21,15.25,15.25,15.12,15.12,1400,9.87
1997-04-22,15.12,15.12,15.12,15.12,0,9.87
1997-04-23,15.38,15.38,15.19,15.38,71600,10.03
1997-04-24,15.31,15.31,15.19,15.19,8400,9.91
1997-04-25,15.19,15.19,15.06,15.19,7700,9.91
1997-04-28,15.06,15.06,14.94,15,7400,9.79
1997-04-29,15.12,15.25,15.12,15.25,1400,9.95
1997-04-30,15.25,15.31,15.12,15.12,10100,9.87
1997-05-01,15.38,15.38,15.38,15.38,1200,10.03
1997-05-02,15.5,15.5,15.5,15.5,2600,10.11
1997-05-05,15.62,15.75,15.62,15.75,7800,10.27
1997-05-06,15.88,15.94,15.75,15.81,11000,10.32
1997-05-07,15.69,15.69,15.69,15.69,12300,10.23
1997-05-08,15.75,15.81,15.75,15.81,6500,10.32
1997-05-09,16.12,16.19,16.12,16.19,2100,10.56
1997-05-12,16.19,16.38,16.19,16.38,9500,10.68
1997-05-13,16.31,16.38,16.25,16.38,20600,10.68
1997-05-14,16.31,16.38,16.19,16.31,6300,10.64
1997-05-15,16.31,16.31,16.31,16.31,13300,10.64
1997-05-16,16.44,16.44,16.38,16.38,3300,10.68
1997-05-19,16.06,16.25,16.06,16.25,1200,10.6
1997-05-20,16.12,16.12,16.12,16.12,20600,10.52
1997-05-21,16.31,16.5,16.31,16.5,4000,10.76
1997-05-22,16.38,16.38,16.38,16.38,1900,10.68
1997-05-23,16.5,16.56,16.38,16.44,15300,10.72
1997-05-27,16.5,16.56,16.44,16.56,22100,10.8
1997-05-28,16.5,16.5,16.38,16.38,8600,10.68
1997-05-29,16.44,16.44,16.38,16.38,900,10.68
1997-05-30,16,16.12,16,16.12,20000,10.52
1997-06-02,16,16.12,16,16.12,9000,10.52
1997-06-03,16.12,16.25,16.12,16.25,8900,10.6
1997-06-04,16.31,16.38,16.25,16.25,36300,10.6
1997-06-05,16.31,16.44,16.25,16.38,9100,10.68
1997-06-06,16.5,16.5,16.5,16.5,6200,10.76
1997-06-09,16.44,16.62,16.44,16.5,3700,10.76
1997-06-10,16.62,16.62,16.5,16.62,3600,10.85
1997-06-11,16.5,16.62,16.5,16.62,3300,10.85
1997-06-12,16.69,16.75,16.62,16.62,2300,10.85
1997-06-13,16.62,16.75,16.62,16.75,1900,10.93
1997-06-16,16.81,16.81,16.81,16.81,700,10.97
1997-06-17,16.69,16.69,16.56,16.69,14500,10.89
1997-06-18,16.75,16.75,16.56,16.56,3100,10.8
1997-06-19,16.88,16.94,16.75,16.88,10600,11.01
1997-06-20,16.88,16.94,16.75,16.75,2500,10.93
1997-06-23,16.88,16.88,16.81,16.81,1400,10.97
1997-06-24,16.94,17,16.94,17,1500,11.09
1997-06-25,17.19,17.19,17.06,17.19,8600,11.21
1997-06-26,17.06,17.12,16.88,17.12,6900,11.17
1997-06-27,16.94,17,16.94,17,1500,11.09
1997-06-30,16.81,16.81,16.56,16.56,30400,10.8
1997-07-01,16.81,16.94,16.81,16.81,24500,10.97
1997-07-02,16.94,16.94,16.88,16.88,22700,11.01
1997-07-03,17.25,17.25,17.25,17.25,4200,11.25
1997-07-07,17.62,17.62,17.56,17.62,5800,11.5
1997-07-08,17.5,17.62,17.5,17.62,9000,11.5
1997-07-09,17.69,17.69,17.5,17.5,7100,11.42
1997-07-10,17.56,17.56,17.44,17.44,7800,11.38
1997-07-11,17.62,17.62,17.44,17.62,5700,11.5
1997-07-14,17.5,17.69,17.5,17.69,10400,11.54
1997-07-15,17.5,17.62,17.5,17.62,3000,11.5
1997-07-16,17.81,17.94,17.81,17.94,3400,11.7
1997-07-17,18.06,18.12,18,18.12,7300,11.82
1997-07-18,17.94,17.94,17.75,17.94,42800,11.7
1997-07-21,17.62,17.62,17.44,17.62,12400,11.5
1997-07-22,17.94,17.94,17.81,17.88,10100,11.66
1997-07-23,18.38,18.38,18.12,18.19,17600,11.86
1997-07-24,18,18,17.88,17.94,20400,11.7
1997-07-25,17.75,17.94,17.75,17.94,4000,11.7
1997-07-28,18.06,18.12,17.94,18.12,11900,11.82
1997-07-29,18.12,18.12,18,18,32000,11.74
1997-07-30,18.25,18.38,18.25,18.38,2600,11.99
1997-07-31,18.38,18.44,18.25,18.31,12300,11.95
1997-08-01,17.94,18.06,17.94,17.94,4300,11.7
1997-08-04,17.5,17.56,17.44,17.56,3200,11.46
1997-08-05,17.5,17.5,17.31,17.31,16600,11.29
1997-08-06,17.5,17.62,17.44,17.62,6500,11.5
1997-08-07,17.94,17.94,17.88,17.94,10700,11.7
1997-08-08,17.75,17.81,17.62,17.81,6800,11.62
1997-08-11,17.69,17.69,17.5,17.56,9100,11.46
1997-08-12,17.75,17.88,17.69,17.75,6000,11.58
1997-08-13,17.69,17.75,17.69,17.69,1200,11.54
