"Index","EWH.Open","EWH.High","EWH.Low","EWH.Close","EWH.Volume","EWH.Adjusted"
1996-04-01,13.5,13.56,13.5,13.56,3100,7.76
1996-04-02,13.62,13.88,13.62,13.88,16600,7.94
1996-04-03,13.69,13.88,13.69,13.81,33000,7.9
1996-04-04,13.69,13.75,13.56,13.56,26500,7.76
1996-04-08,13.62,13.62,13.44,13.44,1500,7.69
1996-04-09,13.5,13.62,13.5,13.62,1100,7.79
1996-04-10,13.62,13.62,13.5,13.5,15300,7.72
1996-04-11,13.38,13.5,13.38,13.5,9100,7.72
1996-04-12,13.44,13.5,13.44,13.5,1500,7.72
1996-04-15,13.5,13.56,13.5,13.56,18700,7.76
1996-04-16,13.62,13.62,13.62,13.62,1300,7.79
1996-04-17,13.5,13.62,13.44,13.44,17200,7.69
1996-04-18,13.44,13.44,13.31,13.31,2300,7.62
1996-04-19,13.31,13.38,13.31,13.38,3600,7.65
1996-04-22,13.38,13.56,13.38,13.56,20000,7.76
1996-04-23,13.38,13.44,13.31,13.38,35900,7.65
1996-04-24,13.38,13.38,13.38,13.38,0,7.65
1996-04-25,13.31,13.31,13.25,13.25,6300,7.58
1996-04-26,13.12,13.31,13.12,13.31,30300,7.62
1996-04-29,13.31,13.31,13.31,13.31,400,7.62
1996-04-30,13.56,13.62,13.5,13.62,7200,7.79
1996-05-01,13.56,13.56,13.5,13.5,700,7.72
1996-05-02,13.5,13.5,13.19,13.19,29500,7.54
1996-05-03,13.25,13.38,13.25,13.31,72400,7.62
1996-05-06,13.12,13.25,13.12,13.25,5100,7.58
1996-05-07,13.31,13.38,13.25,13.38,18900,7.65
1996-05-08,13.44,13.44,13.25,13.44,7400,7.69
1996-05-09,13.44,13.5,13.44,13.5,6800,7.72
1996-05-10,13.5,13.56,13.5,13.56,3000,7.76
1996-05-13,13.5,13.56,13.44,13.44,5200,7.69
1996-05-14,13.44,13.62,13.44,13.62,83500,7.79
1996-05-15,13.69,13.69,13.44,13.44,4600,7.69
1996-05-16,13.44,13.56,13.44,13.56,2300,7.76
1996-05-17,13.62,13.62,13.62,13.62,5700,7.79
1996-05-20,13.75,13.75,13.69,13.69,6500,7.83
1996-05-21,13.75,13.94,13.75,13.88,3800,7.94
1996-05-22,14,14,13.62,13.62,76700,7.79
1996-05-23,13.81,13.81,13.62,13.75,5400,7.87
1996-05-24,13.81,13.81,13.75,13.81,8700,7.9
1996-05-28,13.88,13.88,13.81,13.88,6400,7.94
1996-05-29,13.94,13.94,13.88,13.94,6800,7.97
1996-05-30,13.94,13.94,13.81,13.88,4100,7.94
1996-05-31,13.94,13.94,13.81,13.88,13200,7.94
1996-06-03,13.88,13.88,13.56,13.56,700,7.76
1996-06-04,13.62,13.75,13.62,13.75,3600,7.87
1996-06-05,13.81,13.81,13.75,13.75,1700,7.87
1996-06-06,14,14,13.94,13.94,1600,7.97
1996-06-07,13.62,13.88,13.62,13.88,1100,7.94
1996-06-10,13.88,13.88,13.88,13.88,4000,7.94
1996-06-11,13.81,13.81,13.69,13.69,8100,7.83
1996-06-12,13.5,13.56,13.5,13.56,3200,7.76
1996-06-13,13.31,13.31,13.31,13.31,2100,7.62
1996-06-14,13.31,13.5,13.31,13.5,2700,7.72
1996-06-17,13.56,13.56,13.38,13.38,9200,7.65
1996-06-18,13.62,13.62,13.62,13.62,200,7.79
1996-06-19,13.44,13.62,13.44,13.62,2500,7.79
1996-06-20,13.56,13.56,13.56,13.56,300,7.76
1996-06-21,13.56,13.56,13.56,13.56,4300,7.76
1996-06-24,13.69,13.69,13.69,13.69,7600,7.83
1996-06-25,13.62,13.62,13.62,13.62,100,7.79
1996-06-26,13.75,13.75,13.69,13.69,400,7.83
1996-06-27,13.56,13.69,13.56,13.69,3000,7.83
1996-06-28,13.69,13.69,13.69,13.69,14000,7.83
1996-07-01,13.56,13.69,13.56,13.69,1400,7.83
1996-07-02,13.69,13.69,13.5,13.5,32900,7.72
1996-07-03,13.44,13.5,13.44,13.5,2600,7.72
1996-07-05,13.44,13.5,13.44,13.44,4800,7.69
1996-07-08,13.5,13.5,13.44,13.44,5600,7.69
1996-07-09,13.38,13.38,13.38,13.38,11500,7.65
1996-07-10,13.5,13.5,13.25,13.31,8600,7.62
1996-07-11,13.44,13.44,13.06,13.12,13900,7.51
1996-07-12,13,13.19,13,13.19,1300,7.54
1996-07-15,13.06,13.06,13,13,11900,7.44
1996-07-16,12.94,12.94,12.62,12.75,2700,7.29
1996-07-17,12.81,12.94,12.81,12.94,54400,7.4
1996-07-18,13.12,13.25,13.12,13.12,9400,7.51
1996-07-19,13.25,13.25,13.25,13.25,4000,7.58
1996-07-22,13,13.19,13,13.19,1300,7.54
1996-07-23,13.12,13.12,13.12,13.12,1800,7.51
1996-07-24,12.94,13.06,12.88,12.88,63100,7.37
1996-07-25,13,13,12.94,12.94,300,7.4
1996-07-26,12.88,12.88,12.81,12.81,300,7.33
1996-07-29,12.75,12.75,12.75,12.75,15100,7.29
1996-07-30,12.69,12.75,12.69,12.75,8500,7.29
1996-07-31,12.94,13,12.75,13,7300,7.44
1996-08-01,13.12,13.12,13.12,13.12,1000,7.51
1996-08-02,13.31,13.44,13.31,13.44,12000,7.69
1996-08-05,13.38,13.38,13.25,13.25,11200,7.58
1996-08-06,13.38,13.38,13.38,13.38,100,7.65
1996-08-07,13.38,13.38,13.38,13.38,0,7.65
1996-08-08,13.25,13.25,13.25,13.25,300,7.58
1996-08-09,13.25,13.25,13.25,13.25,0,7.58
1996-08-12,13.25,13.25,13.25,13.25,0,7.58
1996-08-13,13.25,13.38,13.25,13.38,2600,7.65
1996-08-14,13.38,13.38,13.25,13.25,6100,7.58
1996-08-15,13.38,13.38,13.38,13.38,200,7.65
1996-08-16,13.12,13.12,13.12,13.12,500,7.51
1996-08-19,13.19,13.44,13.19,13.19,5200,7.54
1996-08-20,13.31,13.56,13.25,13.56,1300,7.76
1996-08-21,13.62,13.62,13.44,13.56,75100,7.76
1996-08-22,13.69,13.69,13.69,13.69,35100,7.83
1996-08-23,13.62,13.62,13.62,13.62,500,7.79
1996-08-26,13.38,13.38,13.38,13.38,100,7.76
1996-08-27,13.31,13.31,13.31,13.31,1600,7.73
1996-08-28,13.44,13.44,13.25,13.25,7200,7.69
1996-08-29,13.31,13.38,13.12,13.12,2100,7.62
1996-08-30,13,13,13,13,500,7.55
1996-09-03,13,13,12.88,13,2100,7.55
1996-09-04,13,13,13,13,5600,7.55
1996-09-05,13,13,12.88,13,1200,7.55
1996-09-06,12.81,13.12,12.81,13.12,1100,7.62
1996-09-09,13.25,13.25,13.06,13.06,3700,7.58
1996-09-10,13,13.25,13,13.25,15000,7.69
1996-09-11,13.12,13.12,13.12,13.12,21000,7.62
1996-09-12,13.25,13.25,13.25,13.25,1200,7.69
1996-09-13,13.44,13.5,13.44,13.5,600,7.84
1996-09-16,13.5,13.5,13.5,13.5,800,7.84
1996-09-17,13.56,13.56,13.56,13.56,100,7.87
1996-09-18,13.69,13.69,13.5,13.5,34900,7.84
1996-09-19,13.56,13.56,13.44,13.44,600,7.8
1996-09-20,13.44,13.62,13.44,13.62,1300,7.91
1996-09-23,13.44,13.56,13.38,13.5,4500,7.84
1996-09-24,13.56,13.56,13.38,13.5,22700,7.84
1996-09-25,13.62,13.62,13.44,13.44,1200,7.8
1996-09-26,13.62,13.62,13.62,13.62,1500,7.91
1996-09-27,13.62,13.62,13.62,13.62,0,7.91
1996-09-30,13.75,13.88,13.69,13.75,39400,7.98
1996-10-01,13.75,13.88,13.75,13.88,30000,8.05
1996-10-02,13.94,14,13.94,14,25200,8.13
1996-10-03,14,14,13.88,14,6000,8.13
1996-10-04,13.88,14.06,13.81,14.06,10700,8.16
1996-10-07,14,14.19,14,14.19,1000,8.24
1996-10-08,14.19,14.19,14.19,14.19,8900,8.24
1996-10-09,14.38,14.38,14.31,14.31,29400,8.31
1996-10-10,14.31,14.31,14.31,14.31,2500,8.31
1996-10-11,14.25,14.38,14.25,14.38,300,8.34
1996-10-14,14.44,14.44,14.25,14.25,3500,8.27
1996-10-15,14.62,14.62,14.44,14.5,2900,8.42
1996-10-16,14.5,14.5,14.31,14.38,17500,8.34
1996-10-17,14.44,14.56,14.38,14.5,6200,8.42
1996-10-18,14.62,14.62,14.5,14.5,1500,8.42
1996-10-21,14.56,14.69,14.5,14.56,42200,8.45
1996-10-22,14.5,14.5,14.38,14.38,2900,8.34
1996-10-23,14.38,14.56,14.38,14.56,10700,8.45
1996-10-24,14.5,14.5,14.5,14.5,4700,8.42
1996-10-25,14.25,14.44,14.25,14.44,23300,8.38
1996-10-28,14.31,14.31,14.12,14.19,12400,8.24
1996-10-29,14.12,14.12,14.06,14.12,4300,8.2
1996-10-30,14.5,14.5,14.31,14.31,11500,8.31
1996-10-31,14.44,14.56,14.38,14.56,4400,8.45
1996-11-01,14.56,14.56,14.56,14.56,100,8.45
1996-11-04,14.56,14.56,14.56,14.56,0,8.45
1996-11-05,14.56,14.62,14.56,14.62,1000,8.49
1996-11-06,14.62,14.94,14.62,14.94,12200,8.67
1996-11-07,14.81,14.81,14.62,14.81,57400,8.6
1996-11-08,14.88,14.88,14.88,14.88,2600,8.64
1996-11-11,14.69,14.88,14.56,14.81,19400,8.6
1996-11-12,14.69,14.88,14.69,14.81,10000,8.6
1996-11-13,14.94,15.06,14.94,15,12400,8.71
1996-11-14,15,15.25,15,15.19,46100,8.82
1996-11-15,15.12,15.12,15,15,7400,8.71
1996-11-18,15.38,15.38,15.31,15.38,5600,8.93
1996-11-19,15.38,15.44,15.25,15.44,23000,8.96
1996-11-20,15.5,15.62,15.44,15.56,82000,9.03
1996-11-21,15.5,15.5,15.5,15.5,1000,9
1996-11-22,15.5,15.56,15.44,15.5,22800,9
1996-11-25,15.62,15.69,15.5,15.69,13800,9.11
1996-11-26,15.88,16,15.88,15.88,31200,9.22
1996-11-27,15.75,16,15.75,15.88,11600,9.22
1996-11-29,15.81,15.88,15.75,15.88,3300,9.22
1996-12-02,16.06,16.06,15.81,15.88,21000,9.22
1996-12-03,15.94,16.06,15.75,15.75,29000,9.14
1996-12-04,15.75,15.88,15.62,15.88,2700,9.22
1996-12-05,16.06,16.06,15.75,15.94,7200,9.25
1996-12-06,15.44,15.56,15.19,15.56,43400,9.03
1996-12-09,15.56,15.56,15.56,15.56,10500,9.03
1996-12-10,15.75,15.88,15.75,15.81,8000,9.18
1996-12-11,15.31,15.56,15.31,15.38,15400,8.93
1996-12-12,15.44,15.5,15.25,15.38,15100,8.93
1996-12-13,15.06,15.19,15.06,15.19,25800,8.82
1996-12-16,15.12,15.38,15.06,15.06,14600,8.74
1996-12-17,14.94,15.12,14.94,15.12,16200,8.78
1996-12-18,15.12,15.12,15.12,15.12,800,8.78
1996-12-19,15.25,15.38,15.12,15.38,12800,8.93
1996-12-20,15.62,15.62,15.5,15.56,10500,9.03
1996-12-23,15.5,15.56,15.38,15.44,5800,9.03
1996-12-24,15.62,15.62,15.56,15.56,1000,9.1
1996-12-26,15.38,15.62,15.38,15.62,7300,9.13
1996-12-27,15.62,15.62,15.62,15.62,1100,9.13
1996-12-30,15.62,15.62,15.44,15.62,4700,9.13
1996-12-31,15.38,15.5,15.38,15.38,9300,8.99
1997-01-02,15.38,15.38,15.12,15.12,19700,8.84
1997-01-03,15.12,15.44,15.12,15.44,27500,9.03
1997-01-06,15.56,15.62,15.44,15.62,3300,9.13
1997-01-07,15.5,15.62,15.5,15.62,15300,9.13
1997-01-08,15.62,15.62,15.5,15.62,4700,9.13
1997-01-09,15.25,15.38,15.12,15.38,36400,8.99
1997-01-10,15,15.56,15,15.31,39300,8.95
1997-01-13,15.44,15.44,15.38,15.38,7600,8.99
1997-01-14,15.12,15.44,15.12,15.25,28100,8.92
1997-01-15,15.56,15.94,15.56,15.88,79200,9.28
1997-01-16,15.88,15.94,15.81,15.88,105900,9.28
1997-01-17,15.94,15.94,15.81,15.88,4400,9.28
1997-01-20,15.62,15.88,15.62,15.88,9300,9.28
1997-01-21,15.81,15.81,15.62,15.75,2800,9.21
1997-01-22,15.75,15.81,15.56,15.56,38900,9.1
