"Index","EWN.Open","EWN.High","EWN.Low","EWN.Close","EWN.Volume","EWN.Adjusted"
1996-04-01,16.69,16.69,16.69,16.69,500,9.26
1996-04-02,16.69,16.69,16.69,16.69,0,9.26
1996-04-03,16.81,16.81,16.81,16.81,100,9.33
1996-04-04,16.81,16.81,16.81,16.81,0,9.33
1996-04-08,16.81,16.81,16.56,16.69,4500,9.26
1996-04-09,16.69,16.81,16.69,16.81,1900,9.33
1996-04-10,16.88,16.88,16.88,16.88,600,9.36
1996-04-11,16.88,16.88,16.88,16.88,0,9.36
1996-04-12,16.81,16.81,16.81,16.81,200,9.33
1996-04-15,16.94,16.94,16.94,16.94,500,9.4
1996-04-16,16.94,16.94,16.94,16.94,6000,9.4
1996-04-17,16.88,16.88,16.88,16.88,200,9.36
1996-04-18,16.75,16.81,16.75,16.81,600,9.33
1996-04-19,16.88,16.88,16.88,16.88,700,9.36
1996-04-22,16.88,16.88,16.88,16.88,60500,9.36
1996-04-23,16.88,16.88,16.88,16.88,500,9.36
1996-04-24,16.88,16.88,16.88,16.88,0,9.36
1996-04-25,16.75,16.75,16.75,16.75,1700,9.29
1996-04-26,16.75,16.75,16.75,16.75,6600,9.29
1996-04-29,16.81,16.81,16.81,16.81,300,9.33
1996-04-30,16.81,16.81,16.62,16.62,300,9.22
1996-05-01,16.81,16.81,16.81,16.81,300,9.33
1996-05-02,16.81,16.81,16.81,16.81,1200,9.33
1996-05-03,16.75,16.88,16.75,16.88,8500,9.36
1996-05-06,17.06,17.06,17,17.06,8800,9.47
1996-05-07,16.88,17.06,16.88,17.06,11500,9.47
1996-05-08,16.94,16.94,16.94,16.94,200,9.4
1996-05-09,17.12,17.12,17.12,17.12,400,9.5
1996-05-10,17.06,17.06,16.88,17.06,51000,9.47
1996-05-13,17.06,17.06,17.06,17.06,0,9.47
1996-05-14,17,17.06,17,17.06,2100,9.47
1996-05-15,17.19,17.19,17.19,17.19,200,9.54
1996-05-16,17.12,17.12,17.12,17.12,1300,9.5
1996-05-17,17.06,17.06,17.06,17.06,1500,9.47
1996-05-20,17.06,17.06,17.06,17.06,0,9.47
1996-05-21,17.38,17.38,17.38,17.38,100,9.64
1996-05-22,17.25,17.31,17.25,17.31,800,9.6
1996-05-23,17.12,17.38,17.12,17.38,6100,9.64
1996-05-24,17.44,17.44,17.44,17.44,500,9.67
1996-05-28,17.5,17.5,17.5,17.5,1200,9.71
1996-05-29,17.56,17.62,17.56,17.62,800,9.78
1996-05-30,17.75,17.75,17.44,17.44,12700,9.67
1996-05-31,17.75,17.75,17.75,17.75,1000,9.85
1996-06-03,17.75,17.75,17.75,17.75,0,9.85
1996-06-04,17.62,17.62,17.62,17.62,500,9.78
1996-06-05,17.75,17.75,17.75,17.75,8500,9.85
1996-06-06,17.75,17.75,17.75,17.75,0,9.85
1996-06-07,17.62,17.62,17.62,17.62,1300,9.78
1996-06-10,17.62,17.62,17.62,17.62,0,9.78
1996-06-11,17.69,17.69,17.69,17.69,11600,9.81
1996-06-12,17.62,17.62,17.62,17.62,200,9.78
1996-06-13,17.62,17.62,17.62,17.62,0,9.78
1996-06-14,17.62,17.62,17.62,17.62,0,9.78
1996-06-17,17.69,17.69,17.69,17.69,500,9.81
1996-06-18,17.81,17.81,17.81,17.81,2100,9.88
1996-06-19,17.81,17.81,17.81,17.81,0,9.88
1996-06-20,17.5,17.5,17.5,17.5,900,9.71
1996-06-21,17.5,17.5,17.5,17.5,1800,9.71
1996-06-24,17.44,17.44,17.44,17.44,1700,9.67
1996-06-25,17.5,17.5,17.38,17.38,4300,9.64
1996-06-26,17.56,17.56,17.56,17.56,400,9.74
1996-06-27,17.5,17.62,17.44,17.62,1800,9.78
1996-06-28,17.75,17.75,17.75,17.75,100,9.85
1996-07-01,17.75,17.75,17.75,17.75,1200,9.85
1996-07-02,17.75,17.75,17.69,17.69,200,9.81
1996-07-03,17.75,17.75,17.75,17.75,7000,9.85
1996-07-05,17.75,17.75,17.75,17.75,0,9.85
1996-07-08,17.5,17.5,17.5,17.5,100,9.71
1996-07-09,17.56,17.56,17.56,17.56,100,9.74
1996-07-10,17.31,17.5,17.31,17.5,34200,9.71
1996-07-11,17.38,17.38,17.25,17.25,600,9.57
1996-07-12,17.25,17.25,17.25,17.25,100,9.57
1996-07-15,17,17,17,17,12200,9.43
1996-07-16,17.12,17.12,17.12,17.12,100,9.5
1996-07-17,17.12,17.12,17.12,17.12,0,9.5
1996-07-18,17.38,17.38,17.12,17.12,13700,9.5
1996-07-19,17.38,17.38,17.38,17.38,700,9.64
1996-07-22,17.19,17.19,17.19,17.19,400,9.54
1996-07-23,17.19,17.19,17.19,17.19,0,9.54
1996-07-24,16.75,16.75,16.75,16.75,68500,9.29
1996-07-25,16.88,16.88,16.88,16.88,100,9.36
1996-07-26,16.88,16.88,16.88,16.88,0,9.36
1996-07-29,16.88,16.88,16.88,16.88,0,9.36
1996-07-30,17.06,17.06,17.06,17.06,600,9.47
1996-07-31,17.31,17.44,17.31,17.38,7800,9.64
1996-08-01,17.38,17.38,17.25,17.25,5400,9.57
1996-08-02,17.75,17.75,17.62,17.62,12500,9.78
1996-08-05,17.62,17.62,17.62,17.62,0,9.78
