"Index","EWW.Open","EWW.High","EWW.Low","EWW.Close","EWW.Volume","EWW.Adjusted"
1996-04-01,10.81,10.94,10.81,10.94,12100,7.55
1996-04-02,10.88,10.94,10.81,10.81,17200,7.46
1996-04-03,10.81,10.88,10.81,10.88,2600,7.5
1996-04-04,10.94,10.94,10.81,10.88,1600,7.5
1996-04-08,10.75,10.75,10.56,10.62,6400,7.33
1996-04-09,10.62,10.62,10.62,10.62,1100,7.33
1996-04-10,10.75,10.75,10.75,10.75,2500,7.42
1996-04-11,10.62,10.62,10.56,10.56,20500,7.29
1996-04-12,10.5,11.19,10.5,11.19,3400,7.72
1996-04-15,11.12,11.38,11.12,11.38,1200,7.85
1996-04-16,11.38,11.38,11.25,11.31,29900,7.81
1996-04-17,11.31,11.75,11.31,11.62,18000,8.02
1996-04-18,11.62,11.88,11.62,11.88,16700,8.19
1996-04-19,12,12.06,11.56,12.06,20300,8.32
1996-04-22,11.88,12.12,11.88,12,3500,8.28
1996-04-23,12,12,11.75,11.88,3600,8.19
1996-04-24,11.88,11.88,11.81,11.81,6500,8.15
1996-04-25,11.81,11.81,11.62,11.69,10100,8.06
1996-04-26,11.88,11.88,11.75,11.75,63600,8.11
1996-04-29,11.62,11.62,11.5,11.5,11300,7.94
1996-04-30,11.5,11.56,11.5,11.56,3600,7.98
1996-05-01,11.62,11.62,11.44,11.62,2800,8.02
1996-05-02,11.62,11.62,11.25,11.25,4700,7.76
1996-05-03,11.5,11.5,11.31,11.31,9700,7.81
1996-05-06,11.06,11.06,11,11,10800,7.59
1996-05-07,11.25,11.31,11.12,11.12,2600,7.68
1996-05-08,11.31,11.44,11.25,11.44,53100,7.89
1996-05-09,11.5,11.56,11.5,11.56,1600,7.98
1996-05-10,11.56,11.62,11.56,11.62,11400,8.02
1996-05-13,11.62,11.69,11.62,11.69,2000,8.06
1996-05-14,11.88,11.88,11.75,11.75,4700,8.11
1996-05-15,11.81,11.81,11.75,11.75,2000,8.11
1996-05-16,11.69,11.69,11.62,11.69,2400,8.06
1996-05-17,11.5,11.81,11.5,11.81,27500,8.15
1996-05-20,11.88,11.94,11.88,11.94,52500,8.24
1996-05-21,12,12.12,12,12.12,7000,8.37
1996-05-22,12.06,12.06,12.06,12.06,51900,8.32
1996-05-23,12.06,12.12,12.06,12.06,6600,8.32
1996-05-24,12.12,12.12,12,12,1600,8.28
1996-05-28,12.12,12.12,12.06,12.06,13200,8.32
1996-05-29,12.06,12.06,11.88,11.94,6200,8.24
1996-05-30,11.81,11.94,11.75,11.81,21100,8.15
1996-05-31,11.75,11.75,11.62,11.62,2600,8.02
1996-06-03,11.69,11.69,11.62,11.69,700,8.06
1996-06-04,11.88,11.88,11.88,11.88,1500,8.19
1996-06-05,11.94,11.94,11.81,11.81,1200,8.15
1996-06-06,11.88,11.88,11.88,11.88,400,8.19
1996-06-07,11.62,11.62,11.62,11.62,700,8.02
1996-06-10,11.62,11.62,11.62,11.62,0,8.02
1996-06-11,11.69,11.69,11.62,11.62,3000,8.02
1996-06-12,11.5,11.5,11.5,11.5,200,7.94
1996-06-13,11.5,11.5,11.5,11.5,0,7.94
1996-06-14,11.44,11.44,11.44,11.44,1000,7.89
1996-06-17,11.44,11.44,11.44,11.44,0,7.89
1996-06-18,11.62,11.69,11.56,11.56,142000,7.98
1996-06-19,11.75,11.75,11.69,11.69,2900,8.06
1996-06-20,11.75,11.75,11.5,11.62,2300,8.02
1996-06-21,11.5,11.5,11.5,11.5,2000,7.94
1996-06-24,11.31,11.31,11.12,11.12,5000,7.68
1996-06-25,11.38,11.38,11.38,11.38,200,7.85
1996-06-26,11.19,11.31,11.19,11.31,1400,7.81
1996-06-27,11.38,11.69,11.38,11.69,31600,8.06
1996-06-28,11.62,11.62,11.62,11.62,6900,8.02
1996-07-01,11.62,11.62,11.38,11.38,400,7.85
1996-07-02,11.38,11.44,11.38,11.44,4000,7.89
1996-07-03,11.5,11.5,11.38,11.38,3200,7.85
1996-07-05,11.12,11.12,11,11,33900,7.59
1996-07-08,11,11,10.75,10.75,900,7.42
1996-07-09,10.88,10.88,10.88,10.88,3000,7.5
1996-07-10,10.81,11,10.81,11,800,7.59
1996-07-11,10.88,10.88,10.62,10.62,4500,7.33
1996-07-12,10.88,10.88,10.88,10.88,600,7.5
1996-07-15,10.5,10.5,10.31,10.31,18400,7.12
1996-07-16,10.25,10.25,10.12,10.12,14200,6.99
1996-07-17,10.5,10.62,10.5,10.62,7800,7.33
1996-07-18,10.88,10.88,10.88,10.88,11500,7.5
1996-07-19,10.88,10.88,10.88,10.88,0,7.5
