"Index","EWZ.Open","EWZ.High","EWZ.Low","EWZ.Close","EWZ.Volume","EWZ.Adjusted"
2000-07-14,18.75,18.88,18.75,18.88,25000,12.34
2000-07-17,19.94,20,19.94,20,10000,13.07
2000-07-18,19.94,19.94,19.94,19.94,10000,13.03
2000-07-19,19.44,19.44,19.44,19.44,10000,12.71
2000-07-20,19.88,19.88,19.88,19.88,5000,12.99
2000-07-21,20,20,20,20,200,13.07
2000-07-24,20,20,20,20,0,13.07
2000-07-25,20,20,20,20,0,13.07
2000-07-26,20,20,20,20,0,13.07
2000-07-27,19.75,19.75,19.75,19.75,100,12.91
2000-07-28,20,20,19.38,19.38,21300,12.67
2000-07-31,19.31,19.38,19.31,19.38,200,12.67
2000-08-01,19,19.25,19,19.25,7400,12.58
2000-08-02,19,19,19,19,100,12.42
2000-08-03,18.88,18.88,18.88,18.88,10000,12.34
2000-08-04,19.38,19.62,19.38,19.62,700,12.83
2000-08-07,19.56,19.62,19.44,19.62,1100,12.83
2000-08-08,19.62,19.62,19.62,19.62,0,12.83
2000-08-09,19.62,19.62,19.62,19.62,0,12.83
2000-08-10,19,19,19,19,200,12.42
2000-08-11,19.44,19.44,19.44,19.44,600,12.71
2000-08-14,19.44,19.44,19.44,19.44,0,12.71
2000-08-15,20.25,20.25,20,20,5400,13.07
2000-08-16,20,20,20,20,0,13.07
2000-08-17,20.31,20.31,20.31,20.31,300,13.28
2000-08-18,19.75,19.75,19.75,19.75,200,12.91
2000-08-21,19.75,19.75,19.75,19.75,300,12.91
2000-08-22,19.75,19.75,19.75,19.75,0,12.91
2000-08-23,19.75,19.75,19.75,19.75,0,12.91
2000-08-24,19.25,19.25,19.25,19.25,15000,12.82
2000-08-25,19.5,19.62,19.5,19.62,2200,13.07
2000-08-28,19.75,19.75,19.69,19.69,500,13.11
2000-08-29,19,19.38,19,19.19,27300,12.78
2000-08-30,19.19,19.19,19.19,19.19,0,12.78
2000-08-31,19.81,19.88,19.75,19.75,2600,13.15
2000-09-01,19.75,19.75,19.75,19.75,4900,13.15
2000-09-05,19.62,19.62,19.62,19.62,300,13.07
2000-09-06,20.19,20.25,20.12,20.25,2700,13.49
2000-09-07,20.38,20.38,20.25,20.31,4400,13.53
2000-09-08,20,20,19.5,19.5,1100,12.99
2000-09-11,19.5,20.06,19.5,20,1400,13.32
2000-09-12,19.69,19.69,19.69,19.69,500,13.11
2000-09-13,19.38,19.44,19.25,19.25,2100,12.82
2000-09-14,19,19,19,19,1100,12.65
2000-09-15,18.44,18.62,18.44,18.62,10600,12.4
2000-09-18,18.38,18.38,18.12,18.19,1000,12.11
2000-09-19,18,18.06,18,18.06,10500,12.03
2000-09-20,17.62,17.69,17.62,17.69,400,11.78
2000-09-21,18,18,18,18,10000,11.99
2000-09-22,18.06,18.06,18.06,18.06,1800,12.03
2000-09-25,18.44,18.44,18.44,18.44,2000,12.28
2000-09-26,17.75,18.25,17.75,18.25,10700,12.15
2000-09-27,17.94,17.94,17.94,17.94,100,11.95
