"Index","GREK.Open","GREK.High","GREK.Low","GREK.Close","GREK.Volume","GREK.Adjusted"
2011-12-08,14.95,14.98,14.75,14.76,3500,14.55
2011-12-09,14.71,14.89,14.71,14.8,2000,14.59
2011-12-12,14.8,14.8,14.17,14.22,8100,14.02
2011-12-13,14.93,14.93,14,14.11,7900,13.91
2011-12-14,13.98,13.98,13.6,13.85,600,13.65
2011-12-15,13.95,13.99,13.95,13.99,3800,13.79
2011-12-16,14,14.08,13.3,13.73,11000,13.53
2011-12-19,13.64,14.46,13.46,13.66,4400,13.46
2011-12-20,14.09,14.09,13.8,13.8,3300,13.6
2011-12-21,14.04,14.04,14.04,14.04,500,13.84
2011-12-22,14.33,14.33,13.97,13.97,2100,13.77
2011-12-23,13.85,14.17,13.85,14.17,2200,13.97
2011-12-27,14.26,14.26,14.15,14.15,1400,13.95
2011-12-28,13.7,13.79,13.7,13.79,700,13.62
2011-12-29,13.79,13.79,13.79,13.79,0,13.62
2011-12-30,14.4,14.4,14.02,14.02,800,13.85
2012-01-03,14,14.2,13.83,14.18,2600,14.01
2012-01-04,13.75,13.75,13.75,13.75,2000,13.58
2012-01-05,13.26,13.5,13.26,13.5,1200,13.34
2012-01-06,13.5,13.5,13.5,13.5,0,13.34
2012-01-09,13.5,13.5,12.92,12.97,2900,12.81
2012-01-10,12.8,12.81,12.7,12.7,1600,12.55
2012-01-11,12.85,12.85,12.78,12.78,1300,12.62
2012-01-12,12.75,13.11,12.75,12.99,5500,12.83
2012-01-13,12.8,13.01,12.8,13.01,1300,12.85
2012-01-17,13.68,13.77,13.09,13.54,13000,13.38
2012-01-18,14,14.3,13.9,14.1,6500,13.93
2012-01-19,14.5,14.74,14.5,14.6,10100,14.42
2012-01-20,15.1,15.27,14.95,15.15,10000,14.97
2012-01-23,16.39,16.39,15.85,16.01,14900,15.82
2012-01-24,15.85,15.88,15.21,15.21,6000,15.03
2012-01-25,16.12,16.51,16.01,16.51,5100,16.31
2012-01-26,18,18.02,17.04,17.35,2000,17.14
2012-01-27,17.25,17.7,17.25,17.4,4700,17.19
2012-01-30,17.4,17.6,17.2,17.42,3800,17.21
2012-01-31,18.38,19.28,18.38,19.2,14400,18.97
2012-02-01,19.41,19.41,18.88,19,13400,18.77
2012-02-02,18.89,18.9,18.53,18.76,13400,18.53
2012-02-03,17.8,17.8,17.5,17.69,38700,17.48
2012-02-06,18.2,18.49,17.98,18.31,20500,18.09
2012-02-07,18.9,19.54,18.9,19.39,49600,19.15
2012-02-08,19.4,19.53,19.1,19.16,8100,18.93
2012-02-09,19.62,19.86,18.88,19.21,28900,18.98
2012-02-10,18.52,18.52,17.58,17.99,16800,17.77
2012-02-13,19.72,19.93,18.93,19.31,13000,19.08
2012-02-14,19.49,19.49,18.71,18.82,5800,18.59
2012-02-15,18.46,18.46,17.34,17.57,17500,17.36
2012-02-16,17.5,18.17,17.22,18.15,6100,17.93
2012-02-17,18.96,19.6,18.96,19.4,63100,19.16
2012-02-21,19.1,19.1,18.33,18.56,19500,18.33
2012-02-22,17.85,17.85,17,17.02,12500,16.81
2012-02-23,17,17.1,16.55,17.09,3900,16.88
2012-02-24,17,17.56,17,17.2,8000,16.99
2012-02-27,17,17.48,17,17.15,6500,16.94
2012-02-28,16.9,16.9,16.33,16.37,11000,16.17
2012-02-29,17,17.25,17,17,9100,16.79
2012-03-01,16.94,17.21,16.85,16.86,17000,16.66
2012-03-02,16.87,17.16,16.71,16.85,2800,16.65
2012-03-05,16.7,16.7,16.25,16.3,1900,16.1
2012-03-06,16.7,17.26,16.6,16.6,19000,16.4
2012-03-07,16.6,17.18,16.6,16.95,9900,16.74
2012-03-08,17.72,17.72,16.93,17.66,9100,17.45
2012-03-09,17.66,17.66,16.86,16.97,8600,16.76
2012-03-12,16.7,16.7,16.19,16.3,1800,16.1
2012-03-13,16.1,16.5,15.71,16.45,13100,16.25
2012-03-14,16.44,16.65,16.07,16.07,30100,15.88
2012-03-15,16.19,16.5,16.11,16.38,6100,16.18
2012-03-16,16.58,16.94,16.58,16.7,6200,16.5
2012-03-19,17,17.59,17,17.47,8400,17.26
2012-03-20,17.4,17.4,17.14,17.32,8300,17.11
2012-03-21,17.26,17.26,16.79,16.84,6200,16.64
2012-03-22,16.55,16.98,16.55,16.98,1600,16.77
2012-03-23,16.78,16.85,16.78,16.85,400,16.65
2012-03-26,16.89,17.1,16.89,17.1,5200,16.89
2012-03-27,16.6,16.7,16.32,16.5,9300,16.3
2012-03-28,16.1,16.3,15.83,15.97,8200,15.78
2012-03-29,15.7,15.76,15.7,15.71,1500,15.52
2012-03-30,15.5,15.66,15.5,15.66,2700,15.47
2012-04-02,15.18,15.33,15.18,15.28,20400,15.09
2012-04-03,15.13,15.29,14.84,14.84,4200,14.66
2012-04-04,15.08,15.08,14.3,14.37,9600,14.2
2012-04-05,14.89,14.94,14.37,14.82,9100,14.64
2012-04-09,14.6,14.64,14.34,14.55,4700,14.37
2012-04-10,15.02,15.5,15.02,15.16,13000,14.98
2012-04-11,15.29,15.29,15.01,15.02,700,14.84
2012-04-12,14.96,15.62,14.96,15.27,3100,15.08
2012-04-13,14.92,15.01,14.72,14.85,6000,14.67
2012-04-16,14.9,15.26,14.9,15.01,1600,14.83
2012-04-17,15.1,15.61,15.1,15.61,8600,15.42
2012-04-18,15.21,15.4,15.18,15.3,2900,15.11
2012-04-19,14.77,14.79,14.64,14.79,1200,14.61
2012-04-20,14.88,14.89,14.88,14.89,600,14.71
2012-04-23,14.5,14.62,14.5,14.62,2200,14.44
2012-04-24,14.62,14.62,14.62,14.62,0,14.44
2012-04-25,14.78,14.78,14.73,14.73,800,14.55
2012-04-26,14.73,14.73,14.73,14.73,0,14.55
2012-04-27,14.45,14.45,14.25,14.41,3600,14.24
2012-04-30,14.6,14.6,14.53,14.53,600,14.35
2012-05-01,14.25,14.7,14.25,14.7,400,14.52
2012-05-02,14.44,14.44,13.7,14.17,8300,14
2012-05-03,14.06,14.11,13.95,14.03,9800,13.86
2012-05-04,14.14,14.2,14,14.2,1300,14.03
2012-05-07,12.91,13.36,12.91,13.3,29000,13.14
2012-05-08,12.75,12.75,12.11,12.66,24700,12.51
2012-05-09,12.35,12.6,12.25,12.39,2700,12.24
2012-05-10,13.01,13.01,12.36,12.71,6900,12.56
2012-05-11,12.52,12.52,12.3,12.48,36000,12.33
2012-05-14,11.99,12.25,11.65,11.65,33100,11.51
2012-05-15,11.67,11.67,11.05,11.11,60000,10.98
2012-05-16,11,11,10.65,10.71,24300,10.58
2012-05-17,10.5,10.58,10.25,10.35,29400,10.22
2012-05-18,11,12.5,10.52,10.72,30100,10.59
2012-05-21,11.42,11.42,10.47,10.7,3600,10.57
2012-05-22,10.7,10.7,10.32,10.35,62100,10.22
2012-05-23,10.26,10.29,9.91,10.22,75000,10.1
