"Index","GXG.Open","GXG.High","GXG.Low","GXG.Close","GXG.Volume","GXG.Adjusted"
2009-02-09,15.65,15.65,15.45,15.45,800,6.64
2009-02-10,15.02,15.1,15,15,600,6.45
2009-02-11,15,15,15,15,0,6.45
2009-02-12,15,15,15,15,0,6.45
2009-02-13,15.24,15.24,15.24,15.24,200,6.55
2009-02-17,15.21,15.21,14.67,14.67,1000,6.31
2009-02-18,14.7,14.7,14.7,14.7,200,6.32
2009-02-19,14.48,14.82,14.48,14.82,1000,6.37
2009-02-20,14.45,14.45,14.1,14.1,600,6.06
2009-02-23,14,14,14,14,200,6.02
2009-02-24,13.68,13.68,13.68,13.68,400,5.88
2009-02-25,14.13,14.13,14.13,14.13,200,6.08
2009-02-26,14.13,14.13,14.13,14.13,0,6.08
2009-02-27,14.13,14.13,14.13,14.13,0,6.08
2009-03-02,14.13,14.13,14.13,14.13,0,6.08
2009-03-03,14.13,14.13,14.13,14.13,0,6.08
2009-03-04,14.34,14.34,14.34,14.34,200,6.17
2009-03-05,14.34,14.34,14.34,14.34,0,6.17
2009-03-06,14.34,14.34,14.34,14.34,0,6.17
2009-03-09,14.34,14.34,14.34,14.34,0,6.17
2009-03-10,14.68,14.68,14.68,14.68,200,6.31
2009-03-11,14.68,14.68,14.68,14.68,0,6.31
2009-03-12,14.68,14.68,14.68,14.68,0,6.31
2009-03-13,15.28,15.28,15.07,15.07,1600,6.48
2009-03-16,15.41,15.43,15.41,15.43,1400,6.64
2009-03-17,15.78,15.78,15.78,15.78,1000,6.79
2009-03-18,15.77,15.77,15.77,15.77,1000,6.78
2009-03-19,16.2,16.2,16.12,16.13,21000,6.94
2009-03-20,16.21,16.21,16.21,16.21,1000,6.97
2009-03-23,16.19,16.44,16.19,16.3,2000,7.01
2009-03-24,16.4,16.51,16.2,16.2,13800,6.97
2009-03-25,16.2,16.52,16,16.13,20200,6.94
2009-03-26,16.12,16.12,15.99,15.99,3200,6.88
2009-03-27,15.76,15.78,15.4,15.4,22200,6.62
2009-03-30,15.5,15.5,14.9,15.03,3800,6.46
2009-03-31,15.08,15.1,15.08,15.1,3400,6.49
2009-04-01,15.03,15.2,14.94,15.2,5000,6.54
2009-04-02,13.8,16.64,13.8,15.71,5000,6.76
2009-04-03,15.95,15.95,15.67,15.8,2600,6.79
2009-04-06,16.09,16.09,15.78,15.78,1800,6.79
2009-04-07,16.14,16.14,16,16,3600,6.88
2009-04-08,16.27,16.27,16.27,16.27,400,7
2009-04-09,16.24,16.26,16.24,16.26,400,6.99
2009-04-13,16.26,16.26,16.26,16.26,0,6.99
2009-04-14,16.32,16.47,15.96,16.26,3600,6.99
2009-04-15,16.53,16.53,16.37,16.37,800,7.04
2009-04-16,16.65,16.65,16.55,16.55,11800,7.12
2009-04-17,16.48,16.48,16.35,16.35,12000,7.03
2009-04-20,16.35,16.35,16.32,16.32,4400,7.02
2009-04-21,16.34,16.34,16.34,16.34,600,7.03
2009-04-22,16.35,16.35,16.21,16.21,1000,6.97
2009-04-23,16.8,17.01,16.8,17.01,3000,7.32
2009-04-24,17.09,17.09,17,17,1200,7.31
2009-04-27,17.27,17.27,17.26,17.27,1000,7.43
2009-04-28,17.15,17.15,17.15,17.15,1200,7.38
2009-04-29,17.26,17.45,16.81,17.45,50800,7.5
2009-04-30,17.8,17.94,17.8,17.94,14800,7.71
2009-05-01,17.79,17.79,17.7,17.7,1400,7.61
2009-05-04,18.05,18.05,18.05,18.05,400,7.76
2009-05-05,18.42,18.42,18.42,18.42,1000,7.92
2009-05-06,19.81,19.81,18.66,18.66,4200,8.02
2009-05-07,19.81,19.81,18.97,19,6400,8.17
2009-05-08,19.35,19.5,19.35,19.5,8600,8.39
2009-05-11,19.67,19.67,19.1,19.1,20400,8.21
2009-05-12,19.55,19.55,19.55,19.55,1000,8.41
2009-05-13,19.13,19.16,19.01,19.01,2400,8.18
2009-05-14,19.63,19.63,19.01,19.14,6800,8.23
2009-05-15,19.26,19.43,19.25,19.43,3000,8.36
2009-05-18,19.58,19.62,19.3,19.3,5800,8.3
2009-05-19,19.67,19.67,19.67,19.67,3800,8.46
2009-05-20,21.6,21.6,19,20.48,4000,8.81
2009-05-21,20.6,20.6,20.11,20.11,600,8.65
2009-05-22,19.13,20.2,19.13,20,5600,8.6
2009-05-26,20,20.41,20,20.29,1200,8.73
2009-05-27,20.11,20.28,20,20,4800,8.6
2009-05-28,20.56,20.56,20.5,20.5,1600,8.82
2009-05-29,20.86,20.91,20.86,20.91,1200,8.99
2009-06-01,21,21.49,21,21.4,5400,9.2
2009-06-02,22.2,22.31,22.05,22.05,3200,9.48
2009-06-03,21.9,22.04,21.76,21.76,3200,9.36
2009-06-04,22.1,22.14,21,22.14,3200,9.52
2009-06-05,22.22,22.36,22.2,22.36,800,9.62
2009-06-08,22.36,22.36,21.89,21.9,3400,9.42
2009-06-09,22.37,22.37,22.37,22.37,1600,9.62
2009-06-10,22.5,22.5,22.45,22.45,800,9.65
2009-06-11,22.79,22.83,22.53,22.83,2600,9.82
2009-06-12,23.3,23.38,23,23.3,32800,10.02
2009-06-15,23.32,23.41,23,23,5800,9.89
2009-06-16,23.59,23.63,22.8,22.8,7000,9.8
2009-06-17,22.56,22.56,21.54,22.1,19200,9.5
2009-06-18,22.6,22.62,22.4,22.62,4200,9.73
2009-06-19,22.75,22.75,21.3,22.73,7200,9.77
2009-06-22,22.64,22.64,22.05,22.05,3200,9.48
2009-06-23,23.5,23.5,21.53,22.18,13400,9.54
2009-06-24,22.31,22.31,21.44,21.44,5800,9.22
2009-06-25,21.91,22.12,21,22.12,9800,9.51
2009-06-26,22.96,22.96,22.18,22.35,5200,9.61
2009-06-29,22.53,22.53,22.53,22.53,1600,9.69
2009-06-30,22.43,22.65,22.43,22.65,2200,9.74
2009-07-01,23,23.47,22.77,23.47,4200,10.09
2009-07-02,23.35,23.64,23,23.64,10600,10.17
2009-07-06,23.28,23.43,23.28,23.43,10200,10.08
2009-07-07,23.36,23.5,23.18,23.18,6400,9.97
2009-07-08,23.38,23.38,22.95,22.95,7000,9.87
2009-07-09,23.73,23.73,22.38,22.54,9600,9.69
2009-07-10,22.23,22.23,22.21,22.21,2200,9.55
2009-07-13,20.43,22.5,20.43,22.5,2600,9.68
2009-07-14,23.13,24.18,23.13,24.18,9200,10.4
2009-07-15,25.17,25.17,23.65,23.65,19800,10.17
2009-07-16,23.55,23.59,23.55,23.55,2000,10.13
2009-07-17,23.81,24.32,23.81,24.2,13000,10.41
2009-07-20,25.56,25.56,24.01,24.83,15400,10.68
2009-07-21,23.01,24.91,23.01,24.91,4800,10.71
2009-07-22,24.79,25.01,24.74,24.98,8600,10.74
2009-07-23,25.12,26.09,25.12,26.05,13000,11.2
2009-07-24,25.53,25.67,25.45,25.67,3600,11.04
2009-07-27,26.2,26.2,25.36,25.36,10000,10.91
2009-07-28,25.73,26.09,24.81,25.06,13800,10.78
2009-07-29,24,24.04,23.44,24,22600,10.32
2009-07-30,24.74,24.74,24.43,24.45,4400,10.51
2009-07-31,24.77,24.87,24.72,24.72,2600,10.63
2009-08-03,25.19,25.52,25.1,25.37,20600,10.91
2009-08-04,24.52,25.47,24.52,25.2,8800,10.84
2009-08-05,25.47,25.47,25.35,25.35,2000,10.9
2009-08-06,25.47,25.78,25.4,25.67,9000,11.04
2009-08-07,25.88,26.85,25.62,25.96,6800,11.16
2009-08-10,25.97,25.97,25.72,25.75,2600,11.07
2009-08-11,27.06,27.06,25.23,25.25,2400,10.86
2009-08-12,25.23,25.35,24.84,24.84,9600,10.68
2009-08-13,25.19,25.7,25.19,25.7,3800,11.05
2009-08-14,25.86,25.86,25.48,25.62,1600,11.02
2009-08-17,24.75,25.32,24.75,24.8,6600,10.67
2009-08-18,25.04,25.06,24,24.85,20200,10.69
2009-08-19,25.01,25.26,25.01,25.26,2600,10.86
2009-08-20,25.7,25.7,25.67,25.69,2200,11.05
2009-08-21,25.01,26.19,25.01,25.66,32200,11.03
2009-08-24,26.28,26.5,25.71,25.87,10200,11.13
2009-08-25,26.46,26.46,26.08,26.18,4600,11.26
2009-08-26,26.21,26.21,25.57,25.96,13000,11.16
2009-08-27,24.38,26.33,24.38,26.33,12200,11.32
2009-08-28,26.4,26.4,26.08,26.19,13200,11.26
2009-08-31,25.9,26.19,25.84,25.9,4000,11.14
2009-09-01,25.9,26.08,24.01,24.27,34800,10.44
2009-09-02,23,25.34,23,25.1,7800,10.79
2009-09-03,26.01,26.01,25.46,25.46,2400,10.95
2009-09-04,25.46,25.46,25.46,25.46,0,10.95
2009-09-08,26.35,26.5,25.85,26.5,12600,11.4
2009-09-09,27.42,27.42,26.63,26.68,7800,11.47
2009-09-10,26.75,26.75,26.68,26.68,1800,11.47
2009-09-11,27.29,27.29,26.94,26.99,1400,11.61
2009-09-14,27.16,27.35,26.93,27,7800,11.61
2009-09-15,27.08,27.09,26.85,27,5600,11.61
2009-09-16,27,27.88,27,27.83,9200,11.97
2009-09-17,26.86,27.93,26.86,27.58,1600,11.86
2009-09-18,27.93,28.01,27.92,27.98,6800,12.03
2009-09-21,28.19,28.86,27.59,28.2,14000,12.13
2009-09-22,29.45,29.45,29.06,29.1,8200,12.51
2009-09-23,29.76,29.76,29.38,29.38,8800,12.63
2009-09-24,30.46,30.46,29.1,29.25,12800,12.58
2009-09-25,29.41,29.68,29.23,29.67,5800,12.76
2009-09-28,30.04,30.65,29.68,30.57,36200,13.15
2009-09-29,30.73,30.9,30.28,30.46,34800,13.1
2009-09-30,30.57,30.57,30.02,30.25,4800,13.01
2009-10-01,30.76,30.8,29.82,29.82,15000,12.82
2009-10-02,29.78,30.24,29.5,30.22,15200,13
2009-10-05,30.54,30.64,30.24,30.6,25200,13.16
2009-10-06,30.89,31.4,30.67,31.03,21800,13.34
2009-10-07,32.02,32.02,31.01,31.28,10000,13.45
2009-10-08,32.4,32.4,31.4,31.84,32000,13.69
2009-10-09,31.91,31.91,31.55,31.62,12800,13.6
2009-10-12,32.02,32.2,31.84,31.97,33000,13.75
2009-10-13,31.86,31.88,31.47,31.68,20800,13.62
2009-10-14,31.96,31.98,31.45,31.45,4400,13.52
2009-10-15,30.84,30.94,29.96,30.65,37400,13.18
2009-10-16,30.02,30.85,29.73,30.85,21000,13.27
2009-10-19,30.85,32.04,30.8,31.85,38400,13.7
2009-10-20,31.04,31.05,30.39,30.61,135600,13.16
2009-10-21,30.82,32.06,29.13,30.5,16600,13.12
2009-10-22,29.54,30.4,29.47,30.08,26000,12.94
2009-10-23,29.85,30.03,29.53,29.9,39600,12.86
2009-10-26,28.64,30.22,28.64,29.98,8600,12.89
2009-10-27,29.17,29.65,28.32,28.5,26400,12.26
2009-10-28,28.3,28.3,26.99,27.19,20800,11.69
2009-10-29,26.15,28.37,26.15,28.37,12800,12.2
2009-10-30,28.5,28.5,27.9,27.93,8000,12.01
2009-11-02,27.91,28.05,27.42,27.42,5800,11.79
2009-11-03,26.56,27.33,26.56,27.2,3800,11.7
2009-11-04,27.11,28.48,27.11,28.48,54400,12.25
