"Index","IDX.Open","IDX.High","IDX.Low","IDX.Close","IDX.Volume","IDX.Adjusted"
2009-01-20,24.67,24.67,23.65,23.65,1200,7.12
2009-01-21,23.65,23.65,23.65,23.65,0,7.12
2009-01-22,24.06,24.06,24.06,24.06,300,7.24
2009-01-23,24.85,24.85,24.85,24.85,1800,7.48
2009-01-26,24.7,25.48,24.7,25.48,600,7.67
2009-01-27,25.48,25.48,25.48,25.48,0,7.67
2009-01-28,25.48,25.48,25.48,25.48,0,7.67
2009-01-29,25.48,25.48,25.48,25.48,0,7.67
2009-01-30,23.87,23.87,23.87,23.87,1800,7.19
2009-02-02,23.01,23.28,23.01,23.28,31800,7.01
2009-02-03,23.25,23.25,23.25,23.25,600,7
2009-02-04,23.46,23.75,23.38,23.38,7200,7.04
2009-02-05,23.93,23.97,23.93,23.97,600,7.22
2009-02-06,23.97,25.2,23.97,25.2,1200,7.59
2009-02-09,24.31,26.04,24.13,24.44,4800,7.36
2009-02-10,23.45,23.58,23.25,23.25,900,7
2009-02-11,23.8,23.8,21.53,23.36,33300,7.03
2009-02-12,22.62,22.68,22.11,22.11,31200,6.66
2009-02-13,23.66,23.66,23.62,23.62,600,7.11
2009-02-17,22.78,22.81,22.66,22.66,31200,6.82
2009-02-18,22.87,23.08,22.66,23.08,82800,6.95
2009-02-19,23.04,23.19,22.62,22.69,41400,6.83
2009-02-20,22.1,22.29,21.79,22.01,109800,6.63
2009-02-23,22.64,22.66,22.09,22.09,102300,6.65
2009-02-24,22.35,23.05,22.34,23.05,32100,6.94
2009-02-25,22.4,22.4,22.1,22.3,66600,6.71
2009-02-26,22.17,22.45,21.96,21.97,49800,6.61
2009-02-27,21.92,21.95,21.92,21.95,54600,6.61
2009-03-02,21.64,21.68,20.85,20.87,65700,6.28
2009-03-03,21.11,21.12,21.11,21.12,1500,6.36
2009-03-04,22.32,22.83,22.14,22.83,77700,6.87
2009-03-05,21.6,21.6,21.6,21.6,300,6.5
2009-03-06,21.6,21.6,21.6,21.6,0,6.5
2009-03-09,22.02,22.03,22.02,22.03,45900,6.63
2009-03-10,22.84,23.32,22.84,23.32,32700,7.02
2009-03-11,22.94,23.02,22.94,23.02,30900,6.93
2009-03-12,22.69,23.55,22.69,23.55,36300,7.09
2009-03-13,23,23,22.78,22.8,35700,6.86
2009-03-16,22.99,23.03,22.82,23.03,35100,6.93
2009-03-17,22.72,23.02,22.72,23.02,31500,6.93
2009-03-18,22.81,23.41,22.8,23.41,61500,7.05
2009-03-19,23.58,23.58,23.2,23.25,238500,7
2009-03-20,24.14,24.14,23.75,24.11,17400,7.26
2009-03-23,25.66,26.2,25.66,26.2,19200,7.89
2009-03-24,26.56,26.76,26.45,26.76,9000,8.06
2009-03-25,26.03,26.1,26.03,26.1,4500,7.86
2009-03-26,25.99,26.33,25.6,26.33,43800,7.93
2009-03-27,26.55,26.68,26.41,26.42,44700,7.95
2009-03-30,25.46,25.52,25.03,25.03,47700,7.54
2009-03-31,25.6,25.67,25.6,25.67,2100,7.73
2009-04-01,26.08,26.49,26.08,26.49,1800,7.98
2009-04-02,27.94,28.1,27.77,27.9,50700,8.4
2009-04-03,27.53,27.96,27.53,27.92,14400,8.41
2009-04-06,28.1,28.11,27.67,28.09,44100,8.46
2009-04-07,28.01,28.01,27.56,27.74,17400,8.35
