"Index","JPP.Open","JPP.High","JPP.Low","JPP.Close","JPP.Volume","JPP.Adjusted"
2006-11-14,53.45,53.58,53.12,53.58,5700,44.28
2006-11-15,52.9,52.9,52.9,52.9,600,43.72
2006-11-16,52.75,52.75,52.68,52.68,1500,43.54
2006-11-17,52.1,52.31,52.1,52.3,700,43.22
2006-11-20,51.15,51.15,51.15,51.15,100,42.27
2006-11-21,51.15,51.15,51.15,51.15,0,42.27
2006-11-22,51.84,51.84,51.84,51.84,400,42.84
2006-11-24,51.9,51.9,51.9,51.9,200,42.89
2006-11-27,52.25,52.25,51.81,51.81,1900,42.82
2006-11-28,51.81,51.81,51.81,51.81,0,42.82
2006-11-29,53.48,53.6,53.31,53.31,1300,44.06
2006-11-30,54.12,54.12,54.12,54.12,1000,44.73
2006-12-01,54.05,54.05,54.05,54.05,1100,44.67
2006-12-04,54.77,54.77,54.77,54.77,10000,45.26
2006-12-05,54.49,54.5,54.49,54.5,200,45.04
2006-12-06,54.5,54.5,54.5,54.5,0,45.04
2006-12-07,55.34,55.35,55.1,55.1,2300,45.54
2006-12-08,54.92,54.92,54.92,54.92,50000,45.39
2006-12-11,54.92,54.92,54.92,54.92,0,45.39
2006-12-12,54.76,54.76,54.76,54.76,50000,45.26
2006-12-13,54.92,54.92,54.76,54.76,600,45.26
2006-12-14,55.14,55.52,55.14,55.52,1500,45.88
2006-12-15,55.43,55.44,55.39,55.4,600,45.78
2006-12-18,55.38,55.38,55.09,55.09,300,45.53
2006-12-19,54.73,54.78,54.73,54.78,200,45.27
2006-12-20,55.5,55.54,55.25,55.25,800,45.66
2006-12-21,55.27,55.69,55.27,55.4,1800,45.78
2006-12-22,55.26,55.47,55.26,55.47,1200,45.84
2006-12-26,55.41,55.41,55.25,55.28,800,45.69
2006-12-27,55.28,55.28,55.28,55.28,0,45.69
2006-12-28,55.75,55.75,55.62,55.62,200,45.97
2006-12-29,55.64,55.74,55.64,55.69,1000,46.02
2007-01-03,55.58,55.65,55.5,55.5,1400,45.87
2007-01-04,56,56.1,56,56.1,1300,46.36
