"Index","NGE.Open","NGE.High","NGE.Low","NGE.Close","NGE.Volume","NGE.Adjusted"
2013-04-03,15.88,15.88,15.83,15.83,1300,15.19
2013-04-04,15.81,15.81,15.66,15.73,1100,15.09
2013-04-05,15.8,15.8,15.66,15.71,2100,15.07
2013-04-08,15.93,15.93,15.61,15.8,20200,15.16
2013-04-09,15.51,15.62,15.3,15.3,14700,14.68
2013-04-10,15.15,15.27,15.02,15.02,7300,14.41
2013-04-11,15.14,15.26,14.98,15.15,3900,14.54
2013-04-12,15.09,15.11,15,15.09,4200,14.48
2013-04-15,15.16,15.16,14.8,14.8,9100,14.2
2013-04-16,14.98,14.98,14.91,14.91,1000,14.31
2013-04-17,14.71,14.88,14.54,14.65,3700,14.06
2013-04-18,14.58,14.58,14.58,14.58,100,13.99
2013-04-19,14.58,14.78,14.58,14.78,1200,14.18
2013-04-22,14.88,14.88,14.75,14.77,4000,14.17
2013-04-23,14.83,14.83,14.75,14.75,4800,14.15
2013-04-24,14.87,14.9,14.87,14.9,1800,14.3
2013-04-25,14.85,14.9,14.78,14.78,2500,14.18
2013-04-26,14.91,15.04,14.8,14.89,3500,14.29
2013-04-29,14.89,15.08,14.8,14.89,2900,14.29
2013-04-30,15.04,15.13,14.95,15.02,3900,14.41
2013-05-01,14.97,14.98,14.75,14.75,5500,14.15
2013-05-02,15.03,15.05,15,15,3300,14.39
2013-05-03,15.14,15.22,15.14,15.19,2100,14.57
2013-05-06,15.36,15.45,15.03,15.2,28200,14.58
2013-05-07,15.25,15.39,15.2,15.2,5900,14.58
2013-05-08,15.66,15.7,15.5,15.51,14200,14.88
2013-05-09,15.6,15.84,15.52,15.79,38000,15.15
2013-05-10,15.85,15.94,15.6,15.65,29000,15.02
2013-05-13,15.68,15.84,15.6,15.66,20300,15.03
2013-05-14,15.82,15.94,15.65,15.78,60000,15.14
2013-05-15,15.87,15.9,15.62,15.88,2600,15.24
2013-05-16,15.89,15.91,15.81,15.85,4000,15.21
2013-05-17,15.83,15.96,15.83,15.93,6500,15.28
2013-05-20,16,16.05,15.99,16.03,14000,15.38
2013-05-21,16.07,16.2,16.05,16.18,9000,15.52
2013-05-22,16.15,16.25,16,16,20800,15.35
2013-05-23,16,16.18,15.59,16.18,13200,15.52
2013-05-24,16.15,16.23,16.15,16.23,20300,15.57
2013-05-28,16.2,16.25,15.99,16.21,19900,15.55
2013-05-29,16.22,16.23,16,16.15,23500,15.5
2013-05-30,16.78,16.78,16.34,16.36,26100,15.7
2013-05-31,16.55,16.55,16.08,16.08,11500,15.43
2013-06-03,16.32,16.32,16.02,16.16,3900,15.51
2013-06-04,16.52,16.52,16.11,16.17,7100,15.51
2013-06-05,16.49,16.49,16.27,16.27,1800,15.61
2013-06-06,16.42,16.42,16.27,16.31,2400,15.65
2013-06-07,16.47,16.47,16.15,16.23,4900,15.57
2013-06-10,16.7,16.82,16.31,16.37,92500,15.71
2013-06-11,16.31,16.54,16.28,16.36,11800,15.7
2013-06-12,16.74,16.74,16.05,16.05,9900,15.4
2013-06-13,15.5,15.59,15.05,15.35,13200,14.73
2013-06-14,15.15,15.23,15,15.06,8400,14.45
2013-06-17,14.94,15.06,14.94,15,4800,14.39
2013-06-18,15.23,15.25,15.08,15.21,1000,14.59
2013-06-19,15.34,15.34,15.03,15.07,8700,14.46
2013-06-20,15.02,15.02,14.75,14.76,13200,14.16
2013-06-21,14.51,14.81,14.36,14.36,30800,13.78
2013-06-24,14.12,14.47,14,14.25,9600,13.67
2013-06-25,14,14,13.61,13.61,9700,13.06
2013-06-26,14,14,13.75,14,2600,13.43
2013-06-27,14.05,14.22,13.98,14.1,8900,13.53
2013-06-28,14,14.17,14,14,1300,13.43
2013-07-01,14.2,14.3,14.02,14.02,4700,13.45
2013-07-02,14.2,14.44,14.13,14.32,3300,13.74
2013-07-03,14.39,14.39,14.31,14.37,3300,13.79
2013-07-05,14.5,14.72,14.5,14.62,18500,14.03
2013-07-08,14.82,14.82,14.5,14.58,10700,13.99
2013-07-09,14.95,14.95,14.55,14.64,3600,14.05
2013-07-10,14.55,14.88,14.55,14.6,16900,14.01
2013-07-11,14.98,14.98,14.98,14.98,200,14.37
2013-07-12,14.8,14.98,14.8,14.98,1000,14.37
2013-07-15,14.75,14.87,14.75,14.8,8300,14.2
2013-07-16,15,15.17,15,15.14,1700,14.53
2013-07-17,15.22,15.22,15.22,15.22,300,14.6
2013-07-18,15.34,15.4,15.34,15.34,700,14.72
2013-07-19,15.45,15.49,15.45,15.49,1800,14.86
2013-07-22,15.38,15.42,15.3,15.3,4700,14.68
2013-07-23,15.24,15.24,15.05,15.05,700,14.44
2013-07-24,15.05,15.05,14.79,14.79,1500,14.19
2013-07-25,14.56,14.77,14.55,14.65,5000,14.06
2013-07-26,14.85,14.9,14.84,14.9,14500,14.3
2013-07-29,14.94,14.94,14.88,14.9,4100,14.3
2013-07-30,14.92,14.93,14.84,14.93,1200,14.32
2013-07-31,14.99,14.99,14.99,14.99,100,14.38
2013-08-01,15.17,15.17,15.12,15.14,900,14.53
2013-08-02,15.2,15.26,15.2,15.26,1200,14.64
2013-08-05,14.96,15.34,14.96,15.34,8800,14.72
2013-08-06,15.29,15.35,15.2,15.23,6100,14.61
2013-08-07,15.01,15.25,15.01,15.12,12400,14.51
2013-08-08,15.09,15.3,15.04,15.27,12600,14.65
2013-08-09,15.34,15.46,14.99,15.33,5200,14.71
2013-08-12,14.97,15.15,14.95,15.15,2200,14.54
2013-08-13,15.06,15.06,15,15,3800,14.39
2013-08-14,15.06,15.06,14.9,14.9,4100,14.3
2013-08-15,15.04,15.04,14.56,14.82,4100,14.22
2013-08-16,14.72,14.77,14.72,14.76,3100,14.16
2013-08-19,14.73,14.73,14.46,14.48,3100,13.89
2013-08-20,14.52,14.62,14.5,14.51,1200,13.92
2013-08-21,14.49,14.49,14.02,14.32,13800,13.74
2013-08-22,14.43,14.51,14.38,14.5,3700,13.91
2013-08-23,14.67,14.67,14.31,14.31,9400,13.73
2013-08-26,14.31,14.31,14.31,14.31,0,13.73
2013-08-27,14.35,14.35,14.35,14.35,1400,13.77
2013-08-28,14.4,14.4,14.06,14.18,4500,13.61
2013-08-29,14,14.22,14,14.22,600,13.64
2013-08-30,14.05,14.13,14.05,14.13,300,13.56
2013-09-03,13.88,14.29,13.88,14.07,47100,13.5
2013-09-04,14.14,14.21,14.05,14.08,18900,13.51
2013-09-05,14.05,14.27,14,14.05,16500,13.48
2013-09-06,14.02,14.28,14.01,14.16,7800,13.59
2013-09-09,14.08,14.26,14.05,14.19,23500,13.61
2013-09-10,14.15,14.26,14.06,14.07,2000,13.5
2013-09-11,14.3,14.36,14.14,14.22,6200,13.64
2013-09-12,14.15,14.18,14.05,14.15,10400,13.58
2013-09-13,14.25,14.33,14.15,14.16,42600,13.59
2013-09-16,14.42,14.42,14.1,14.13,23800,13.56
2013-09-17,14.2,14.2,13.94,14.11,41400,13.54
2013-09-18,14,14.35,13.95,14.35,12100,13.77
2013-09-19,14.35,14.41,14.26,14.41,4000,13.83
2013-09-20,14.45,14.45,14.04,14.04,1600,13.47
2013-09-23,14.45,14.61,14.31,14.61,2800,14.02
2013-09-24,14.5,14.54,14.26,14.43,10300,13.85
2013-09-25,14.52,14.53,14.51,14.51,1100,13.92
2013-09-26,14.33,14.48,14.32,14.36,4500,13.78
2013-09-27,14.67,14.67,14.28,14.28,7100,13.7
2013-09-30,14.1,14.56,14.01,14.3,2200,13.72
2013-10-01,14.78,14.78,14.41,14.5,27500,13.91
2013-10-02,14.66,14.7,14.4,14.69,54000,14.09
2013-10-03,14.4,14.71,14.4,14.71,22700,14.11
2013-10-04,14.53,14.71,14.53,14.7,5500,14.1
2013-10-07,14.4,14.95,14.4,14.7,11600,14.1
2013-10-08,14.7,14.73,14.57,14.64,4700,14.05
2013-10-09,14.51,14.73,14.51,14.55,28100,13.96
2013-10-10,14.67,14.7,14.6,14.6,6900,14.01
2013-10-11,14.69,14.81,14.55,14.6,3800,14.01
2013-10-14,14.7,14.82,14.67,14.81,28600,14.21
2013-10-15,14.81,15.05,14.52,14.79,9400,14.19
2013-10-16,14.85,14.9,14.64,14.83,10700,14.23
2013-10-17,14.9,15.04,14.75,15.02,13100,14.41
2013-10-18,15.12,15.35,14.99,15.12,9500,14.51
2013-10-21,15.21,15.5,15,15.16,12500,14.55
2013-10-22,15.25,15.29,15.2,15.29,1400,14.67
2013-10-23,15.22,15.23,15.13,15.13,2200,14.52
2013-10-24,15.3,15.3,15.21,15.26,14000,14.64
2013-10-25,15.26,15.27,15.16,15.27,3900,14.65
2013-10-28,15.18,15.18,15.05,15.11,3700,14.5
2013-10-29,15.3,15.3,15.05,15.11,56500,14.5
2013-10-30,15.16,15.16,14.83,15.11,21500,14.5
2013-10-31,15.1,15.17,15.1,15.17,1500,14.56
