"Index","RBL.Open","RBL.High","RBL.Low","RBL.Close","RBL.Volume","RBL.Adjusted"
2010-03-11,30.15,30.15,30.06,30.07,1000,26.07
2010-03-12,30.54,30.6,30.5,30.54,6800,26.47
2010-03-15,30.21,30.23,29.9,29.9,23400,25.92
2010-03-16,30.25,30.4,30.15,30.34,7200,26.3
2010-03-17,30.79,30.79,30.63,30.74,16400,26.65
2010-03-18,30.85,30.85,30.18,30.36,8800,26.32
2010-03-19,30.36,30.36,30.36,30.36,0,26.32
2010-03-22,29.62,29.98,29.62,29.92,4000,25.94
2010-03-23,29.85,30.08,29.85,30.03,7900,26.03
2010-03-24,29.68,29.7,29.53,29.53,13100,25.6
2010-03-25,29.72,29.97,29.43,29.43,15200,25.51
2010-03-26,29.9,30,29.73,29.87,12000,25.89
2010-03-29,30.45,30.64,30.45,30.63,1500,26.55
2010-03-30,30.63,30.63,30.63,30.63,300,26.55
2010-03-31,31,31,30.81,30.83,5900,26.73
2010-04-01,31.52,31.76,31.52,31.76,9700,27.53
2010-04-05,31.81,32,31.81,31.97,7300,27.71
2010-04-06,31.97,32.25,31.97,32.22,4000,27.93
2010-04-07,31.9,31.9,31.77,31.88,1600,27.64
2010-04-08,31.46,31.89,31.46,31.89,600,27.64
2010-04-09,32.27,32.27,32.19,32.19,800,27.9
2010-04-12,32.3,32.44,32.25,32.25,8200,27.96
2010-04-13,32.21,32.5,32.1,32.47,3000,28.15
2010-04-14,32.87,33.08,32.87,33.08,2700,28.68
2010-04-15,32.96,33.09,32.51,32.97,3100,28.58
2010-04-16,33.25,33.25,31.8,31.9,6800,27.65
2010-04-19,31.48,31.5,31.34,31.5,2200,27.31
2010-04-20,31.96,32.07,31.96,32.07,700,27.8
2010-04-21,31.79,31.82,31.49,31.65,3300,27.44
2010-04-22,31.1,31.41,31.1,31.41,700,27.23
2010-04-23,31.58,31.86,31.58,31.84,2100,27.6
2010-04-26,32.23,32.23,32.12,32.13,1300,27.85
2010-04-27,31.42,31.43,31.02,31.05,3000,26.92
2010-04-28,31.04,31.04,30.71,30.9,15900,26.79
2010-04-29,31.28,31.47,31.28,31.36,69800,27.19
2010-04-30,30.93,30.93,30.7,30.7,1600,26.61
2010-05-03,30.78,31,30.57,30.89,1700,26.78
2010-05-04,30.16,30.16,29.48,29.51,6100,25.58
2010-05-05,28.87,28.88,28.13,28.5,10400,24.71
2010-05-06,28.22,28.22,27.43,27.43,7000,23.78
2010-05-07,26.63,26.71,25.36,26,64200,22.54
2010-05-10,29,29.4,28.8,29.2,49100,25.31
2010-05-11,27.98,28.55,27.98,28.24,6900,24.48
2010-05-12,29.12,29.56,29.12,29.56,4000,25.62
2010-05-13,29.38,29.38,29.14,29.35,6700,25.44
2010-05-14,28.37,28.37,28.2,28.2,2600,24.45
2010-05-17,28.25,28.25,27.83,28.11,1000,24.37
2010-05-18,28.65,28.65,28.65,28.65,100,24.84
2010-05-19,27.57,27.57,26.79,27.25,1800,23.62
2010-05-20,25.88,26.01,25.57,25.66,6000,22.24
2010-05-21,25.88,26.36,25.72,25.95,7300,22.5
2010-05-24,25.64,26.16,25.64,25.84,13100,22.4
2010-05-25,24.85,25.17,24.45,25.17,6900,21.82
2010-05-26,25.62,26.11,25.6,25.6,3100,22.19
2010-05-27,26.9,27.46,26.8,27.46,5000,23.8
2010-05-28,27.3,27.46,27.04,27.11,4500,23.5
2010-06-01,26.86,27.39,26.86,27.22,3200,23.6
2010-06-02,27.44,27.62,27.42,27.62,400,23.94
2010-06-03,28.07,28.16,28.07,28.16,1200,24.41
2010-06-04,27.17,27.17,26.49,26.49,5500,22.96
2010-06-07,26.38,26.78,26.38,26.65,1500,23.1
2010-06-08,26.26,26.55,25.85,26.51,8300,22.98
2010-06-09,26.55,26.79,26.38,26.38,8400,22.87
2010-06-10,26.91,27.22,26.85,27.22,1300,23.6
2010-06-11,26.48,26.97,26.48,26.97,800,23.38
2010-06-14,27.41,27.41,27.41,27.41,700,23.76
2010-06-15,27.72,27.85,27.72,27.85,6600,24.14
2010-06-16,27.85,27.85,27.85,27.85,0,24.14
2010-06-17,27.81,27.82,27.78,27.78,1900,24.08
2010-06-18,27.78,27.78,27.78,27.78,600,24.24
2010-06-21,28.65,28.65,28.14,28.18,2900,24.59
2010-06-22,28.17,28.42,28.17,28.33,1700,24.72
2010-06-23,27.72,27.72,27.72,27.72,200,24.19
2010-06-24,27.48,27.49,27.27,27.27,3100,23.79
2010-06-25,27.01,27.44,27.01,27.34,12900,23.86
2010-06-28,27.46,27.53,27.36,27.36,2700,23.87
2010-06-29,26.31,26.39,26.31,26.36,1400,23
2010-06-30,26.2,26.2,26.17,26.17,1000,22.83
2010-07-01,25.56,25.69,25.29,25.69,23100,22.42
2010-07-02,25.94,26.02,25.8,25.83,19600,22.54
2010-07-06,26.7,26.86,26.7,26.86,3100,23.44
2010-07-07,26.59,27.37,26.59,27.37,8700,23.88
2010-07-08,26.85,26.85,26.85,26.85,500,23.43
2010-07-09,27.03,27.11,27,27.11,15700,23.66
2010-07-12,27.47,27.47,27.47,27.47,700,23.97
2010-07-13,27.89,27.99,27.89,27.91,5600,24.35
2010-07-14,27.91,27.91,27.91,27.91,0,24.35
2010-07-15,27.97,27.97,27.97,27.97,100,24.41
2010-07-16,27.75,27.75,27.27,27.27,5400,23.79
2010-07-19,27.8,27.88,27.71,27.71,4600,24.18
2010-07-20,27.71,27.71,27.71,27.71,0,24.18
2010-07-21,28.1,28.16,27.77,27.77,12100,24.23
2010-07-22,28.67,28.83,28.63,28.69,4700,25.03
2010-07-23,28.71,28.71,28.71,28.71,500,25.05
2010-07-26,29.24,29.35,29.24,29.34,1500,25.6
2010-07-27,29.7,29.7,29.18,29.21,2300,25.49
2010-07-28,29.17,29.23,29.17,29.23,500,25.5
2010-07-29,29.51,29.51,29.06,29.27,9500,25.54
2010-07-30,29.14,29.31,29.05,29.31,5700,25.57
2010-08-02,29.62,30.47,29.62,30.47,3400,26.59
2010-08-03,30.05,30.1,29.85,30.07,23500,26.24
2010-08-04,30.15,30.39,30.09,30.26,7000,26.4
2010-08-05,30.05,30.22,30.05,30.22,500,26.37
2010-08-06,29.93,30.09,29.73,30.07,7700,26.24
2010-08-09,30.21,30.24,30.12,30.22,3300,26.37
2010-08-10,29.62,29.86,29.32,29.82,2100,26.02
2010-08-11,28.94,28.94,28.64,28.64,6200,24.99
2010-08-12,28.41,28.7,28.36,28.7,2400,25.04
2010-08-13,28.55,28.59,28.55,28.59,200,24.95
2010-08-16,28.6,28.97,28.6,28.9,2300,25.22
2010-08-17,29.1,29.38,29.1,29.38,15400,25.64
2010-08-18,29.19,29.3,29.14,29.3,1600,25.57
2010-08-19,29.24,29.24,28.8,28.92,8600,25.23
2010-08-20,28.65,28.66,28.65,28.66,200,25.01
2010-08-23,28.68,28.68,28.68,28.68,200,25.03
2010-08-24,27.75,27.76,27.58,27.61,23400,24.09
2010-08-25,27.5,27.5,27.5,27.5,100,24
2010-08-26,27.87,27.87,27.73,27.77,7600,24.23
2010-08-27,27.91,28.18,27.91,28.18,1000,24.59
2010-08-30,28.18,28.18,28.18,28.18,0,24.59
2010-08-31,28.01,28.37,28.01,28.2,20700,24.61
2010-09-01,28.95,28.99,28.86,28.99,5400,25.3
2010-09-02,29.05,29.05,29.05,29.05,2000,25.35
