Country, Yield
Turquey,TUR
India,PIN
Philippines,EPHE
Thailand,THD
Indonesia,IDX
China,GXC
SouthAfrica,EZA
Taiwan,EWT
USA,EUSA
HongKong,EWH
Egipt,EGPT
Singapur,EWS
NewZeland,ENZL
Argentina,ARGT
Belgium,EWK
UAE,UAE
Qatar,QAT
Suitzerland,EWL
Australia,EWA
Japon,JPP
Korea,EWY
Canada,EWC
Israel,EIS
Mexico,EWW
Malasia,EWM
Brazil,EWZ
Holand,EWN
Ireland,EIRL
UK,EWU
Sweden,EWD
France,EWQ
Vietnam,VNM
Chile,ECH
Peru,EPU
Germany,EWG
Spain,EWP
Italy,EWI
Polonia,PLND
Norway,NORW
Colombia,GXG
Austria,EWO
Portugal,PGAL
Rusia,RBL
Nigeria,NGE
Greece,GREK
