"Index","EIRL.Open","EIRL.High","EIRL.Low","EIRL.Close","EIRL.Volume","EIRL.Adjusted"
2010-05-11,22.84,24.69,22.84,23.05,3500,20.89
2010-05-12,23.32,25.07,23.31,23.31,1000,21.12
2010-05-13,22.84,22.84,22.82,22.83,600,20.69
2010-05-14,22,22.09,22,22.09,600,20.02
2010-05-17,21.34,21.34,21.34,21.34,200,19.34
2010-05-18,21.61,21.8,21,21,2100,19.03
2010-05-19,21.49,21.49,21.49,21.49,100,19.47
2010-05-20,21.03,21.03,19.89,19.99,9300,18.11
2010-05-21,20.4,20.45,20.4,20.45,800,18.53
2010-05-24,20.45,20.45,20.45,20.45,0,18.53
2010-05-25,19.21,19.21,19.21,19.21,400,17.41
2010-05-26,19.64,19.64,19.5,19.5,300,17.67
2010-05-27,20.02,20.02,20.02,20.02,500,18.14
2010-05-28,20.02,20.02,20.02,20.02,0,18.14
2010-06-01,20,20,20,20,5000,18.12
2010-06-02,19.84,20.33,19.84,20.33,2100,18.42
2010-06-03,20.33,20.33,20.33,20.33,0,18.42
2010-06-04,20.02,20.02,19.4,19.4,12100,17.58
2010-06-07,19.5,19.5,19.19,19.2,1400,17.4
2010-06-08,19.27,19.27,18.85,18.85,1600,17.08
2010-06-09,19.62,19.62,19.17,19.17,500,17.37
2010-06-10,19.17,19.17,19.17,19.17,0,17.37
2010-06-11,19.17,19.17,19.17,19.17,0,17.37
2010-06-14,20.57,20.74,20.52,20.74,1500,18.79
2010-06-15,20.74,20.74,20.74,20.74,0,18.79
2010-06-16,21.03,21.03,21.03,21.03,300,19.06
2010-06-17,20.9,21.05,20.79,21.05,1800,19.07
2010-06-18,20.92,20.92,20.92,20.92,200,18.96
2010-06-21,20.6,20.6,20.6,20.6,200,18.67
2010-06-22,20.2,20.2,20.2,20.2,200,18.3
2010-06-23,20.14,20.14,20.1,20.1,3100,18.24
2010-06-24,20.29,20.29,20.29,20.29,500,18.42
2010-06-25,20.29,20.29,20.29,20.29,0,18.42
2010-06-28,20.2,20.2,20.2,20.2,400,18.33
2010-06-29,19.5,19.56,19.12,19.19,3000,17.42
2010-06-30,19.09,19.09,19.09,19.09,300,17.33
2010-07-01,19.21,19.29,19.21,19.29,900,17.51
2010-07-02,19.29,19.29,19.29,19.29,0,17.51
2010-07-06,20.85,20.85,19.99,20.11,15400,18.25
2010-07-07,19.47,19.97,19.46,19.97,1700,18.13
2010-07-08,23.19,23.19,19.92,19.93,29200,18.09
2010-07-09,19.95,19.95,19.95,19.95,300,18.11
2010-07-12,19.91,19.91,19.9,19.9,300,18.06
2010-07-13,20.42,20.42,20.42,20.42,100,18.53
2010-07-14,20.39,20.39,20.39,20.39,100,18.51
2010-07-15,20.39,20.39,20.39,20.39,0,18.51
2010-07-16,20.1,20.1,20.1,20.1,1000,18.24
2010-07-19,20.13,20.13,20,20,200,18.15
2010-07-20,19.7,19.91,19.7,19.78,6700,17.95
2010-07-21,20.21,20.21,19.91,19.91,400,18.07
2010-07-22,20.42,20.68,20.4,20.68,800,18.77
2010-07-23,20.37,20.5,20.32,20.5,27200,18.61
2010-07-26,20.5,20.5,20.5,20.5,0,18.61
