"Index","EIS.Open","EIS.High","EIS.Low","EIS.Close","EIS.Volume","EIS.Adjusted"
2008-03-28,49.92,50.04,49.77,49.78,25300,41.9
2008-03-31,48.88,49.37,48.88,49.07,27000,41.3
2008-04-01,50.99,50.99,49.58,50.29,228500,42.33
2008-04-02,50.67,50.67,50.31,50.35,175300,42.38
2008-04-03,50.14,50.41,49.83,50.27,22400,42.31
2008-04-04,52.99,52.99,49.7,50.31,109600,42.35
2008-04-07,50.69,50.69,49.84,49.94,163700,42.03
2008-04-08,50.12,50.41,50.09,50.38,21700,42.4
2008-04-09,50.78,50.82,50.25,50.35,81900,42.38
2008-04-10,50.59,51.18,50.42,51.02,108800,42.94
2008-04-11,50.7,51.18,50.25,50.57,94000,42.56
2008-04-14,51.16,51.56,51.1,51.27,110200,43.15
2008-04-15,51.96,52.07,51.64,52.07,34400,43.83
2008-04-16,53.11,53.73,52.96,53.53,171800,45.06
2008-04-17,53.42,54.23,53.4,54.05,186200,45.49
2008-04-18,54.6,54.82,54.28,54.65,44000,46
2008-04-21,54.23,54.28,53.93,54.22,36900,45.64
2008-04-22,54.14,54.22,53.8,54.08,43200,45.52
2008-04-23,54.27,54.85,54.27,54.79,50000,46.12
2008-04-24,54.62,54.81,54.2,54.49,55900,45.86
2008-04-25,54.42,54.44,54.01,54.44,25900,45.82
2008-04-28,53.77,53.88,53.47,53.47,27400,45.01
2008-04-29,53.23,53.23,52.86,52.98,53000,44.59
2008-04-30,53.18,54.16,53.14,54.16,38400,45.59
2008-05-01,53.42,53.69,53.32,53.69,24900,45.19
2008-05-02,53.42,53.72,53.18,53.5,67200,45.03
2008-05-05,54.4,54.4,53.9,54.2,16600,45.62
2008-05-06,54.05,55,53.9,54.82,46000,46.14
2008-05-07,54.1,54.58,53.43,53.47,65800,45.01
2008-05-08,53.31,61.32,53.3,53.77,57700,45.26
2008-05-09,53.77,53.77,53.27,53.34,79800,44.9
2008-05-12,53.8,54.33,53.7,54.23,64200,45.65
2008-05-13,54.22,54.22,53.88,54.1,76500,45.54
2008-05-14,54.61,55.15,54.61,54.81,86100,46.13
2008-05-15,54.79,55.62,54.79,55.62,149400,46.82
2008-05-16,56.01,56.43,55.85,56.42,109000,47.49
2008-05-19,56.02,59.97,55.79,55.91,61200,47.06
2008-05-20,55.45,55.49,54.72,54.81,81500,46.13
2008-05-21,55.94,56.54,55.64,55.65,94400,46.84
2008-05-22,56,56.17,55.93,55.98,17200,47.12
2008-05-23,55.95,55.95,55.53,55.55,68600,46.76
2008-05-27,56.1,56.94,56.04,56.94,62000,47.93
2008-05-28,57.2,57.2,56.77,57.07,174100,48.04
2008-05-29,57.59,59.01,57.55,58.18,45100,48.97
2008-05-30,58.2,59.97,58.03,58.61,40900,49.33
2008-06-02,57.54,57.54,56.8,57.31,47800,48.24
2008-06-03,57.54,57.54,56.5,56.91,21600,47.9
2008-06-04,56.27,57.08,56.17,56.79,47900,47.8
2008-06-05,56,56.91,55.97,56.89,59800,47.88
2008-06-06,56.45,56.6,55.82,55.82,95100,46.98
2008-06-09,55.56,56,55,55.64,46400,46.83
2008-06-10,55,55.17,54.7,54.81,71200,46.13
2008-06-11,55.28,55.34,54.5,54.54,1669600,45.91
2008-06-12,54.36,55.08,54.13,54.45,39400,45.83
2008-06-13,54.71,55,54.55,54.99,19200,46.29
2008-06-16,55.73,56.46,55.36,56.35,61600,47.43
2008-06-17,56.63,57.42,56.63,57.04,183600,48.01
2008-06-18,57,57.04,56.29,56.53,124400,47.58
2008-06-19,56.71,58.51,56.35,56.88,1011600,47.88
2008-06-20,57.3,57.3,55.94,56.2,567300,47.3
2008-06-23,56.59,56.72,56,56.44,136200,47.51
2008-06-24,56.26,56.28,55.57,55.74,136900,46.92
2008-06-25,56.06,56.54,55.7,56.12,101800,47.24
2008-06-26,55.27,55.52,54.85,54.88,105800,46.19
2008-06-27,54.81,54.9,54.45,54.83,75300,46.15
2008-06-30,55.13,57.76,54.46,54.95,66400,46.25
2008-07-01,55.48,56.41,55.15,56.07,84900,47.19
2008-07-02,55.74,55.74,54.06,54.06,116600,45.5
2008-07-03,54.42,54.47,52.17,53.82,57900,45.3
2008-07-07,52.7,52.99,51.05,52.32,88500,44.04
2008-07-08,52.33,53.15,52.08,53.11,67700,44.7
2008-07-09,53.76,54.27,52.51,52.61,102800,44.28
2008-07-10,51.95,52.35,51.18,52.05,82900,43.81
2008-07-11,51.4,51.4,49.73,50.22,177300,42.27
2008-07-14,50.73,50.87,50.27,50.56,53700,42.56
2008-07-15,50.45,50.73,50.03,50.4,112400,42.42
2008-07-16,49.64,50.26,49.1,50.23,208700,42.28
2008-07-17,50.16,50.41,49.94,50.16,233000,42.22
2008-07-18,49.76,51.08,49.76,50.63,31700,42.62
2008-07-21,50.19,50.4,49.25,50.18,43700,42.24
2008-07-22,49.87,50.93,49.87,50.77,202800,42.73
2008-07-23,50.34,51.55,50.18,51.34,86300,43.21
2008-07-24,50.64,50.64,49.52,49.65,73200,41.79
2008-07-25,50.2,50.74,50.09,50.73,55600,42.7
2008-07-28,50.6,50.6,49.84,50.01,84300,42.09
2008-07-29,50.22,50.62,50.12,50.44,96600,42.46
2008-07-30,50.56,50.65,49.71,50.28,172000,42.32
2008-07-31,49.91,50.5,49.9,49.96,55700,42.05
2008-08-01,50.54,50.84,50.01,50.44,47000,42.46
2008-08-04,49.38,49.38,48.55,48.58,18200,40.89
2008-08-05,48.75,49.52,48.75,49.52,44100,41.68
2008-08-06,48.92,49.28,48.64,49.22,101500,41.43
2008-08-07,48.74,49.14,48.37,48.62,44000,40.92
2008-08-08,48.27,49.24,48.25,48.94,73100,41.19
2008-08-11,48.84,48.98,48.44,48.81,45600,41.08
2008-08-12,48.21,48.21,47.73,47.96,52300,40.37
2008-08-13,47.68,48.23,46.28,47.65,55200,40.11
2008-08-14,48.04,48.95,48,48.7,211100,40.99
2008-08-15,49.2,49.8,49.06,49.79,24000,41.91
2008-08-18,49.43,49.78,48.69,48.93,46000,41.18
2008-08-19,49.04,49.14,48.75,49.14,78500,41.36
2008-08-20,49.2,49.55,49.02,49.29,16500,41.49
2008-08-21,49.47,49.77,49.3,49.57,38800,41.72
2008-08-22,49.67,50.1,49.64,49.77,176400,41.89
2008-08-25,49.56,49.56,49.02,49.34,71400,41.53
2008-08-26,48.82,49.09,48.69,48.89,29200,41.15
2008-08-27,48.48,49.13,48.48,49.09,26000,41.32
2008-08-28,48.2,48.47,48.15,48.47,28400,40.8
2008-08-29,48.48,48.48,47.92,47.94,44300,40.35
2008-09-02,47.62,47.75,47.18,47.33,13000,39.84
2008-09-03,47.22,47.34,46.87,47.33,19900,39.84
2008-09-04,47.56,47.59,46.39,46.72,99900,39.32
2008-09-05,46.42,46.46,45.45,46.3,155700,38.97
2008-09-08,47.86,47.86,46.72,46.93,41900,39.5
2008-09-09,46.97,46.97,45.41,45.41,67300,38.22
2008-09-10,46.02,46.17,45.62,45.62,42300,38.4
2008-09-11,44.83,45.31,44.31,45.31,107600,38.14
2008-09-12,44.54,45.31,44.54,45.16,120300,38.01
2008-09-15,43.55,44.82,43.2,43.95,100400,36.99
2008-09-16,42.72,43.6,42.72,43.36,49600,36.5
2008-09-17,41.67,42.2,40.66,40.66,59700,34.22
2008-09-18,40.98,42.07,39.8,41.92,103000,35.28
2008-09-19,43.36,45.99,42.94,44.05,68700,37.08
2008-09-22,42.85,44.74,42.85,43.79,108700,36.86
2008-09-23,44.39,44.39,41.83,43.56,36300,36.66
