"Index","EPU.Open","EPU.High","EPU.Low","EPU.Close","EPU.Volume","EPU.Adjusted"
2009-06-22,24.44,24.44,24.44,24.44,500,21.64
2009-06-23,24.07,24.56,24.07,24.49,11600,21.68
2009-06-24,24.6,25.43,24.59,25.02,67800,22.15
2009-06-25,25.1,25.8,25.09,25.76,62400,22.81
2009-06-26,25.79,27.2,25.5,25.71,101600,22.76
2009-06-29,25.81,26.05,25.55,25.85,45400,22.89
2009-06-30,25.65,25.76,25.25,25.33,38900,22.43
2009-07-01,25.43,25.94,25.43,25.88,27200,22.91
2009-07-02,25.97,25.97,25.2,25.47,69400,22.55
2009-07-06,25.07,25.1,24.61,24.87,25900,22.02
2009-07-07,24.79,24.8,24.57,24.59,21100,21.77
2009-07-08,24.25,24.51,23.79,24.02,22000,21.27
2009-07-09,24.29,24.64,24.29,24.39,14600,21.6
2009-07-10,24.55,24.55,24.11,24.24,6200,21.46
2009-07-13,24.25,24.67,24.01,24.64,40400,21.82
2009-07-14,29.48,29.48,24.8,25.01,51500,22.14
2009-07-15,25.08,25.7,25.08,25.68,42200,22.74
2009-07-16,25.66,25.75,25.45,25.62,50000,22.68
2009-07-17,25.5,25.86,25.5,25.77,80300,22.82
2009-07-20,25.96,26.58,25.96,26.57,110100,23.53
2009-07-21,26.72,27.74,26.17,26.61,26000,23.56
2009-07-22,26.6,26.83,26.51,26.74,30100,23.68
2009-07-23,26.86,27.59,26.86,27.59,54400,24.43
2009-07-24,27.66,27.66,27.31,27.42,36500,24.28
2009-07-27,27.92,27.96,27.28,27.84,65400,24.65
2009-07-28,27.54,27.93,26.85,27.55,65900,24.39
2009-07-29,27.1,27.1,26.55,26.83,30500,23.76
2009-07-30,27.2,27.4,27.19,27.25,44000,24.13
2009-07-31,27.37,27.79,27.37,27.78,30200,24.6
2009-08-03,29.02,29.02,28.31,28.65,19400,25.37
2009-08-04,28.5,29.14,28.34,29.12,21800,25.78
2009-08-05,29.06,29.06,28.66,28.88,16400,25.57
2009-08-06,28.97,28.97,28.18,28.31,44000,25.07
2009-08-07,28.26,28.51,28.19,28.35,87500,25.1
2009-08-10,28.42,28.68,27.86,28.02,26300,24.81
2009-08-11,27.95,27.95,27.61,27.87,46100,24.68
2009-08-12,27.81,28.28,27.76,28.23,853500,25
2009-08-13,28.36,28.95,28.36,28.95,20000,25.63
2009-08-14,29.34,29.34,28.49,28.59,28600,25.31
2009-08-17,27.71,28,27.55,27.74,30500,24.56
2009-08-18,28.1,28.79,27.91,28.02,13100,24.81
2009-08-19,28,28.34,27.87,28.25,2900,25.01
2009-08-20,28.25,28.6,28.25,28.58,63100,25.31
2009-08-21,28.68,29,28.63,28.88,55100,25.57
2009-08-24,28.91,29.11,28.84,28.91,85500,25.6
2009-08-25,28.83,29,28.63,28.8,45600,25.5
2009-08-26,28.89,28.89,28.55,28.69,15300,25.4
2009-08-27,28.5,28.82,28.3,28.73,22700,25.44
2009-08-28,29.6,29.6,28.82,28.83,17700,25.53
2009-08-31,28.62,28.69,28.27,28.27,6600,25.03
2009-09-01,28.5,28.56,27.72,27.76,21100,24.58
2009-09-02,27.72,28.14,27.72,28.14,12900,24.92
2009-09-03,28.43,28.83,28.43,28.78,27700,25.48
2009-09-04,28.71,28.96,28.49,28.95,20000,25.63
2009-09-08,29.26,29.57,29.26,29.57,28700,26.18
2009-09-09,29.26,29.58,29.26,29.38,8200,26.01
2009-09-10,29.37,29.67,29.31,29.67,8800,26.27
2009-09-11,29.6,29.92,29.58,29.73,13000,26.32
2009-09-14,30.62,30.62,29.49,29.89,4300,26.46
2009-09-15,29.94,30.44,29.94,30.41,43300,26.93
