"Index","EWK.Open","EWK.High","EWK.Low","EWK.Close","EWK.Volume","EWK.Adjusted"
1996-04-01,14.69,14.69,14.69,14.69,0,5.64
1996-04-02,14.69,14.69,14.69,14.69,0,5.64
1996-04-03,14.69,14.69,14.69,14.69,0,5.64
1996-04-04,14.69,14.69,14.69,14.69,0,5.64
1996-04-08,14.69,14.69,14.69,14.69,0,5.64
1996-04-09,14.69,14.69,14.69,14.69,0,5.64
1996-04-10,14.69,14.69,14.69,14.69,0,5.64
1996-04-11,14.69,14.69,14.69,14.69,0,5.64
1996-04-12,14.69,14.69,14.69,14.69,0,5.64
1996-04-15,14.69,14.69,14.69,14.69,0,5.64
1996-04-16,15.12,15.12,15.12,15.12,100,5.81
1996-04-17,15.12,15.12,15.12,15.12,0,5.81
1996-04-18,15.06,15.06,14.94,14.94,15200,5.74
1996-04-19,15.12,15.12,15.12,15.12,600,5.81
1996-04-22,15.12,15.12,15.12,15.12,1300,5.81
1996-04-23,15,15,15,15,100,5.76
1996-04-24,15,15,15,15,100,5.76
1996-04-25,15,15,15,15,0,5.76
1996-04-26,15,15,15,15,0,5.76
1996-04-29,15,15,15,15,0,5.76
1996-04-30,15,15,15,15,0,5.76
1996-05-01,15,15,15,15,0,5.76
1996-05-02,15,15,15,15,0,5.76
1996-05-03,14.94,15,14.94,15,2700,5.76
1996-05-06,14.94,14.94,14.94,14.94,900,5.74
1996-05-07,14.81,14.88,14.81,14.88,4700,5.72
1996-05-08,14.88,14.88,14.88,14.88,0,5.72
1996-05-09,14.88,14.88,14.88,14.88,100,5.72
1996-05-10,15,15,15,15,1100,5.76
1996-05-13,15.12,15.12,15.12,15.12,2000,5.81
1996-05-14,15.12,15.12,15.12,15.12,300,5.81
1996-05-15,15.12,15.12,15.12,15.12,0,5.81
1996-05-16,15.12,15.12,15.12,15.12,0,5.81
1996-05-17,15.06,15.06,15.06,15.06,2000,5.79
1996-05-20,15.06,15.06,15.06,15.06,0,5.79
1996-05-21,15.25,15.25,15.25,15.25,6700,5.86
1996-05-22,15.25,15.25,15.25,15.25,12100,5.86
