"Index","EWL.Open","EWL.High","EWL.Low","EWL.Close","EWL.Volume","EWL.Adjusted"
1996-04-01,12.56,12.56,12.56,12.56,500,8.5
1996-04-02,12.56,12.56,12.56,12.56,0,8.5
1996-04-03,12.44,12.44,12.38,12.38,18400,8.37
1996-04-04,12.38,12.38,12.38,12.38,0,8.37
1996-04-08,12.75,12.75,12.25,12.25,1200,8.29
1996-04-09,12.31,12.31,12.31,12.31,500,8.33
1996-04-10,12.12,12.12,12.06,12.06,2200,8.16
1996-04-11,12.06,12.06,12.06,12.06,0,8.16
1996-04-12,12.06,12.06,12.06,12.06,2000,8.16
1996-04-15,12,12.06,11.94,12.06,20400,8.16
1996-04-16,12.12,12.12,12.06,12.06,4700,8.16
1996-04-17,12.12,12.12,12,12,91100,8.12
1996-04-18,12,12,12,12,0,8.12
1996-04-19,12.25,12.25,12.12,12.12,2400,8.2
1996-04-22,12.31,12.38,12.25,12.38,153900,8.37
1996-04-23,12.19,12.31,12.19,12.31,300,8.33
1996-04-24,12.25,12.25,12.25,12.25,800,8.29
1996-04-25,12.31,12.31,12.25,12.25,35100,8.29
1996-04-26,12.19,12.38,12.19,12.38,3700,8.37
1996-04-29,12.38,12.38,12.31,12.38,1000,8.37
1996-04-30,12.19,12.19,12.19,12.19,1100,8.24
1996-05-01,12.19,12.19,12.19,12.19,900,8.24
1996-05-02,12.12,12.12,12.12,12.12,2700,8.2
1996-05-03,12.19,12.19,12.12,12.12,5300,8.2
1996-05-06,12,12,12,12,800,8.12
1996-05-07,12.12,12.12,11.94,11.94,32000,8.07
1996-05-08,11.81,12,11.81,12,7800,8.12
1996-05-09,11.81,12,11.81,11.94,7900,8.07
1996-05-10,11.94,11.94,11.94,11.94,0,8.07
1996-05-13,11.94,11.94,11.94,11.94,0,8.07
1996-05-14,11.94,12,11.94,11.94,6500,8.07
1996-05-15,11.94,11.94,11.94,11.94,0,8.07
1996-05-16,11.94,12,11.94,12,2800,8.12
1996-05-17,12.12,12.12,12,12,4000,8.12
1996-05-20,11.81,11.81,11.81,11.81,200,7.99
1996-05-21,11.88,11.94,11.88,11.94,16500,8.07
1996-05-22,11.88,11.88,11.62,11.62,18600,7.86
1996-05-23,11.69,11.69,11.69,11.69,400,7.9
1996-05-24,11.75,11.75,11.75,11.75,2600,7.95
1996-05-28,11.75,11.75,11.75,11.75,2200,7.95
1996-05-29,11.69,11.69,11.69,11.69,1000,7.9
1996-05-30,11.81,11.81,11.62,11.62,39400,7.86
1996-05-31,11.81,11.81,11.81,11.81,21100,7.99
1996-06-03,11.81,11.81,11.69,11.81,2500,7.99
1996-06-04,11.81,11.81,11.81,11.81,3200,7.99
1996-06-05,11.81,11.81,11.62,11.62,500,7.86
1996-06-06,11.94,11.94,11.94,11.94,600,8.07
1996-06-07,11.56,11.75,11.56,11.75,700,7.95
1996-06-10,11.81,11.88,11.81,11.81,1900,7.99
1996-06-11,11.69,11.81,11.69,11.81,1200,7.99
1996-06-12,11.75,11.75,11.75,11.75,34800,7.95
1996-06-13,11.81,11.81,11.81,11.81,3400,7.99
1996-06-14,11.81,11.81,11.81,11.81,0,7.99
1996-06-17,12,12,12,12,4900,8.12
1996-06-18,12.25,12.25,12.12,12.12,300,8.2
1996-06-19,12.19,12.19,12.19,12.19,2000,8.24
1996-06-20,12.19,12.19,12,12.12,17400,8.2
1996-06-21,12.12,12.12,12,12,5100,8.12
1996-06-24,12.19,12.19,12.19,12.19,2900,8.24
1996-06-25,12.19,12.19,12.19,12.19,10000,8.24
1996-06-26,12.31,12.31,12.25,12.25,1200,8.29
1996-06-27,12.12,12.12,12.12,12.12,2900,8.2
1996-06-28,12.38,12.38,12.38,12.38,500,8.37
1996-07-01,12.38,12.38,12.38,12.38,1000,8.37
1996-07-02,12.25,12.25,12.25,12.25,1600,8.29
1996-07-03,12.31,12.31,12.31,12.31,1200,8.33
1996-07-05,12.31,12.31,12.31,12.31,0,8.33
1996-07-08,12.25,12.25,12.25,12.25,5600,8.29
1996-07-09,12.19,12.19,12.19,12.19,110500,8.24
1996-07-10,12.19,12.19,12.19,12.19,0,8.24
1996-07-11,12.31,12.31,12.31,12.31,1300,8.33
1996-07-12,12.31,12.31,12.31,12.31,0,8.33
1996-07-15,12.19,12.19,12.19,12.19,200,8.24
1996-07-16,12.12,12.31,12.12,12.31,104900,8.33
1996-07-17,12.31,12.31,12.31,12.31,0,8.33
1996-07-18,12.38,12.38,12.38,12.38,6800,8.37
1996-07-19,12.38,12.38,12.38,12.38,0,8.37
1996-07-22,12.19,12.19,12.19,12.19,500,8.24
1996-07-23,12.19,12.19,12.19,12.19,8200,8.24
1996-07-24,11.56,11.81,11.56,11.81,51800,7.99
1996-07-25,11.81,11.81,11.81,11.81,0,7.99
1996-07-26,12.12,12.12,12.12,12.12,100,8.2
1996-07-29,11.88,11.88,11.88,11.88,100,8.03
1996-07-30,12.06,12.06,12.06,12.06,1300,8.16
1996-07-31,12,12.06,12,12.06,13200,8.16
1996-08-01,12,12.06,12,12.06,20700,8.16
1996-08-02,12.5,12.5,12.5,12.5,19700,8.45
1996-08-05,12.38,12.38,12.38,12.38,200,8.37
1996-08-06,12.38,12.38,12.38,12.38,0,8.37
1996-08-07,12.44,12.56,12.44,12.56,12900,8.5
1996-08-08,12.31,12.31,12.31,12.31,1600,8.33
1996-08-09,12.31,12.31,12.31,12.31,200,8.33
1996-08-12,12.19,12.19,12.06,12.06,28800,8.16
1996-08-13,12.5,12.5,12.44,12.44,1000,8.41
1996-08-14,12.38,12.38,12.25,12.38,2700,8.37
1996-08-15,12.38,12.38,12.19,12.19,4100,8.24
1996-08-16,12.38,12.38,12.38,12.38,2000,8.37
1996-08-19,12.25,12.25,12.25,12.25,1200,8.29
1996-08-20,12.38,12.38,12.38,12.38,200,8.37
1996-08-21,12.38,12.38,12.38,12.38,3100,8.37
1996-08-22,12.56,12.56,12.38,12.38,600,8.37
1996-08-23,12.56,12.56,12.56,12.56,500,8.5
1996-08-26,12.56,12.56,12.56,12.56,4000,8.56
1996-08-27,12.56,12.56,12.56,12.56,0,8.56
1996-08-28,12.38,12.38,12.38,12.38,2000,8.43
1996-08-29,12.38,12.38,12.31,12.31,17000,8.39
1996-08-30,12.19,12.19,12.19,12.19,20000,8.31
1996-09-03,12.06,12.06,12,12,10300,8.18
1996-09-04,12,12,12,12,0,8.18
1996-09-05,12,12,12,12,0,8.18
1996-09-06,12.12,12.12,12.12,12.12,700,8.26
1996-09-09,12.25,12.25,12.25,12.25,200,8.35
1996-09-10,12.25,12.25,12.25,12.25,0,8.35
1996-09-11,12.25,12.25,12.25,12.25,0,8.35
1996-09-12,12.25,12.25,12.25,12.25,0,8.35
1996-09-13,12.12,12.12,12.12,12.12,1300,8.26
1996-09-16,12.25,12.25,12.25,12.25,100,8.35
1996-09-17,12.12,12.12,12,12.06,7200,8.22
1996-09-18,12.06,12.06,11.88,11.88,46800,8.09
1996-09-19,12.06,12.06,12.06,12.06,300,8.22
1996-09-20,11.88,12.06,11.88,12,7900,8.18
1996-09-23,11.94,11.94,11.69,11.69,1600,7.96
1996-09-24,11.94,11.94,11.75,11.94,6500,8.14
1996-09-25,12.12,12.12,11.88,11.88,3500,8.09
1996-09-26,11.88,11.88,11.88,11.88,0,8.09
1996-09-27,11.75,11.88,11.75,11.88,9200,8.09
1996-09-30,11.69,11.94,11.69,11.94,6700,8.14
1996-10-01,12,12,12,12,200,8.18
1996-10-02,12.12,12.12,12,12,19300,8.18
