"Index","EWO.Open","EWO.High","EWO.Low","EWO.Close","EWO.Volume","EWO.Adjusted"
1996-04-01,11,11,11,11,0,6.92
1996-04-02,11,11,11,11,800,6.92
1996-04-03,11,11,11,11,0,6.92
1996-04-04,11.25,11.25,11.25,11.25,2400,7.08
1996-04-08,11.25,11.25,11.25,11.25,0,7.08
1996-04-09,11.25,11.25,11.25,11.25,0,7.08
1996-04-10,11.25,11.25,11.25,11.25,0,7.08
1996-04-11,10.88,10.88,10.88,10.88,2600,6.84
1996-04-12,10.88,10.88,10.88,10.88,1600,6.84
1996-04-15,10.88,10.88,10.88,10.88,0,6.84
1996-04-16,11,11.12,11,11.12,900,7
1996-04-17,10.88,10.88,10.88,10.88,138000,6.84
1996-04-18,10.94,10.94,10.94,10.94,10000,6.88
1996-04-19,11,11,11,11,500,6.92
1996-04-22,11.12,11.12,11,11.12,14900,7
1996-04-23,11.12,11.12,11.12,11.12,100,7
1996-04-24,11.12,11.12,11.12,11.12,200,7
1996-04-25,11.12,11.12,11.12,11.12,1200,7
1996-04-26,11.12,11.12,11.12,11.12,300,7
1996-04-29,11,11,10.88,10.88,4700,6.84
1996-04-30,10.94,10.94,10.94,10.94,20000,6.88
1996-05-01,10.88,11,10.88,11,21100,6.92
1996-05-02,11,11,11,11,0,6.92
1996-05-03,11,11,11,11,1000,6.92
1996-05-06,10.94,10.94,10.94,10.94,1000,6.88
1996-05-07,10.94,10.94,10.94,10.94,1100,6.88
1996-05-08,10.94,10.94,10.94,10.94,5100,6.88
1996-05-09,10.94,10.94,10.88,10.88,26000,6.84
1996-05-10,10.75,10.88,10.75,10.88,3800,6.84
1996-05-13,10.56,10.75,10.56,10.75,55000,6.76
1996-05-14,10.75,10.75,10.75,10.75,36300,6.76
1996-05-15,10.75,10.75,10.75,10.75,0,6.76
1996-05-16,10.75,10.75,10.75,10.75,0,6.76
1996-05-17,10.75,10.75,10.75,10.75,0,6.76
1996-05-20,10.88,10.94,10.88,10.94,17300,6.88
1996-05-21,10.94,10.94,10.94,10.94,9200,6.88
1996-05-22,10.88,10.94,10.88,10.94,15100,6.88
1996-05-23,11,11,10.94,10.94,15200,6.88
1996-05-24,11,11.06,11,11.06,19900,6.96
1996-05-28,11.12,11.19,11.12,11.12,20800,7
1996-05-29,11.12,11.12,11.12,11.12,19800,7
1996-05-30,11.12,11.12,11.12,11.12,20000,7
1996-05-31,11.25,11.5,11.25,11.5,25100,7.23
1996-06-03,11.44,11.5,11.44,11.5,19700,7.23
1996-06-04,11.5,11.56,11.5,11.56,400,7.27
1996-06-05,11.62,11.62,11.62,11.62,2500,7.31
1996-06-06,11.75,11.75,11.62,11.62,20100,7.31
1996-06-07,11.62,11.62,11.62,11.62,200,7.31
1996-06-10,11.62,11.62,11.62,11.62,0,7.31
1996-06-11,11.62,11.62,11.62,11.62,500,7.31
1996-06-12,11.69,11.69,11.62,11.62,30100,7.31
1996-06-13,11.5,11.5,11.5,11.5,5000,7.23
1996-06-14,11.56,11.56,11.5,11.5,200,7.23
1996-06-17,11.5,11.5,11.5,11.5,0,7.23
1996-06-18,11.5,11.5,11.5,11.5,0,7.23
1996-06-19,11.5,11.5,11.5,11.5,1000,7.23
1996-06-20,11.38,11.38,11.25,11.25,2500,7.08
