"Index","EWP.Open","EWP.High","EWP.Low","EWP.Close","EWP.Volume","EWP.Adjusted"
1996-04-01,13.88,13.88,13.75,13.75,2700,6.67
1996-04-02,13.88,13.88,13.88,13.88,2600,6.73
1996-04-03,13.88,13.94,13.88,13.94,2700,6.76
1996-04-04,13.94,13.94,13.94,13.94,0,6.76
1996-04-08,13.75,13.75,13.75,13.75,2000,6.67
1996-04-09,13.75,13.75,13.75,13.75,700,6.67
1996-04-10,13.75,13.75,13.75,13.75,0,6.67
1996-04-11,13.88,13.88,13.88,13.88,100,6.73
1996-04-12,14,14,14,14,300,6.79
1996-04-15,14,14,14,14,2200,6.79
1996-04-16,14.06,14.06,14.06,14.06,300,6.82
1996-04-17,14.06,14.06,14.06,14.06,0,6.82
1996-04-18,14.06,14.06,14.06,14.06,0,6.82
1996-04-19,14.38,14.38,14.25,14.25,8700,6.91
1996-04-22,14.38,14.38,14.38,14.38,600,6.97
1996-04-23,14.31,14.31,14.31,14.31,28200,6.94
1996-04-24,14.38,14.44,14.38,14.44,2600,7
1996-04-25,14.44,14.44,14.44,14.44,600,7
1996-04-26,14.44,14.44,14.38,14.38,2500,6.97
1996-04-29,14.62,14.62,14.62,14.62,700,7.09
1996-04-30,14.25,14.31,14.25,14.31,600,6.94
1996-05-01,14.31,14.31,14.31,14.31,0,6.94
1996-05-02,14.25,14.25,14.12,14.12,2000,6.85
1996-05-03,14.25,14.25,14.25,14.25,1200,6.91
1996-05-06,14.25,14.25,14.25,14.25,1000,6.91
1996-05-07,14.25,14.25,14.19,14.25,9500,6.91
1996-05-08,14.12,14.19,14.12,14.19,2000,6.88
1996-05-09,14.12,14.12,14.12,14.12,200,6.85
1996-05-10,14.19,14.19,14.19,14.19,1100,6.88
1996-05-13,14.19,14.19,14.19,14.19,0,6.88
1996-05-14,14.19,14.19,14.19,14.19,500,6.88
1996-05-15,14.19,14.19,14.19,14.19,0,6.88
1996-05-16,13.88,13.88,13.88,13.88,1000,6.73
1996-05-17,14.31,14.31,14.12,14.12,1900,6.85
1996-05-20,14.31,14.31,14.31,14.31,900,6.94
1996-05-21,14.44,14.5,14.44,14.44,7300,7
1996-05-22,14.19,14.31,14.19,14.31,8900,6.94
1996-05-23,14.31,14.31,14.31,14.31,0,6.94
1996-05-24,14.38,14.38,14.38,14.38,200,6.97
1996-05-28,14.44,14.44,14.44,14.44,700,7
1996-05-29,14.38,14.38,14.38,14.38,2800,6.97
1996-05-30,14.25,14.25,14.25,14.25,1200,6.91
1996-05-31,14,14.19,14,14.19,1300,6.88
1996-06-03,14.19,14.19,14.19,14.19,1300,6.88
1996-06-04,14.19,14.19,14.19,14.19,0,6.88
1996-06-05,14.19,14.19,14.19,14.19,300,6.88
1996-06-06,14.44,14.44,14.44,14.44,200,7
1996-06-07,14.44,14.44,14.44,14.44,0,7
1996-06-10,14.44,14.44,14.44,14.44,0,7
1996-06-11,14.56,14.56,14.56,14.56,100,7.06
1996-06-12,14.44,14.69,14.44,14.69,600,7.12
1996-06-13,14.69,14.69,14.69,14.69,0,7.12
1996-06-14,14.69,14.69,14.69,14.69,0,7.12
1996-06-17,14.69,14.69,14.69,14.69,100,7.12
1996-06-18,14.69,14.69,14.69,14.69,0,7.12
