"Index","GXC.Open","GXC.High","GXC.Low","GXC.Close","GXC.Volume","GXC.Adjusted"
2007-03-23,53.45,53.62,53.45,53.55,10600,46.57
2007-03-26,54.1,54.1,53.8,54,2500,46.96
2007-03-27,53.8,53.81,53.3,53.58,11600,46.6
2007-03-28,53.09,53.15,52.6,52.85,14900,45.96
2007-03-29,54,54.05,53.5,54.05,7000,47.01
2007-03-30,54.25,54.25,53.6,53.6,11900,46.62
2007-04-02,54.15,54.64,54,54.59,16800,47.48
2007-04-03,54.65,55.2,54.65,55.1,21700,47.92
2007-04-04,55.38,55.5,55.3,55.36,900,48.15
2007-04-05,55.5,55.62,55.47,55.62,4700,48.37
2007-04-09,55.84,56.1,55.84,55.98,8300,48.68
2007-04-10,56.18,56.41,56.13,56.25,7800,48.92
2007-04-11,56.49,56.5,55.65,55.83,27000,48.55
2007-04-12,56.14,57.01,55.99,57,40000,49.57
2007-04-13,56.6,56.8,56.35,56.8,5100,49.4
2007-04-16,57.25,57.98,57.25,57.9,22200,50.35
2007-04-17,57.89,58,57.41,57.58,28200,50.08
2007-04-18,57.44,57.68,57.27,57.31,40400,49.84
2007-04-19,55.45,56.65,55.45,56.36,24200,49.02
2007-04-20,57.07,57.4,57.06,57.31,20200,49.84
2007-04-23,57,57,56.13,56.72,5300,49.33
2007-04-24,56.75,56.75,56.3,56.72,8300,49.33
2007-04-25,56.75,57.1,56.57,57.1,8400,49.66
2007-04-26,57.06,57.06,56.68,56.9,6000,49.48
2007-04-27,56.4,56.6,56.07,56.24,4700,48.91
2007-04-30,56.05,56.2,54.8,55.09,27500,47.91
2007-05-01,55.4,55.49,54.95,55.49,5600,48.26
2007-05-02,55.9,56.48,55.9,56.36,13500,49.02
2007-05-03,56.9,57.45,56.9,57.32,27500,49.85
2007-05-04,57.95,58.08,57.7,57.7,16000,50.18
2007-05-07,58.3,58.3,57.75,58.1,14400,50.53
2007-05-08,57.59,57.65,57.17,57.45,10400,49.96
2007-05-09,57.98,58.63,57.98,58.56,27300,50.93
2007-05-10,58.4,58.4,57.13,57.13,49100,49.69
2007-05-11,59.06,60.75,58.74,60.2,77300,52.35
2007-05-14,60.7,60.75,59.9,60.11,17500,52.28
2007-05-15,60.11,60.68,59.9,59.9,5600,52.09
2007-05-16,60.42,60.9,60.28,60.9,6500,52.96
2007-05-17,60.75,60.82,60.47,60.7,6500,52.79
2007-05-18,60.45,60.55,60.29,60.37,5800,52.5
2007-05-21,60.7,66.4,60.55,60.75,22000,52.83
2007-05-22,60.7,60.7,60.36,60.44,84300,52.56
2007-05-23,60.83,61.1,59.95,59.95,15400,52.14
2007-05-24,59.79,60.3,58,58.07,31500,50.5
2007-05-25,59.27,59.58,59.14,59.52,12000,51.76
2007-05-29,59.5,60,58.52,59.15,35100,51.44
2007-05-30,58.1,59.36,57.9,59.36,36400,51.62
2007-05-31,60.3,60.35,59.59,59.92,25900,52.11
2007-06-01,60.78,60.95,60.56,60.81,24700,52.89
2007-06-04,60.26,60.7,60.18,60.7,17000,52.79
2007-06-05,61.5,61.5,60.58,61.08,25600,53.12
2007-06-06,60.8,60.8,60.07,60.25,8400,52.4
2007-06-07,60.88,61.76,59.43,59.43,20400,51.69
2007-06-08,60.3,61.2,60.12,61.2,40200,53.22
2007-06-11,61.15,62,60.95,61.82,32300,53.76
2007-06-12,60.19,61.44,60.19,60.48,12600,52.6
2007-06-13,61.3,61.79,61.14,61.79,12400,53.74
2007-06-14,62.35,63.06,62.35,62.88,34200,54.69
2007-06-15,64,64.5,64,64.4,44400,56.01
2007-06-18,65.48,65.94,65.15,65.75,36500,57.18
2007-06-19,65.69,66.54,65.5,66.25,28300,57.62
2007-06-20,66.84,67.19,65.9,65.9,44100,57.31
2007-06-21,67.3,68.26,67.01,68,37800,59.14
2007-06-22,67.9,68.24,67.05,67.3,27100,58.53
2007-06-25,67.01,67.45,66.39,66.47,30400,57.81
2007-06-26,66.87,66.87,65.86,65.95,19300,57.36
2007-06-27,66,66.93,65.87,66.93,13200,58.21
2007-06-28,67.25,67.8,67.25,67.6,19000,58.79
2007-06-29,67.11,67.98,66.93,67.3,25500,58.53
2007-07-02,67.83,68.88,67.74,68.72,30700,59.76
2007-07-03,69.5,70.2,69.3,70.08,27200,60.95
2007-07-05,69.82,70.38,69.7,70.1,42000,60.96
