"Index","NORW.Open","NORW.High","NORW.Low","NORW.Close","NORW.Volume","NORW.Adjusted"
2010-11-10,15.15,15.15,14.58,14.85,218800,12.83
2010-11-11,14.7,14.78,14.61,14.75,57600,12.74
2010-11-12,14.67,14.73,14.48,14.54,22100,12.56
2010-11-15,14.65,14.65,14.5,14.5,33000,12.53
2010-11-16,14.2,14.22,13.78,13.92,28400,12.03
2010-11-17,13.98,14.1,13.97,14.04,32700,12.13
2010-11-18,14.38,14.42,14.24,14.36,23700,12.41
2010-11-19,14.36,14.41,14.25,14.41,30800,12.45
2010-11-22,14.31,14.36,14.09,14.25,62500,12.31
2010-11-23,13.84,13.84,13.66,13.71,32200,11.84
2010-11-24,13.9,13.97,13.77,13.95,115300,12.05
2010-11-26,13.66,13.72,13.6,13.69,13600,11.83
2010-11-29,13.46,13.55,13.3,13.55,31500,11.71
2010-11-30,13.33,13.45,13.3,13.36,7000,11.54
2010-12-01,13.86,14.01,13.73,13.95,10700,12.05
2010-12-02,14.04,14.41,14.04,14.41,21000,12.45
2010-12-03,14.4,14.6,14.39,14.59,17200,12.6
2010-12-06,14.6,14.69,14.51,14.69,33200,12.69
2010-12-07,14.94,14.97,14.58,14.58,22100,12.6
2010-12-08,14.68,14.76,14.6,14.76,11000,12.75
2010-12-09,14.71,14.71,14.49,14.6,8300,12.61
2010-12-10,14.54,14.6,14.47,14.6,3900,12.61
2010-12-13,14.77,14.91,14.76,14.91,16600,12.88
2010-12-14,14.84,14.92,14.73,14.74,4900,12.73
2010-12-15,14.69,14.73,14.5,14.57,7100,12.59
2010-12-16,14.73,14.74,14.59,14.69,10500,12.69
2010-12-17,14.72,14.87,14.72,14.87,5800,12.85
2010-12-20,14.98,15.03,14.86,14.99,133700,12.95
2010-12-21,15.21,15.3,15.18,15.27,140800,13.19
2010-12-22,15.32,15.33,15.21,15.32,133600,13.23
2010-12-23,15.44,15.44,15.3,15.36,46000,13.27
2010-12-27,15.39,15.43,15.29,15.43,108400,13.33
2010-12-28,15.5,15.5,15.45,15.49,34600,13.38
2010-12-29,15.49,15.58,15.45,15.53,15400,13.42
2010-12-30,15.57,15.62,15.54,15.62,25500,13.5
2010-12-31,15.75,15.85,15.68,15.82,17800,13.67
2011-01-03,15.94,15.95,15.82,15.86,44200,13.71
2011-01-04,16.07,16.07,15.56,15.67,26900,13.55
2011-01-05,15.56,15.76,15.5,15.74,61200,13.61
2011-01-06,15.66,15.67,15.37,15.48,22100,13.38
2011-01-07,15.51,15.51,15.22,15.39,28900,13.3
2011-01-10,15.38,15.38,15.25,15.36,11600,13.28
2011-01-11,15.52,15.56,15.47,15.55,9400,13.44
2011-01-12,15.7,15.87,15.68,15.83,21100,13.68
2011-01-13,15.8,15.81,15.66,15.71,62200,13.58
2011-01-14,15.75,15.92,15.71,15.92,14700,13.76
2011-01-18,15.93,15.93,15.82,15.93,51700,13.77
2011-01-19,15.93,15.93,15.62,15.66,59700,13.54
2011-01-20,15.34,15.36,15.07,15.27,32300,13.2
2011-01-21,15.48,15.56,15.46,15.5,27300,13.4
2011-01-24,15.42,15.61,15.4,15.61,9800,13.49
2011-01-25,15.46,15.46,15.25,15.38,40400,13.29
2011-01-26,15.46,15.53,15.44,15.51,19700,13.41
2011-01-27,15.7,15.7,15.47,15.52,102100,13.42
2011-01-28,15.55,15.57,15.13,15.2,85000,13.14
2011-01-31,15.53,15.53,15.37,15.42,84900,13.33
2011-02-01,15.87,16.11,15.87,16.05,90400,13.87
2011-02-02,15.99,16.07,15.9,15.95,80900,13.79
2011-02-03,15.82,16.06,15.8,16.04,8500,13.86
2011-02-04,15.95,15.95,15.79,15.93,45900,13.77
2011-02-07,15.99,16.02,15.82,16.01,59200,13.84
2011-02-08,15.97,16.1,15.8,15.97,116200,13.8
2011-02-09,15.95,15.96,15.8,15.94,72400,13.78
2011-02-10,15.61,15.68,15.5,15.65,56000,13.53
2011-02-11,15.75,15.86,15.61,15.86,23600,13.71
2011-02-14,15.9,16.05,15.9,16.05,50700,13.87
2011-02-15,16,16.02,15.89,15.94,32400,13.78
2011-02-16,15.95,16.24,15.95,16.24,14000,14.04
2011-02-17,16.14,16.26,16.08,16.26,20300,14.06
2011-02-18,16.24,16.3,16.12,16.27,28800,14.06
2011-02-22,16.11,16.14,15.87,15.93,52300,13.77
2011-02-23,16.1,16.14,16,16.09,27500,13.91
2011-02-24,16.43,16.43,16.24,16.31,101000,14.1
2011-02-25,16.3,16.45,16.3,16.45,55300,14.22
2011-02-28,16.81,16.81,16.54,16.62,66300,14.37
2011-03-01,16.71,16.79,16.41,16.49,405300,14.25
2011-03-02,16.5,16.7,16.5,16.68,36600,14.42
2011-03-03,16.84,16.91,16.73,16.89,28000,14.6
2011-03-04,16.98,16.98,16.7,16.84,57200,14.56
2011-03-07,17.28,17.28,16.72,16.8,128100,14.52
2011-03-08,16.77,16.87,16.65,16.82,396100,14.54
2011-03-09,16.84,16.84,16.68,16.76,64500,14.49
2011-03-10,16.34,16.34,16.04,16.08,74400,13.9
2011-03-11,15.99,16.23,15.93,16.18,349600,13.99
2011-03-14,16.1,16.1,15.92,16.07,55500,13.89
2011-03-15,15.35,15.62,15.13,15.6,77500,13.48
2011-03-16,15.74,15.82,15.19,15.33,130400,13.25
2011-03-17,15.89,16.05,15.87,16,132300,13.83
2011-03-18,16.34,16.34,16.2,16.31,54100,14.1
2011-03-21,16.63,16.69,16.5,16.66,20100,14.4
2011-03-22,16.5,16.52,16.33,16.49,40100,14.25
2011-03-23,16.42,16.48,16.3,16.48,35600,14.25
2011-03-24,16.6,16.77,16.47,16.75,119000,14.48
2011-03-25,16.74,16.74,16.58,16.59,102000,14.34
2011-03-28,16.66,16.72,16.59,16.59,40800,14.34
2011-03-29,16.47,16.61,16.41,16.61,27000,14.36
2011-03-30,16.68,16.83,16.64,16.75,36000,14.48
2011-03-31,16.85,16.92,16.76,16.87,45600,14.58
2011-04-01,16.99,17.17,16.95,17.07,61300,14.76
2011-04-04,17.3,17.34,17.16,17.3,115400,14.95
2011-04-05,17.2,17.42,17.13,17.35,48300,15
2011-04-06,17.54,17.54,17.32,17.45,93400,15.08
2011-04-07,17.34,17.34,17.15,17.28,30200,14.94
2011-04-08,17.51,17.61,17.43,17.48,76300,15.11
2011-04-11,17.57,17.57,17.32,17.4,37400,15.04
2011-04-12,17.19,17.19,16.93,16.97,26700,14.67
2011-04-13,17.2,17.23,17,17.1,73200,14.78
2011-04-14,16.92,17.09,16.84,17.09,45100,14.77
2011-04-15,16.97,17.09,16.88,17.02,31500,14.71
2011-04-18,16.54,16.54,16.2,16.42,92700,14.19
2011-04-19,16.68,16.74,16.54,16.64,1035800,14.38
2011-04-20,17.11,17.26,17.11,17.26,88300,14.92
2011-04-21,17.43,17.43,17.25,17.29,68400,14.95
2011-04-25,17.6,17.6,17.23,17.33,55500,14.98
2011-04-26,17.34,17.45,17.28,17.41,34600,15.05
2011-04-27,17.41,17.69,17.31,17.69,152600,15.29
2011-04-28,17.59,17.76,17.51,17.75,51800,15.34
2011-04-29,17.82,17.89,17.61,17.75,188000,15.34
2011-05-02,17.84,17.91,17.72,17.72,64000,15.32
2011-05-03,17.46,17.48,17.26,17.31,63000,14.96
2011-05-04,17.17,17.17,16.76,16.76,151000,14.49
2011-05-05,16.63,16.63,16.26,16.32,110600,14.11
2011-05-06,16.38,16.52,15.98,16.15,109400,13.96
2011-05-09,16.28,16.47,16.25,16.47,74000,14.24
2011-05-10,16.52,16.73,16.47,16.7,19400,14.44
2011-05-11,16.66,16.7,16.2,16.3,46900,14.09
2011-05-12,16.19,16.34,16.04,16.31,124000,14.1
2011-05-13,16.35,16.35,15.95,16.1,35300,13.92
2011-05-16,16.05,16.34,16.05,16.15,33700,13.96
2011-05-17,15.99,16.13,15.81,16.13,47400,13.94
2011-05-18,16.08,16.34,16.02,16.32,43000,14.11
2011-05-19,16.46,16.61,16.32,16.61,62800,14.36
2011-05-20,16.4,16.41,16.13,16.16,199200,13.97
2011-05-23,15.78,15.8,15.63,15.72,84900,13.59
2011-05-24,15.94,16.03,15.79,15.88,15600,13.73
2011-05-25,15.72,16.08,15.72,16.02,40400,13.85
2011-05-26,16.13,16.26,16,16.23,29500,14.03
2011-05-27,16.45,16.56,16.41,16.44,22800,14.21
2011-05-31,16.9,16.97,16.83,16.94,35400,14.64
2011-06-01,16.89,16.89,16.42,16.43,127000,14.2
2011-06-02,16.63,16.69,16.42,16.63,22600,14.37
2011-06-03,16.44,16.79,16.34,16.67,190300,14.41
2011-06-06,16.68,16.68,16.37,16.37,36200,14.15
2011-06-07,16.64,16.65,16.53,16.55,50000,14.31
2011-06-08,16.26,16.31,16.02,16.08,52100,13.9
2011-06-09,16.08,16.28,16.05,16.25,30500,14.05
2011-06-10,16.16,16.16,15.68,15.71,38800,13.58
2011-06-13,15.92,16.01,15.79,15.94,1421400,13.78
2011-06-14,16.11,16.32,16.11,16.28,42800,14.07
2011-06-15,15.62,15.63,15.24,15.24,1361700,13.17
2011-06-16,15.17,15.32,15.05,15.23,132100,13.16
2011-06-17,15.39,15.42,15.28,15.3,74900,13.23
2011-06-20,15.13,15.2,15.1,15.13,57800,13.08
2011-06-21,15.51,15.75,15.51,15.71,37100,13.58
2011-06-22,15.7,15.77,15.64,15.64,24400,13.52
2011-06-23,15.14,15.39,14.93,15.38,80600,13.29
2011-06-24,15.22,15.22,14.91,14.94,28400,12.91
2011-06-27,14.99,15.14,14.92,15.1,65300,13.05
2011-06-28,15.2,15.38,15.2,15.38,20100,13.29
2011-06-29,15.67,15.94,15.6,15.88,30000,13.73
2011-06-30,15.88,16.22,15.87,16.17,75100,13.98
2011-07-01,16.12,16.51,16.11,16.46,58000,14.23
2011-07-05,16.46,16.54,16.36,16.42,37700,14.19
2011-07-06,16.1,16.25,16.01,16.14,17900,13.95
2011-07-07,16.41,16.46,16.36,16.46,23700,14.23
2011-07-08,16.11,16.19,15.97,16.08,52300,13.9
2011-07-11,15.57,15.61,15.35,15.36,183100,13.28
2011-07-12,15.18,15.31,15.08,15.12,31200,13.07
2011-07-13,15.34,15.7,15.34,15.45,36500,13.35
2011-07-14,15.52,15.59,15.19,15.22,49900,13.16
2011-07-15,15.39,15.52,15.31,15.45,35400,13.35
2011-07-18,15.21,15.25,15.05,15.22,51900,13.16
2011-07-19,15.32,15.59,15.32,15.58,35400,13.47
2011-07-20,15.81,15.9,15.78,15.88,30800,13.73
2011-07-21,16.12,16.33,16.09,16.33,30500,14.12
2011-07-22,16.35,16.36,16.07,16.27,43300,14.06
2011-07-25,16.2,16.27,16.15,16.2,20800,14
2011-07-26,16.3,16.43,16.25,16.36,42900,14.14
