"Index","PGAL.Open","PGAL.High","PGAL.Low","PGAL.Close","PGAL.Volume","PGAL.Adjusted"
2013-11-13,14.95,14.95,14.92,14.95,600,14.64
2013-11-14,14.95,14.95,14.95,14.95,0,14.64
2013-11-15,15.09,15.09,15.05,15.05,1400,14.74
2013-11-18,15.22,15.22,15.19,15.19,1000,14.88
2013-11-19,15.19,15.19,15.19,15.19,0,14.88
2013-11-20,15.16,15.16,14.95,14.95,800,14.64
2013-11-21,14.99,14.99,14.99,14.99,200,14.68
2013-11-22,14.99,14.99,14.99,14.99,0,14.68
2013-11-25,15.17,15.2,15.17,15.19,2500,14.88
2013-11-26,15.23,15.27,15.23,15.27,3600,14.96
2013-11-27,15.48,15.49,15.45,15.49,4800,15.17
2013-11-29,15.72,15.79,15.72,15.79,17200,15.47
2013-12-02,15.65,15.68,15.6,15.64,3900,15.32
2013-12-03,15.63,15.63,15.61,15.61,2800,15.29
2013-12-04,15.33,15.34,15.18,15.34,2100,15.02
2013-12-05,15.43,15.43,15.36,15.37,2500,15.05
2013-12-06,15.25,15.43,15.25,15.43,1300,15.11
2013-12-09,15.49,15.49,15.49,15.49,1700,15.17
2013-12-10,15.71,15.71,15.66,15.66,2100,15.34
2013-12-11,15.64,15.64,15.59,15.59,3600,15.27
2013-12-12,15.54,15.54,15.4,15.41,3600,15.09
2013-12-13,15.34,15.39,15.34,15.39,1300,15.07
2013-12-16,15.49,15.49,15.46,15.46,1000,15.14
2013-12-17,15.46,15.46,15.42,15.42,3400,15.1
2013-12-18,15.43,15.43,15.42,15.42,500,15.1
2013-12-19,15.41,15.43,15.4,15.4,3100,15.08
2013-12-20,15.54,15.55,15.54,15.55,1900,15.23
2013-12-23,15.74,15.74,15.74,15.74,1700,15.42
2013-12-24,15.69,15.69,15.69,15.69,300,15.37
2013-12-26,15.78,15.8,15.76,15.8,2400,15.47
2013-12-27,15.85,15.88,15.83,15.83,3300,15.5
2013-12-30,15.87,15.88,15.87,15.88,900,15.55
2013-12-31,15.84,15.84,15.82,15.82,1100,15.49
2014-01-02,15.74,15.79,15.72,15.79,12800,15.47
2014-01-03,16.08,16.08,16.04,16.04,5000,15.71
2014-01-06,16.13,16.13,16.05,16.07,5400,15.74
2014-01-07,16.36,16.39,16.26,16.34,7100,16
2014-01-08,16.54,16.59,16.54,16.56,30900,16.22
2014-01-09,16.78,16.81,16.71,16.74,13100,16.4
2014-01-10,16.85,16.85,16.79,16.85,19400,16.5
2014-01-13,16.91,17.01,16.91,17.01,21800,16.66
2014-01-14,16.77,16.82,16.65,16.74,14100,16.4
