"Index","VNM.Open","VNM.High","VNM.Low","VNM.Close","VNM.Volume","VNM.Adjusted"
2009-08-14,26.98,27.01,25.66,26.02,0,23.4
2009-08-17,26.05,29.47,25.2,25.23,0,22.69
2009-08-18,26.99,26.99,25.52,25.75,0,23.16
2009-08-19,25.83,26.24,25.57,26.13,0,23.5
2009-08-20,26.41,27.33,26.4,26.97,0,24.26
2009-08-21,27.35,27.57,27.05,27.47,0,24.71
2009-08-24,27.42,27.54,27.12,27.28,0,24.53
2009-08-25,27.44,27.46,25.7,25.7,0,23.11
2009-08-26,27.08,27.08,26.58,26.82,176800,24.12
2009-08-27,27.01,27.01,26.6,26.78,95800,24.08
2009-08-28,27.33,27.4,26.81,27.02,75800,24.3
2009-08-31,27.02,27.28,27.02,27.13,57700,24.4
2009-09-01,27.15,27.4,26.57,26.65,76500,23.97
2009-09-02,26.59,26.93,26.58,26.83,43500,24.13
2009-09-03,27.16,27.25,26.94,27.15,49300,24.42
2009-09-04,27.27,27.34,26.69,26.99,35000,24.27
2009-09-08,27.84,27.84,27.11,27.37,51100,24.62
2009-09-09,27.45,27.74,27.31,27.55,226000,24.78
2009-09-10,27.58,27.74,27.4,27.65,21700,24.87
2009-09-11,28.16,28.21,27.9,28,84500,25.18
2009-09-14,28.15,28.65,28.1,28.61,94100,25.73
2009-09-15,28.44,28.62,28.22,28.62,316300,25.74
2009-09-16,28.48,28.87,28.32,28.87,103000,25.96
2009-09-17,28.91,28.91,28.55,28.62,83000,25.74
2009-09-18,29.1,29.1,28.71,28.84,84800,25.94
2009-09-21,28.91,29.69,28.7,29.21,126600,26.27
2009-09-22,29.49,29.6,29,29.14,92800,26.21
2009-09-23,28.89,29.37,28.7,28.7,89200,25.81
2009-09-24,28.83,28.85,28.23,28.45,70500,25.59
2009-09-25,28.54,28.92,28.5,28.71,87600,25.82
2009-09-28,28.8,29.06,28.6,29,84600,26.08
2009-09-29,29.02,29.13,28.88,29.05,151500,26.13
2009-09-30,29.07,29.07,28.57,28.75,53400,25.86
2009-10-01,28.5,28.57,28,28.04,54000,25.22
2009-10-02,27.35,27.87,27.1,27.6,102900,24.82
2009-10-05,27.8,29.16,27.61,27.94,57400,25.13
2009-10-06,28.06,28.42,28.04,28.32,85800,25.47
2009-10-07,28.71,28.71,28.2,28.48,76200,25.61
2009-10-08,29.02,29.21,28.9,29.12,211400,26.19
2009-10-09,29.82,29.82,29.41,29.63,86900,26.65
