Pais, Ticker
Turquía,TUR
India,PIN
Filipinas,EPHE
Tailandia,THD
Indonesia,IDX
China,GXC
Sudáfrica,EZA
Taiwan,EWT
EstadosUnidos,EUSA
HongKong,EWH
Egipto,EGPT
Singapur,EWS
NuevaZelanda,ENZL
Argentina,ARGT
Bélgica,EWK
EmiratosÁrabes,UAE
Qatar,QAT
Suiza,EWL
Australia,EWA
Japón,JPP
Corea,EWY
Canadá,EWC
Israel,EIS
México,EWW
Malasia,EWM
Brasil,EWZ
Holanda,EWN
Irlanda,EIRL
ReinoUnido,EWU
Suecia,EWD
Francia,EWQ
Vietnam,VNM
Chile,ECH
Perú,EPU
Alemania,EWG
España,EWP
Italia,EWI
Polonia,PLND
Noruega,NORW
Colombia,GXG
Austria,EWO
Portugal,PGAL
Rusia,RBL
Nigeria,NGE
Grecia,GREK
